response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0137,0.0017,0.0009,0.0001,0.0107,0.0011,200,0.2039
0.0157,0.0016,0.0009,0.0001,0.0124,0.0015,200,0.2039
0.0230,0.0016,0.0009,0.0001,0.0202,0.0011,200,0.2041
0.0270,0.0016,0.0009,0.0001,0.0242,0.0012,200,0.2040
0.0321,0.0014,0.0008,0.0001,0.0297,0.0010,200,0.2041
0.0125,0.0008,0.0004,0.0001,0.0103,0.0013,200,0.4039
0.0139,0.0008,0.0004,0.0000,0.0119,0.0011,200,0.4039
0.0227,0.0010,0.0002,0.0001,0.0206,0.0010,200,0.4038
0.0249,0.0009,0.0004,0.0001,0.0228,0.0011,200,0.4039
0.0323,0.0009,0.0004,0.0001,0.0303,0.0010,200,0.4038
0.0127,0.0009,0.0004,0.0001,0.0103,0.0014,200,0.6039
0.0128,0.0009,0.0004,0.0001,0.0104,0.0014,200,0.6039
0.0231,0.0010,0.0004,0.0000,0.0210,0.0011,200,0.6038
0.0264,0.0009,0.0005,0.0000,0.0245,0.0010,200,0.6039
0.0330,0.0007,0.0003,0.0000,0.0312,0.0011,200,0.6040
0.0130,0.0009,0.0003,0.0000,0.0103,0.0017,200,0.8042
0.0140,0.0012,0.0005,0.0001,0.0108,0.0019,200,0.8039
0.0226,0.0010,0.0004,0.0001,0.0206,0.0010,200,0.8042
0.0248,0.0011,0.0005,0.0001,0.0224,0.0012,200,0.8041
0.0326,0.0012,0.0006,0.0001,0.0301,0.0011,200,0.8039
0.0124,0.0008,0.0004,0.0000,0.0102,0.0013,200,1.0039
0.0135,0.0009,0.0002,0.0001,0.0114,0.0011,200,1.0038
0.0224,0.0009,0.0003,0.0001,0.0203,0.0011,200,1.0039
0.0246,0.0008,0.0004,0.0001,0.0225,0.0012,200,1.0039
0.0320,0.0009,0.0004,0.0001,0.0300,0.0010,200,1.0038
0.0128,0.0009,0.0003,0.0001,0.0102,0.0017,200,1.2040
0.0136,0.0009,0.0004,0.0001,0.0110,0.0016,200,1.2039
0.0228,0.0010,0.0004,0.0001,0.0205,0.0012,200,1.2039
0.0249,0.0008,0.0003,0.0000,0.0227,0.0014,200,1.2041
0.0321,0.0008,0.0003,0.0001,0.0300,0.0011,200,1.2041
0.0124,0.0009,0.0003,0.0001,0.0102,0.0012,200,1.4038
0.0133,0.0009,0.0003,0.0001,0.0111,0.0012,200,1.4039
0.0227,0.0009,0.0003,0.0001,0.0206,0.0011,200,1.4038
0.0246,0.0008,0.0004,0.0001,0.0226,0.0011,200,1.4039
0.0325,0.0009,0.0004,0.0000,0.0306,0.0010,200,1.4039
0.0124,0.0008,0.0004,0.0001,0.0102,0.0012,200,1.6039
0.0147,0.0010,0.0004,0.0001,0.0125,0.0011,200,1.6038
0.0218,0.0010,0.0002,0.0001,0.0195,0.0013,200,1.6038
0.0264,0.0009,0.0004,0.0001,0.0243,0.0011,200,1.6039
0.0312,0.0008,0.0004,0.0000,0.0290,0.0013,200,1.6039
0.0125,0.0009,0.0002,0.0001,0.0100,0.0015,200,1.8041
0.0131,0.0009,0.0004,0.0001,0.0103,0.0017,200,1.8040
0.0219,0.0009,0.0004,0.0000,0.0200,0.0010,200,1.8041
0.0251,0.0008,0.0004,0.0001,0.0227,0.0013,200,1.8039
0.0313,0.0010,0.0004,0.0001,0.0292,0.0010,200,1.8040
0.0186,0.0010,0.0004,0.0001,0.0161,0.0013,200,2.0039
0.0284,0.0010,0.0002,0.0001,0.0257,0.0016,200,2.0040
