response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0923,0.0015,0.0009,0.0001,0.0906,0.0001,200,0.2032
0.0948,0.0016,0.0008,0.0001,0.0930,0.0001,200,0.2033
0.1212,0.0016,0.0009,0.0001,0.1194,0.0001,200,0.2031
0.1234,0.0017,0.0010,0.0001,0.1215,0.0001,200,0.2030
0.1501,0.0016,0.0010,0.0001,0.1483,0.0001,200,0.2032
0.0833,0.0007,0.0002,0.0000,0.0823,0.0001,200,0.4032
0.0845,0.0008,0.0003,0.0001,0.0833,0.0001,200,0.4032
0.1127,0.0008,0.0004,0.0001,0.1117,0.0001,200,0.4033
0.1143,0.0009,0.0003,0.0000,0.1134,0.0001,200,0.4033
0.1407,0.0009,0.0003,0.0000,0.1397,0.0001,200,0.4032
0.0734,0.0006,0.0002,0.0001,0.0727,0.0001,200,0.6033
0.0755,0.0009,0.0004,0.0001,0.0745,0.0001,200,0.6030
0.1018,0.0006,0.0002,0.0001,0.1010,0.0001,200,0.6033
0.1042,0.0005,0.0000,0.0000,0.1036,0.0001,200,0.6033
0.1301,0.0006,0.0002,0.0001,0.1294,0.0001,200,0.6032
0.0746,0.0009,0.0002,0.0001,0.0735,0.0001,200,0.8031
0.0801,0.0007,0.0003,0.0001,0.0792,0.0001,200,0.8033
0.1033,0.0008,0.0003,0.0001,0.1024,0.0001,200,0.8032
0.1086,0.0008,0.0003,0.0001,0.1076,0.0001,200,0.8032
0.1318,0.0008,0.0003,0.0001,0.1308,0.0001,200,0.8032
0.0771,0.0008,0.0003,0.0000,0.0761,0.0001,200,1.0031
0.0810,0.0009,0.0004,0.0001,0.0799,0.0001,200,1.0031
0.1065,0.0008,0.0003,0.0001,0.1055,0.0001,200,1.0031
0.1089,0.0009,0.0003,0.0000,0.1079,0.0001,200,1.0031
0.1348,0.0010,0.0004,0.0000,0.1337,0.0001,200,1.0030
0.0733,0.0008,0.0004,0.0001,0.0723,0.0001,200,1.2031
0.0809,0.0009,0.0003,0.0000,0.0798,0.0001,200,1.2031
0.1017,0.0008,0.0003,0.0001,0.1007,0.0001,200,1.2032
0.1096,0.0008,0.0002,0.0001,0.1086,0.0001,200,1.2032
0.1308,0.0008,0.0004,0.0001,0.1298,0.0001,200,1.2030
0.0732,0.0007,0.0003,0.0001,0.0722,0.0001,200,1.4033
0.0798,0.0007,0.0003,0.0000,0.0790,0.0001,200,1.4033
0.1022,0.0008,0.0003,0.0001,0.1011,0.0001,200,1.4032
0.1088,0.0009,0.0002,0.0001,0.1077,0.0001,200,1.4031
0.1303,0.0009,0.0003,0.0001,0.1293,0.0001,200,1.4032
0.0753,0.0009,0.0004,0.0000,0.0743,0.0001,200,1.6033
0.0848,0.0010,0.0004,0.0000,0.0837,0.0001,200,1.6032
0.1043,0.0009,0.0004,0.0000,0.1032,0.0001,200,1.6032
0.1188,0.0007,0.0002,0.0001,0.1179,0.0001,200,1.6034
0.1332,0.0009,0.0004,0.0000,0.1320,0.0001,200,1.6031
0.0742,0.0009,0.0004,0.0001,0.0730,0.0001,200,1.8031
0.0800,0.0009,0.0004,0.0001,0.0789,0.0001,200,1.8031
0.1120,0.0008,0.0004,0.0001,0.1110,0.0001,200,1.8031
0.1168,0.0006,0.0002,0.0000,0.1160,0.0001,200,1.8032
0.1399,0.0008,0.0004,0.0001,0.1389,0.0001,200,1.8031
0.0795,0.0008,0.0004,0.0001,0.0785,0.0001,200,2.0032
0.0829,0.0007,0.0002,0.0001,0.0821,0.0001,200,2.0034
0.1082,0.0007,0.0003,0.0001,0.1073,0.0001,200,2.0034
0.1119,0.0009,0.0004,0.0001,0.1108,0.0000,200,2.0032
0.1382,0.0007,0.0003,0.0001,0.1370,0.0001,200,2.0031
0.0753,0.0013,0.0003,0.0000,0.0738,0.0001,200,2.2031
0.0829,0.0011,0.0007,0.0001,0.0816,0.0001,200,2.2033
0.1047,0.0007,0.0002,0.0001,0.1038,0.0001,200,2.2036
0.1121,0.0012,0.0006,0.0001,0.1108,0.0001,200,2.2032
0.1328,0.0012,0.0007,0.0001,0.1315,0.0001,200,2.2032
0.0739,0.0011,0.0005,0.0000,0.0726,0.0001,200,2.4032
0.0820,0.0011,0.0004,0.0001,0.0807,0.0001,200,2.4031
0.1019,0.0008,0.0004,0.0001,0.1009,0.0001,200,2.4033
0.1109,0.0007,0.0003,0.0001,0.1101,0.0001,200,2.4034
0.1299,0.0010,0.0005,0.0001,0.1288,0.0001,200,2.4032
0.0743,0.0011,0.0003,0.0001,0.0730,0.0001,200,2.6031
0.0823,0.0011,0.0004,0.0001,0.0809,0.0001,200,2.6032
0.1033,0.0011,0.0005,0.0001,0.1019,0.0001,200,2.6032
0.1113,0.0010,0.0003,0.0001,0.1102,0.0001,200,2.6033
0.1314,0.0009,0.0004,0.0000,0.1304,0.0000,200,2.6033
0.0736,0.0008,0.0003,0.0001,0.0726,0.0001,200,2.8032
0.0814,0.0008,0.0002,0.0000,0.0804,0.0001,200,2.8032
0.1029,0.0008,0.0003,0.0000,0.1020,0.0001,200,2.8031
0.1101,0.0008,0.0003,0.0001,0.1091,0.0001,200,2.8031
0.1309,0.0009,0.0004,0.0001,0.1298,0.0001,200,2.8031
0.0761,0.0010,0.0005,0.0001,0.0749,0.0001,200,3.0032
0.0804,0.0010,0.0005,0.0001,0.0793,0.0001,200,3.0032
0.1056,0.0009,0.0005,0.0000,0.1046,0.0001,200,3.0033
0.1091,0.0010,0.0003,0.0001,0.1080,0.0001,200,3.0031
0.1346,0.0010,0.0005,0.0001,0.1334,0.0001,200,3.0031
0.0838,0.0009,0.0004,0.0001,0.0827,0.0001,200,3.2032
0.0855,0.0010,0.0004,0.0000,0.0844,0.0001,200,3.2031
0.1129,0.0010,0.0003,0.0001,0.1117,0.0001,200,3.2031
0.1145,0.0009,0.0003,0.0001,0.1135,0.0000,200,3.2031
0.1407,0.0008,0.0001,0.0001,0.1398,0.0000,200,3.2033
0.0818,0.0010,0.0004,0.0001,0.0806,0.0001,200,3.4031
0.0852,0.0008,0.0004,0.0001,0.0842,0.0000,200,3.4034
0.1112,0.0008,0.0004,0.0000,0.1102,0.0001,200,3.4033
0.1279,0.0009,0.0004,0.0000,0.1268,0.0001,200,3.4032
0.1402,0.0010,0.0004,0.0001,0.1391,0.0001,200,3.4032
0.0752,0.0009,0.0003,0.0000,0.0742,0.0001,200,3.6032
0.0794,0.0009,0.0004,0.0001,0.0783,0.0001,200,3.6032
0.1052,0.0011,0.0004,0.0001,0.1040,0.0001,200,3.6031
0.1080,0.0010,0.0004,0.0001,0.1068,0.0001,200,3.6031
0.1380,0.0010,0.0004,0.0001,0.1369,0.0001,200,3.6031
0.0829,0.0008,0.0003,0.0001,0.0820,0.0001,200,3.8031
0.0836,0.0008,0.0003,0.0001,0.0827,0.0000,200,3.8031
0.1149,0.0007,0.0001,0.0001,0.1141,0.0001,200,3.8033
0.1155,0.0008,0.0003,0.0001,0.1146,0.0000,200,3.8031
0.1468,0.0009,0.0003,0.0001,0.1458,0.0001,200,3.8030
0.0820,0.0008,0.0003,0.0001,0.0811,0.0001,200,4.0032
0.0840,0.0008,0.0003,0.0001,0.0831,0.0000,200,4.0031
0.1127,0.0008,0.0003,0.0001,0.1117,0.0001,200,4.0031
0.1140,0.0009,0.0004,0.0000,0.1130,0.0001,200,4.0030
0.1410,0.0008,0.0003,0.0001,0.1400,0.0001,200,4.0032
0.0731,0.0008,0.0002,0.0001,0.0721,0.0001,200,4.2032
0.0797,0.0008,0.0003,0.0000,0.0788,0.0001,200,4.2031
0.1022,0.0008,0.0003,0.0001,0.1012,0.0001,200,4.2031
0.1081,0.0007,0.0003,0.0001,0.1072,0.0001,200,4.2032
0.1304,0.0009,0.0004,0.0001,0.1294,0.0001,200,4.2031
0.0742,0.0008,0.0002,0.0001,0.0733,0.0001,200,4.4031
0.0802,0.0007,0.0003,0.0001,0.0793,0.0001,200,4.4032
0.1059,0.0006,0.0001,0.0001,0.1052,0.0001,200,4.4033
0.1093,0.0007,0.0003,0.0001,0.1084,0.0000,200,4.4031
0.1345,0.0008,0.0004,0.0000,0.1335,0.0001,200,4.4031
