response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0998,0.0009,0.0003,0.0001,2.0970,0.0018,200,0.2049
4.1768,0.0010,0.0004,0.0001,4.1739,0.0018,200,0.2049
6.2352,0.0016,0.0008,0.0001,6.2319,0.0015,200,0.2044
8.2925,0.0015,0.0005,0.0001,8.2894,0.0013,200,0.2043
10.3413,0.0016,0.0009,0.0001,10.3382,0.0013,200,0.2043
10.2882,0.0007,0.0003,0.0000,10.2857,0.0017,200,2.3048
10.2716,0.0006,0.0003,0.0000,10.2694,0.0015,200,4.3817
10.2796,0.0006,0.0004,0.0000,10.2775,0.0013,200,6.4395
10.2883,0.0007,0.0003,0.0001,10.2861,0.0015,200,8.4968
10.2888,0.0006,0.0003,0.0000,10.2865,0.0016,200,10.5456
10.2917,0.0007,0.0003,0.0000,10.2895,0.0014,200,12.5930
10.2973,0.0007,0.0004,0.0000,10.2951,0.0014,200,14.6533
10.2817,0.0007,0.0003,0.0001,10.2795,0.0015,200,16.7191
10.2579,0.0006,0.0003,0.0000,10.2555,0.0016,200,18.7851
10.2706,0.0006,0.0003,0.0000,10.2685,0.0014,200,20.8344
10.2807,0.0006,0.0003,0.0000,10.2786,0.0014,200,22.8847
10.3004,0.0007,0.0004,0.0000,10.2982,0.0015,200,24.9506
10.3082,0.0007,0.0003,0.0000,10.3058,0.0016,200,27.0008
10.3186,0.0006,0.0003,0.0000,10.3166,0.0014,200,29.0430
10.3079,0.0007,0.0003,0.0000,10.3056,0.0016,200,31.1050
10.3012,0.0007,0.0004,0.0000,10.2988,0.0015,200,33.1653
10.2740,0.0006,0.0003,0.0000,10.2718,0.0016,200,35.2509
10.2723,0.0007,0.0003,0.0000,10.2698,0.0017,200,37.3090
10.2719,0.0006,0.0003,0.0000,10.2697,0.0015,200,39.3616
10.2727,0.0006,0.0003,0.0001,10.2701,0.0020,200,41.4129
10.2648,0.0007,0.0003,0.0000,10.2623,0.0018,200,43.4665
10.2663,0.0006,0.0003,0.0000,10.2642,0.0014,200,45.5250
10.2608,0.0006,0.0003,0.0000,10.2582,0.0019,200,47.5813
10.2669,0.0007,0.0003,0.0000,10.2646,0.0016,200,49.6335
10.2722,0.0006,0.0003,0.0000,10.2701,0.0013,200,51.6856
10.2713,0.0006,0.0003,0.0000,10.2692,0.0015,200,53.7314
10.2780,0.0007,0.0004,0.0000,10.2756,0.0016,200,55.7913
10.2748,0.0012,0.0008,0.0000,10.2719,0.0017,200,57.8422
10.2689,0.0006,0.0003,0.0000,10.2666,0.0016,200,59.9004
