response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0316,0.0015,0.0008,0.0002,0.0298,0.0001,200,0.2035
0.0586,0.0014,0.0008,0.0001,0.0571,0.0001,200,0.2038
0.0857,0.0014,0.0008,0.0001,0.0841,0.0001,200,0.2037
0.1124,0.0014,0.0007,0.0001,0.1109,0.0000,200,0.2038
0.1394,0.0015,0.0009,0.0001,0.1378,0.0001,200,0.2037
0.0291,0.0007,0.0003,0.0000,0.0282,0.0001,200,0.4037
0.0563,0.0010,0.0004,0.0001,0.0551,0.0001,200,0.4035
0.0833,0.0009,0.0004,0.0001,0.0823,0.0001,200,0.4037
0.1099,0.0006,0.0000,0.0001,0.1092,0.0001,200,0.4039
0.1371,0.0010,0.0003,0.0000,0.1360,0.0001,200,0.4036
0.0287,0.0008,0.0001,0.0000,0.0278,0.0001,200,0.6038
0.0559,0.0008,0.0003,0.0001,0.0549,0.0001,200,0.6035
0.0829,0.0007,0.0002,0.0001,0.0821,0.0001,200,0.6036
0.1097,0.0007,0.0001,0.0000,0.1089,0.0000,200,0.6038
0.1365,0.0007,0.0001,0.0001,0.1357,0.0001,200,0.6038
0.0289,0.0008,0.0003,0.0001,0.0279,0.0001,200,0.8036
0.0560,0.0007,0.0003,0.0000,0.0551,0.0001,200,0.8035
0.0828,0.0008,0.0001,0.0000,0.0820,0.0001,200,0.8038
0.1098,0.0006,0.0002,0.0001,0.1091,0.0001,200,0.8038
0.1366,0.0006,0.0003,0.0001,0.1359,0.0001,200,0.8038
0.0347,0.0008,0.0001,0.0001,0.0337,0.0001,200,1.0036
0.0618,0.0010,0.0003,0.0001,0.0606,0.0001,200,1.0036
0.0885,0.0010,0.0003,0.0001,0.0873,0.0001,200,1.0037
0.1155,0.0010,0.0005,0.0001,0.1143,0.0001,200,1.0035
0.1421,0.0009,0.0003,0.0001,0.1410,0.0001,200,1.0037
0.0289,0.0008,0.0003,0.0000,0.0280,0.0001,200,1.2036
0.0560,0.0009,0.0004,0.0001,0.0549,0.0001,200,1.2035
0.0828,0.0007,0.0003,0.0001,0.0819,0.0001,200,1.2038
0.1096,0.0008,0.0003,0.0001,0.1087,0.0001,200,1.2037
0.1366,0.0007,0.0003,0.0000,0.1358,0.0001,200,1.2037
0.0292,0.0009,0.0004,0.0001,0.0281,0.0001,200,1.4036
0.0562,0.0008,0.0004,0.0001,0.0553,0.0001,200,1.4037
0.0833,0.0008,0.0004,0.0001,0.0823,0.0001,200,1.4037
0.1100,0.0008,0.0003,0.0001,0.1091,0.0001,200,1.4037
0.1371,0.0009,0.0005,0.0001,0.1360,0.0001,200,1.4035
0.0291,0.0009,0.0003,0.0001,0.0282,0.0001,200,1.6036
0.0560,0.0008,0.0004,0.0001,0.0551,0.0001,200,1.6036
0.0832,0.0008,0.0003,0.0000,0.0823,0.0001,200,1.6036
0.1100,0.0008,0.0003,0.0001,0.1091,0.0001,200,1.6037
0.1368,0.0007,0.0001,0.0001,0.1359,0.0000,200,1.6038
0.0290,0.0005,0.0001,0.0000,0.0282,0.0001,200,1.8037
0.0562,0.0009,0.0004,0.0001,0.0551,0.0001,200,1.8036
0.0828,0.0007,0.0002,0.0001,0.0819,0.0001,200,1.8038
0.1100,0.0009,0.0003,0.0001,0.1089,0.0001,200,1.8037
0.1369,0.0009,0.0003,0.0001,0.1358,0.0001,200,1.8036
0.0292,0.0008,0.0004,0.0001,0.0282,0.0001,200,2.0036
0.0561,0.0010,0.0003,0.0000,0.0550,0.0001,200,2.0037
0.0832,0.0008,0.0004,0.0001,0.0822,0.0001,200,2.0036
0.1102,0.0011,0.0005,0.0001,0.1090,0.0001,200,2.0035
0.1370,0.0009,0.0004,0.0000,0.1359,0.0001,200,2.0037
0.0292,0.0006,0.0001,0.0000,0.0284,0.0001,200,2.2038
0.0565,0.0010,0.0004,0.0000,0.0554,0.0001,200,2.2036
0.0833,0.0008,0.0003,0.0001,0.0823,0.0001,200,2.2036
0.1101,0.0008,0.0004,0.0001,0.1092,0.0001,200,2.2037
0.1369,0.0008,0.0004,0.0001,0.1359,0.0000,200,2.2037
0.0298,0.0011,0.0005,0.0001,0.0284,0.0001,200,2.4036
0.0566,0.0010,0.0003,0.0000,0.0555,0.0001,200,2.4037
0.0837,0.0011,0.0004,0.0001,0.0825,0.0000,200,2.4036
0.1107,0.0011,0.0004,0.0001,0.1094,0.0001,200,2.4037
0.1386,0.0011,0.0004,0.0001,0.1373,0.0001,200,2.4037
0.0296,0.0009,0.0003,0.0001,0.0286,0.0001,200,2.6037
0.0569,0.0009,0.0004,0.0000,0.0559,0.0000,200,2.6036
0.0841,0.0009,0.0003,0.0001,0.0830,0.0001,200,2.6037
0.1114,0.0011,0.0005,0.0006,0.1096,0.0001,200,2.6035
0.1383,0.0009,0.0002,0.0001,0.1371,0.0000,200,2.6037
0.0294,0.0008,0.0002,0.0001,0.0284,0.0001,200,2.8036
0.0563,0.0009,0.0003,0.0000,0.0553,0.0001,200,2.8035
0.0832,0.0006,0.0001,0.0001,0.0824,0.0001,200,2.8038
0.1100,0.0006,0.0001,0.0001,0.1092,0.0001,200,2.8038
0.1369,0.0007,0.0001,0.0001,0.1361,0.0001,200,2.8038
0.0288,0.0006,0.0002,0.0000,0.0281,0.0001,200,3.0037
0.0560,0.0008,0.0002,0.0000,0.0551,0.0001,200,3.0037
0.0830,0.0008,0.0004,0.0000,0.0820,0.0001,200,3.0035
0.1097,0.0008,0.0003,0.0001,0.1088,0.0000,200,3.0036
0.1367,0.0007,0.0003,0.0001,0.1358,0.0001,200,3.0036
0.0290,0.0006,0.0001,0.0000,0.0283,0.0001,200,3.2038
0.0562,0.0009,0.0004,0.0001,0.0552,0.0001,200,3.2035
0.0828,0.0005,0.0001,0.0001,0.0821,0.0001,200,3.2038
0.1098,0.0006,0.0001,0.0001,0.1091,0.0001,200,3.2038
0.1368,0.0006,0.0001,0.0001,0.1360,0.0001,200,3.2037
0.0289,0.0007,0.0003,0.0001,0.0280,0.0001,200,3.4037
0.0558,0.0007,0.0003,0.0001,0.0550,0.0000,200,3.4037
0.0833,0.0009,0.0004,0.0001,0.0823,0.0001,200,3.4035
0.1100,0.0007,0.0002,0.0001,0.1091,0.0001,200,3.4037
0.1369,0.0008,0.0003,0.0001,0.1359,0.0001,200,3.4036
0.0292,0.0010,0.0004,0.0001,0.0281,0.0001,200,3.6035
0.0560,0.0009,0.0004,0.0000,0.0550,0.0000,200,3.6037
0.0831,0.0009,0.0004,0.0001,0.0821,0.0001,200,3.6036
0.1099,0.0008,0.0004,0.0001,0.1089,0.0000,200,3.6037
0.1368,0.0008,0.0002,0.0001,0.1359,0.0001,200,3.6036
0.0293,0.0010,0.0006,0.0001,0.0281,0.0001,200,3.8037
0.0561,0.0007,0.0003,0.0000,0.0553,0.0001,200,3.8038
0.0834,0.0012,0.0006,0.0001,0.0820,0.0000,200,3.8036
0.1102,0.0010,0.0005,0.0001,0.1091,0.0000,200,3.8037
0.1369,0.0010,0.0005,0.0001,0.1358,0.0000,200,3.8037
0.0292,0.0009,0.0003,0.0001,0.0282,0.0001,200,4.0037
0.0561,0.0008,0.0002,0.0000,0.0552,0.0001,200,4.0037
0.0832,0.0009,0.0003,0.0001,0.0821,0.0001,200,4.0036
0.1100,0.0010,0.0004,0.0001,0.1089,0.0000,200,4.0036
0.1369,0.0008,0.0003,0.0001,0.1359,0.0001,200,4.0037
0.0290,0.0006,0.0002,0.0000,0.0283,0.0001,200,4.2038
0.0562,0.0008,0.0003,0.0001,0.0552,0.0001,200,4.2037
0.0831,0.0009,0.0003,0.0001,0.0821,0.0001,200,4.2037
0.1100,0.0009,0.0003,0.0001,0.1089,0.0000,200,4.2037
0.1370,0.0010,0.0004,0.0001,0.1358,0.0000,200,4.2036
0.0338,0.0006,0.0002,0.0001,0.0330,0.0001,200,4.4038
0.0610,0.0007,0.0003,0.0000,0.0602,0.0001,200,4.4036
0.0878,0.0006,0.0002,0.0001,0.0870,0.0001,200,4.4038
0.1146,0.0007,0.0001,0.0001,0.1139,0.0000,200,4.4038
0.1419,0.0009,0.0004,0.0001,0.1408,0.0001,200,4.4035
0.0288,0.0006,0.0002,0.0001,0.0280,0.0001,200,4.6037
0.0556,0.0006,0.0001,0.0000,0.0549,0.0001,200,4.6037
0.0827,0.0006,0.0002,0.0001,0.0820,0.0001,200,4.6037
0.1096,0.0006,0.0002,0.0001,0.1089,0.0000,200,4.6037
0.1367,0.0007,0.0003,0.0000,0.1359,0.0000,200,4.6035
0.0292,0.0010,0.0004,0.0000,0.0281,0.0001,200,4.8036
0.0561,0.0008,0.0004,0.0000,0.0551,0.0001,200,4.8037
0.0831,0.0009,0.0004,0.0001,0.0821,0.0000,200,4.8037
0.1100,0.0009,0.0004,0.0001,0.1089,0.0001,200,4.8036
