response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0511,0.0014,0.0007,0.0001,0.0495,0.0001,200,0.2044
0.0533,0.0014,0.0008,0.0001,0.0518,0.0001,200,0.2044
0.0565,0.0013,0.0008,0.0001,0.0550,0.0001,200,0.2042
0.0590,0.0016,0.0009,0.0001,0.0571,0.0001,200,0.2041
0.0597,0.0014,0.0008,0.0001,0.0581,0.0000,200,0.2044
0.0420,0.0009,0.0002,0.0001,0.0409,0.0001,200,0.4044
0.0574,0.0010,0.0003,0.0001,0.0562,0.0001,200,0.4042
0.0598,0.0007,0.0001,0.0000,0.0590,0.0001,200,0.4044
0.0611,0.0011,0.0004,0.0001,0.0597,0.0001,200,0.4041
0.0631,0.0010,0.0004,0.0001,0.0619,0.0001,200,0.4042
0.0481,0.0008,0.0003,0.0000,0.0471,0.0001,200,0.6042
0.0500,0.0010,0.0004,0.0001,0.0488,0.0001,200,0.6042
0.0525,0.0010,0.0004,0.0001,0.0513,0.0001,200,0.6043
0.0534,0.0010,0.0004,0.0001,0.0522,0.0000,200,0.6043
0.0558,0.0011,0.0005,0.0001,0.0546,0.0000,200,0.6041
0.0499,0.0008,0.0003,0.0001,0.0488,0.0001,200,0.8043
0.0523,0.0010,0.0004,0.0001,0.0511,0.0001,200,0.8041
0.0530,0.0007,0.0002,0.0001,0.0521,0.0001,200,0.8044
0.0555,0.0007,0.0003,0.0001,0.0546,0.0001,200,0.8044
0.0566,0.0009,0.0004,0.0001,0.0556,0.0001,200,0.8043
0.0522,0.0009,0.0005,0.0001,0.0510,0.0001,200,1.0043
0.0549,0.0010,0.0005,0.0001,0.0538,0.0001,200,1.0043
0.0571,0.0011,0.0005,0.0001,0.0558,0.0001,200,1.0041
0.0579,0.0010,0.0005,0.0001,0.0568,0.0000,200,1.0042
0.0601,0.0010,0.0003,0.0001,0.0589,0.0001,200,1.0043
0.0488,0.0010,0.0004,0.0001,0.0475,0.0001,200,1.2041
0.0512,0.0010,0.0003,0.0001,0.0500,0.0001,200,1.2042
0.0537,0.0009,0.0004,0.0001,0.0526,0.0001,200,1.2043
0.0547,0.0009,0.0004,0.0000,0.0537,0.0000,200,1.2043
0.0557,0.0010,0.0003,0.0001,0.0545,0.0001,200,1.2042
0.0479,0.0008,0.0002,0.0001,0.0469,0.0001,200,1.4044
0.0545,0.0008,0.0002,0.0001,0.0536,0.0001,200,1.4044
0.0635,0.0010,0.0005,0.0000,0.0624,0.0001,200,1.4041
0.0651,0.0007,0.0003,0.0001,0.0642,0.0001,200,1.4044
0.0670,0.0008,0.0002,0.0000,0.0661,0.0001,200,1.4044
