response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0184,0.0012,0.0006,0.0002,0.0169,0.0001,200,0.2043
0.0207,0.0013,0.0005,0.0002,0.0192,0.0001,200,0.2043
0.0211,0.0015,0.0008,0.0002,0.0192,0.0001,200,0.2040
0.0213,0.0015,0.0007,0.0001,0.0194,0.0002,200,0.2040
0.0240,0.0013,0.0006,0.0001,0.0225,0.0001,200,0.2042
0.0054,0.0011,0.0004,0.0001,0.0041,0.0002,200,0.4040
0.0082,0.0009,0.0003,0.0001,0.0071,0.0001,200,0.4041
0.0114,0.0012,0.0004,0.0000,0.0100,0.0002,200,0.4040
0.0142,0.0011,0.0004,0.0002,0.0129,0.0001,200,0.4041
0.0174,0.0011,0.0004,0.0001,0.0160,0.0001,200,0.4040
0.0054,0.0009,0.0003,0.0001,0.0042,0.0001,200,0.6041
0.0086,0.0010,0.0004,0.0001,0.0073,0.0001,200,0.6040
0.0116,0.0010,0.0004,0.0001,0.0105,0.0001,200,0.6041
0.0145,0.0010,0.0004,0.0001,0.0134,0.0001,200,0.6041
0.0178,0.0011,0.0005,0.0001,0.0165,0.0001,200,0.6040
0.0053,0.0010,0.0005,0.0001,0.0042,0.0001,200,0.8040
0.0086,0.0011,0.0004,0.0001,0.0073,0.0002,200,0.8040
0.0114,0.0011,0.0004,0.0001,0.0102,0.0001,200,0.8040
0.0145,0.0010,0.0005,0.0001,0.0133,0.0001,200,0.8040
0.0175,0.0010,0.0004,0.0001,0.0163,0.0001,200,0.8041
0.0053,0.0009,0.0004,0.0001,0.0041,0.0002,200,1.0041
0.0086,0.0010,0.0003,0.0001,0.0073,0.0001,200,1.0040
0.0116,0.0011,0.0003,0.0002,0.0103,0.0001,200,1.0040
0.0146,0.0010,0.0004,0.0001,0.0133,0.0001,200,1.0040
0.0175,0.0009,0.0004,0.0002,0.0162,0.0001,200,1.0040
0.0053,0.0009,0.0004,0.0001,0.0042,0.0001,200,1.2040
0.0083,0.0010,0.0004,0.0001,0.0072,0.0001,200,1.2041
0.0112,0.0009,0.0004,0.0001,0.0102,0.0001,200,1.2041
0.0144,0.0011,0.0005,0.0001,0.0132,0.0001,200,1.2040
0.0173,0.0010,0.0003,0.0001,0.0161,0.0001,200,1.2041
0.0053,0.0009,0.0004,0.0001,0.0042,0.0001,200,1.4041
0.0085,0.0011,0.0004,0.0000,0.0073,0.0001,200,1.4040
0.0114,0.0011,0.0003,0.0000,0.0103,0.0001,200,1.4042
0.0149,0.0011,0.0004,0.0001,0.0136,0.0001,200,1.4041
