response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0322,0.0014,0.0009,0.0001,0.0304,0.0001,200,0.2026
0.0517,0.0013,0.0009,0.0001,0.0502,0.0001,200,0.2028
0.0704,0.0015,0.0009,0.0001,0.0685,0.0001,200,0.2025
0.0886,0.0014,0.0009,0.0001,0.0869,0.0001,200,0.2026
0.1065,0.0013,0.0007,0.0001,0.1050,0.0001,200,0.2029
0.0206,0.0008,0.0003,0.0000,0.0197,0.0001,200,0.4026
0.0390,0.0007,0.0002,0.0001,0.0382,0.0001,200,0.4027
0.0576,0.0008,0.0003,0.0000,0.0567,0.0001,200,0.4027
0.0769,0.0010,0.0004,0.0000,0.0758,0.0001,200,0.4025
0.0957,0.0008,0.0002,0.0000,0.0948,0.0000,200,0.4026
0.0201,0.0007,0.0001,0.0000,0.0193,0.0001,200,0.6027
0.0389,0.0011,0.0005,0.0001,0.0376,0.0001,200,0.6025
0.0567,0.0007,0.0002,0.0001,0.0559,0.0001,200,0.6028
0.0752,0.0007,0.0002,0.0001,0.0743,0.0001,200,0.6028
0.0933,0.0009,0.0003,0.0001,0.0923,0.0001,200,0.6026
0.0201,0.0008,0.0004,0.0001,0.0191,0.0001,200,0.8026
0.0384,0.0009,0.0004,0.0001,0.0374,0.0001,200,0.8026
0.0564,0.0008,0.0004,0.0001,0.0555,0.0001,200,0.8026
0.0747,0.0010,0.0004,0.0000,0.0736,0.0001,200,0.8025
0.0931,0.0008,0.0003,0.0000,0.0922,0.0001,200,0.8026
0.0199,0.0007,0.0003,0.0001,0.0191,0.0001,200,1.0025
0.0394,0.0007,0.0003,0.0001,0.0385,0.0001,200,1.0026
0.0576,0.0009,0.0004,0.0000,0.0566,0.0000,200,1.0025
0.0756,0.0006,0.0002,0.0000,0.0750,0.0001,200,1.0027
0.0943,0.0006,0.0003,0.0001,0.0935,0.0001,200,1.0026
0.0204,0.0008,0.0002,0.0000,0.0195,0.0001,200,1.2027
0.0389,0.0010,0.0004,0.0000,0.0378,0.0001,200,1.2025
0.0574,0.0009,0.0003,0.0001,0.0564,0.0001,200,1.2027
0.0758,0.0009,0.0003,0.0001,0.0748,0.0001,200,1.2026
0.0952,0.0010,0.0004,0.0000,0.0941,0.0001,200,1.2026
0.0204,0.0009,0.0004,0.0000,0.0194,0.0001,200,1.4025
0.0388,0.0008,0.0003,0.0001,0.0379,0.0001,200,1.4026
0.0571,0.0008,0.0003,0.0001,0.0561,0.0001,200,1.4026
0.0751,0.0007,0.0002,0.0000,0.0743,0.0000,200,1.4026
0.0935,0.0009,0.0003,0.0000,0.0926,0.0000,200,1.4026
0.0212,0.0008,0.0003,0.0000,0.0202,0.0001,200,1.6026
0.0395,0.0012,0.0004,0.0001,0.0381,0.0001,200,1.6026
0.0580,0.0013,0.0003,0.0001,0.0566,0.0001,200,1.6026
0.0769,0.0013,0.0003,0.0001,0.0754,0.0001,200,1.6026
0.1005,0.0010,0.0005,0.0004,0.0989,0.0001,200,1.6025
0.0216,0.0009,0.0004,0.0001,0.0205,0.0001,200,1.8025
0.0409,0.0009,0.0003,0.0001,0.0399,0.0001,200,1.8026
0.0591,0.0008,0.0002,0.0001,0.0582,0.0001,200,1.8026
0.0777,0.0008,0.0003,0.0000,0.0767,0.0001,200,1.8025
0.0961,0.0008,0.0003,0.0001,0.0952,0.0000,200,1.8026
0.0202,0.0008,0.0004,0.0001,0.0193,0.0001,200,2.0026
0.0385,0.0008,0.0004,0.0001,0.0375,0.0001,200,2.0026
0.0574,0.0009,0.0003,0.0001,0.0564,0.0001,200,2.0026
0.0754,0.0009,0.0004,0.0001,0.0742,0.0001,200,2.0025
0.0944,0.0008,0.0004,0.0000,0.0935,0.0001,200,2.0025
0.0206,0.0007,0.0003,0.0001,0.0198,0.0001,200,2.2026
0.0397,0.0009,0.0004,0.0001,0.0387,0.0001,200,2.2025
0.0578,0.0009,0.0003,0.0001,0.0568,0.0000,200,2.2026
0.0760,0.0008,0.0003,0.0001,0.0750,0.0001,200,2.2025
0.0942,0.0008,0.0003,0.0001,0.0932,0.0001,200,2.2026
