response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0010,0.0004,0.0001,0.0005,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0001
0.0018,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0001
0.0017,0.0010,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0001
0.0016,0.0010,0.0005,0.0000,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0006,0.0001,0.0004,0.0001,404,0.0001
0.0019,0.0013,0.0008,0.0001,0.0004,0.0001,404,0.0001
0.0018,0.0012,0.0007,0.0001,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0001
0.0018,0.0012,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0023,0.0016,0.0010,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0005,0.0001,404,0.0002
0.0019,0.0010,0.0004,0.0000,0.0007,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0001
0.0017,0.0011,0.0006,0.0000,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0000,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0001
0.0018,0.0012,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0001,0.0004,0.0000,404,0.0001
0.0018,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0001
0.0019,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0002
0.0023,0.0016,0.0010,0.0001,0.0004,0.0001,404,0.0001
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0020,0.0013,0.0005,0.0000,0.0005,0.0001,404,0.0001
0.0023,0.0016,0.0010,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0010,0.0004,0.0001,0.0005,0.0001,404,0.0001
0.0018,0.0012,0.0006,0.0001,0.0004,0.0001,404,0.0002
0.0018,0.0012,0.0006,0.0000,0.0004,0.0001,404,0.0002
0.0017,0.0010,0.0005,0.0001,0.0005,0.0001,404,0.0001
0.0018,0.0011,0.0005,0.0001,0.0005,0.0001,404,0.0002
0.0017,0.0011,0.0004,0.0001,0.0004,0.0001,404,0.0001
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0017,0.0010,0.0004,0.0001,0.0005,0.0001,404,0.0002
0.0019,0.0012,0.0005,0.0001,0.0005,0.0001,404,0.0002
0.0018,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
0.0018,0.0011,0.0005,0.0001,0.0005,0.0001,404,0.0001
0.0016,0.0010,0.0005,0.0001,0.0004,0.0001,404,0.0001
0.0017,0.0011,0.0005,0.0001,0.0005,0.0001,404,0.0001
0.0017,0.0011,0.0005,0.0001,0.0004,0.0001,404,0.0002
