response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0427,0.0011,0.0005,0.0001,0.0414,0.0001,200,0.0002
0.0421,0.0011,0.0005,0.0000,0.0408,0.0001,200,0.0001
0.0430,0.0011,0.0005,0.0001,0.0416,0.0001,200,0.0002
0.0413,0.0011,0.0005,0.0001,0.0399,0.0001,200,0.0001
0.0432,0.0011,0.0005,0.0001,0.0418,0.0001,200,0.0002
0.0411,0.0011,0.0005,0.0001,0.0398,0.0001,200,0.0001
0.0416,0.0010,0.0005,0.0000,0.0403,0.0001,200,0.0002
0.0428,0.0011,0.0005,0.0001,0.0411,0.0001,200,0.0001
0.0414,0.0011,0.0006,0.0001,0.0401,0.0001,200,0.0002
0.0471,0.0011,0.0005,0.0000,0.0458,0.0001,200,0.0002
0.0428,0.0011,0.0006,0.0001,0.0413,0.0002,200,0.0002
0.0421,0.0011,0.0005,0.0001,0.0408,0.0001,200,0.0002
0.0458,0.0013,0.0008,0.0001,0.0442,0.0001,200,0.0001
0.0421,0.0012,0.0005,0.0001,0.0407,0.0001,200,0.0002
0.0442,0.0013,0.0008,0.0001,0.0426,0.0001,200,0.0002
0.0413,0.0011,0.0005,0.0001,0.0400,0.0001,200,0.0002
0.0426,0.0011,0.0005,0.0001,0.0412,0.0001,200,0.0001
0.0421,0.0010,0.0005,0.0001,0.0409,0.0001,200,0.0002
0.0449,0.0012,0.0005,0.0001,0.0434,0.0001,200,0.0002
0.0417,0.0011,0.0005,0.0000,0.0403,0.0001,200,0.0002
0.0421,0.0010,0.0005,0.0001,0.0407,0.0002,200,0.0002
0.0428,0.0011,0.0005,0.0001,0.0414,0.0001,200,0.0001
0.0424,0.0011,0.0005,0.0001,0.0412,0.0001,200,0.0002
0.0415,0.0010,0.0005,0.0001,0.0402,0.0001,200,0.0002
0.0422,0.0011,0.0005,0.0001,0.0408,0.0001,200,0.0002
0.0421,0.0012,0.0006,0.0001,0.0408,0.0001,200,0.0002
0.0425,0.0011,0.0006,0.0001,0.0412,0.0001,200,0.0002
0.0417,0.0011,0.0005,0.0001,0.0405,0.0001,200,0.0002
0.0435,0.0011,0.0005,0.0001,0.0423,0.0001,200,0.0001
0.0421,0.0011,0.0005,0.0000,0.0408,0.0001,200,0.0002
0.0422,0.0011,0.0005,0.0001,0.0409,0.0001,200,0.0001
0.0416,0.0011,0.0006,0.0001,0.0402,0.0001,200,0.0002
0.0423,0.0011,0.0005,0.0000,0.0410,0.0001,200,0.0002
0.0418,0.0010,0.0005,0.0001,0.0404,0.0002,200,0.0002
0.0442,0.0011,0.0005,0.0001,0.0428,0.0001,200,0.0002
0.0423,0.0011,0.0005,0.0001,0.0410,0.0001,200,0.0002
0.0415,0.0011,0.0005,0.0001,0.0402,0.0001,200,0.0001
0.0419,0.0011,0.0005,0.0001,0.0406,0.0001,200,0.0002
0.0528,0.0012,0.0007,0.0001,0.0513,0.0001,200,0.0002
0.0419,0.0012,0.0006,0.0001,0.0405,0.0001,200,0.0002
0.0420,0.0011,0.0005,0.0000,0.0407,0.0001,200,0.0002
0.0422,0.0011,0.0005,0.0001,0.0409,0.0001,200,0.0001
0.0417,0.0010,0.0005,0.0001,0.0405,0.0001,200,0.0002
0.0432,0.0011,0.0005,0.0000,0.0419,0.0001,200,0.0002
0.0414,0.0011,0.0005,0.0001,0.0401,0.0001,200,0.0002
0.0417,0.0011,0.0005,0.0000,0.0404,0.0001,200,0.0002
0.0424,0.0011,0.0005,0.0001,0.0410,0.0001,200,0.0001
0.0419,0.0011,0.0005,0.0001,0.0407,0.0001,200,0.0002
0.0426,0.0011,0.0006,0.0000,0.0412,0.0001,200,0.0001
0.0411,0.0011,0.0005,0.0001,0.0398,0.0001,200,0.0002
0.0441,0.0012,0.0005,0.0001,0.0427,0.0001,200,0.0001
0.0420,0.0011,0.0005,0.0001,0.0407,0.0001,200,0.0002
0.0413,0.0010,0.0005,0.0000,0.0401,0.0001,200,0.0002
0.0420,0.0011,0.0005,0.0001,0.0407,0.0001,200,0.0001
0.0423,0.0011,0.0005,0.0001,0.0409,0.0001,200,0.0002
0.0425,0.0011,0.0005,0.0000,0.0412,0.0002,200,0.0002
0.0427,0.0011,0.0005,0.0001,0.0415,0.0001,200,0.0002
0.0421,0.0011,0.0005,0.0001,0.0407,0.0001,200,0.0002
0.0418,0.0012,0.0006,0.0000,0.0404,0.0002,200,0.0001
0.0414,0.0011,0.0006,0.0001,0.0401,0.0001,200,0.0002
0.0417,0.0011,0.0005,0.0001,0.0404,0.0001,200,0.0001
0.0422,0.0011,0.0005,0.0001,0.0409,0.0001,200,0.0002
0.0427,0.0011,0.0005,0.0001,0.0414,0.0001,200,0.0002
0.0422,0.0011,0.0005,0.0000,0.0409,0.0001,200,0.0002
0.0421,0.0010,0.0005,0.0001,0.0408,0.0001,200,0.0002
0.0422,0.0011,0.0006,0.0001,0.0409,0.0001,200,0.0001
0.0420,0.0010,0.0005,0.0001,0.0407,0.0002,200,0.0001
0.0458,0.0044,0.0026,0.0001,0.0411,0.0001,200,0.0033
0.0415,0.0012,0.0006,0.0000,0.0402,0.0001,200,0.0002
0.0420,0.0010,0.0005,0.0000,0.0407,0.0001,200,0.0001
0.0415,0.0011,0.0005,0.0001,0.0402,0.0001,200,0.0002
0.0423,0.0012,0.0005,0.0001,0.0408,0.0001,200,0.0001
0.0434,0.0011,0.0005,0.0000,0.0421,0.0001,200,0.0001
0.0426,0.0010,0.0005,0.0001,0.0413,0.0001,200,0.0001
0.0496,0.0015,0.0009,0.0001,0.0479,0.0001,200,0.0002
0.0418,0.0010,0.0005,0.0001,0.0406,0.0001,200,0.0002
0.0420,0.0011,0.0005,0.0000,0.0406,0.0001,200,0.0002
0.0435,0.0011,0.0005,0.0001,0.0422,0.0001,200,0.0001
0.0427,0.0011,0.0005,0.0001,0.0413,0.0001,200,0.0002
0.0413,0.0011,0.0005,0.0001,0.0400,0.0001,200,0.0002
0.0418,0.0011,0.0006,0.0000,0.0404,0.0001,200,0.0002
0.0418,0.0012,0.0006,0.0001,0.0404,0.0001,200,0.0002
0.0421,0.0011,0.0005,0.0001,0.0408,0.0001,200,0.0001
0.0418,0.0010,0.0005,0.0001,0.0405,0.0001,200,0.0002
0.0414,0.0011,0.0005,0.0000,0.0400,0.0001,200,0.0001
0.0415,0.0011,0.0005,0.0001,0.0403,0.0001,200,0.0002
0.0413,0.0011,0.0005,0.0000,0.0401,0.0001,200,0.0002
0.0483,0.0015,0.0009,0.0000,0.0466,0.0001,200,0.0001
0.0431,0.0010,0.0004,0.0001,0.0418,0.0002,200,0.0001
0.0416,0.0011,0.0006,0.0001,0.0403,0.0001,200,0.0002
0.0425,0.0011,0.0005,0.0001,0.0412,0.0001,200,0.0002
