response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0301,0.0010,0.0005,0.0001,0.0289,0.0001,200,0.0002
0.0274,0.0012,0.0005,0.0000,0.0261,0.0001,200,0.0002
0.0317,0.0011,0.0005,0.0001,0.0304,0.0001,200,0.0002
0.0251,0.0011,0.0005,0.0001,0.0238,0.0001,200,0.0002
0.0246,0.0010,0.0004,0.0001,0.0234,0.0001,200,0.0001
0.0252,0.0011,0.0005,0.0001,0.0238,0.0001,200,0.0001
0.0243,0.0010,0.0005,0.0000,0.0231,0.0001,200,0.0002
0.0251,0.0012,0.0006,0.0001,0.0237,0.0001,200,0.0002
0.0246,0.0011,0.0006,0.0001,0.0233,0.0001,200,0.0001
0.0279,0.0011,0.0005,0.0001,0.0266,0.0001,200,0.0002
0.0255,0.0012,0.0005,0.0000,0.0242,0.0001,200,0.0002
0.0247,0.0012,0.0006,0.0001,0.0233,0.0001,200,0.0002
0.0265,0.0015,0.0008,0.0001,0.0248,0.0001,200,0.0017
0.0244,0.0011,0.0005,0.0001,0.0232,0.0001,200,0.0001
0.0247,0.0011,0.0005,0.0001,0.0234,0.0001,200,0.0001
0.0245,0.0011,0.0005,0.0001,0.0233,0.0001,200,0.0001
0.0243,0.0011,0.0005,0.0000,0.0231,0.0001,200,0.0002
0.0247,0.0011,0.0005,0.0001,0.0234,0.0001,200,0.0001
0.0250,0.0011,0.0005,0.0001,0.0237,0.0001,200,0.0001
0.0246,0.0011,0.0005,0.0001,0.0233,0.0001,200,0.0002
0.0246,0.0011,0.0005,0.0001,0.0233,0.0001,200,0.0002
0.0317,0.0015,0.0009,0.0001,0.0300,0.0001,200,0.0001
0.0253,0.0013,0.0007,0.0000,0.0238,0.0001,200,0.0002
0.0247,0.0011,0.0005,0.0001,0.0234,0.0001,200,0.0002
0.0245,0.0012,0.0006,0.0001,0.0231,0.0001,200,0.0002
0.0256,0.0013,0.0007,0.0001,0.0241,0.0001,200,0.0002
0.0252,0.0011,0.0005,0.0001,0.0239,0.0001,200,0.0001
0.0258,0.0011,0.0005,0.0001,0.0243,0.0002,200,0.0002
0.0246,0.0010,0.0005,0.0000,0.0233,0.0001,200,0.0001
0.0247,0.0012,0.0005,0.0000,0.0234,0.0001,200,0.0001
0.0242,0.0012,0.0005,0.0001,0.0228,0.0001,200,0.0002
0.0253,0.0012,0.0007,0.0001,0.0238,0.0001,200,0.0001
15.3215,0.0012,0.0006,0.0001,15.3200,0.0001,200,0.0001
0.0250,0.0011,0.0005,0.0001,0.0236,0.0001,200,0.0002
0.0243,0.0011,0.0005,0.0001,0.0230,0.0001,200,0.0001
15.3522,0.0010,0.0005,0.0001,15.3510,0.0001,200,0.0001
0.0247,0.0011,0.0006,0.0001,0.0233,0.0001,200,0.0002
0.0245,0.0011,0.0005,0.0001,0.0232,0.0001,200,0.0002
15.3642,0.0015,0.0009,0.0001,15.3625,0.0001,200,0.0001
0.0247,0.0011,0.0005,0.0001,0.0233,0.0001,200,0.0002
0.0247,0.0011,0.0005,0.0000,0.0234,0.0001,200,0.0001
0.0288,0.0014,0.0007,0.0001,0.0272,0.0001,200,0.0002
0.0245,0.0011,0.0005,0.0000,0.0232,0.0001,200,0.0001
0.0253,0.0011,0.0005,0.0001,0.0240,0.0001,200,0.0002
0.0246,0.0012,0.0005,0.0001,0.0233,0.0001,200,0.0002
0.0243,0.0011,0.0005,0.0000,0.0230,0.0001,200,0.0002
0.0255,0.0012,0.0006,0.0001,0.0241,0.0001,200,0.0001
0.0249,0.0011,0.0005,0.0001,0.0236,0.0001,200,0.0002
0.0250,0.0012,0.0007,0.0001,0.0236,0.0001,200,0.0002
0.0247,0.0012,0.0006,0.0001,0.0233,0.0001,200,0.0002
0.0246,0.0011,0.0005,0.0001,0.0233,0.0001,200,0.0001
