response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0786,0.0015,0.0009,0.0001,2.0757,0.0013,200,0.0002
2.0550,0.0011,0.0006,0.0001,2.0521,0.0016,200,0.0002
2.0552,0.0012,0.0006,0.0000,2.0525,0.0015,200,0.0001
2.0609,0.0012,0.0006,0.0001,2.0580,0.0016,200,0.0001
2.0468,0.0010,0.0005,0.0001,2.0440,0.0016,200,0.0001
2.0393,0.0012,0.0006,0.0001,2.0367,0.0014,200,0.0002
2.0641,0.0011,0.0005,0.0001,2.0615,0.0014,200,0.0001
2.0868,0.0012,0.0005,0.0000,2.0840,0.0015,200,0.0002
2.0699,0.0011,0.0005,0.0000,2.0674,0.0013,200,0.0001
2.0651,0.0011,0.0005,0.0001,2.0624,0.0015,200,0.0001
2.0913,0.0012,0.0006,0.0001,2.0884,0.0016,200,0.0001
2.0530,0.0012,0.0006,0.0001,2.0502,0.0014,200,0.0001
2.0572,0.0012,0.0006,0.0001,2.0547,0.0012,200,0.0001
2.0600,0.0014,0.0008,0.0000,2.0572,0.0013,200,0.0002
2.0768,0.0011,0.0005,0.0001,2.0742,0.0014,200,0.0002
2.0454,0.0012,0.0006,0.0000,2.0426,0.0014,200,0.0001
2.0854,0.0014,0.0008,0.0001,2.0826,0.0013,200,0.0002
2.0584,0.0010,0.0005,0.0001,2.0557,0.0015,200,0.0001
2.0748,0.0012,0.0006,0.0001,2.0720,0.0015,200,0.0001
2.0709,0.0011,0.0006,0.0000,2.0683,0.0014,200,0.0002
2.0630,0.0011,0.0005,0.0001,2.0605,0.0013,200,0.0001
2.0942,0.0012,0.0006,0.0001,2.0915,0.0014,200,0.0003
2.1183,0.0010,0.0005,0.0001,2.1156,0.0016,200,0.0002
2.0234,0.0013,0.0006,0.0001,2.0203,0.0017,200,0.0002
2.0759,0.0011,0.0005,0.0001,2.0732,0.0015,200,0.0002
2.0853,0.0011,0.0005,0.0001,2.0827,0.0014,200,0.0001
2.0720,0.0012,0.0006,0.0001,2.0693,0.0014,200,0.0002
2.0495,0.0011,0.0005,0.0000,2.0467,0.0015,200,0.0002
2.0451,0.0011,0.0005,0.0001,2.0425,0.0013,200,0.0002
2.0729,0.0011,0.0006,0.0001,2.0698,0.0018,200,0.0002
2.0331,0.0011,0.0005,0.0001,2.0303,0.0016,200,0.0002
2.0626,0.0013,0.0008,0.0000,2.0599,0.0012,200,0.0002
2.0745,0.0011,0.0006,0.0001,2.0718,0.0015,200,0.0001
2.0466,0.0012,0.0006,0.0001,2.0439,0.0014,200,0.0002
2.0980,0.0011,0.0005,0.0001,2.0955,0.0013,200,0.0002
2.0656,0.0012,0.0006,0.0001,2.0628,0.0014,200,0.0002
2.0670,0.0011,0.0005,0.0001,2.0644,0.0013,200,0.0002
2.0634,0.0012,0.0005,0.0001,2.0605,0.0017,200,0.0002
2.0683,0.0015,0.0009,0.0000,2.0649,0.0018,200,0.0002
2.0613,0.0011,0.0005,0.0001,2.0586,0.0015,200,0.0002
2.0823,0.0011,0.0005,0.0001,2.0793,0.0018,200,0.0001
2.1081,0.0012,0.0006,0.0001,2.1052,0.0015,200,0.0001
2.0592,0.0011,0.0005,0.0000,2.0566,0.0014,200,0.0001
2.0849,0.0016,0.0009,0.0000,2.0817,0.0014,200,0.0002
2.0857,0.0010,0.0004,0.0001,2.0831,0.0014,200,0.0001
2.1150,0.0011,0.0005,0.0001,2.1125,0.0013,200,0.0002
2.0548,0.0012,0.0006,0.0000,2.0521,0.0014,200,0.0001
2.0390,0.0011,0.0005,0.0000,2.0365,0.0014,200,0.0001
2.0472,0.0012,0.0006,0.0001,2.0446,0.0013,200,0.0001
2.0671,0.0012,0.0005,0.0001,2.0642,0.0017,200,0.0002
2.0395,0.0014,0.0008,0.0001,2.0366,0.0014,200,0.0002
2.0741,0.0011,0.0004,0.0001,2.0714,0.0015,200,0.0002
2.0367,0.0012,0.0007,0.0000,2.0340,0.0014,200,0.0002
2.0673,0.0012,0.0006,0.0000,2.0647,0.0013,200,0.0002
2.0907,0.0010,0.0004,0.0001,2.0880,0.0016,200,0.0001
2.0964,0.0012,0.0006,0.0000,2.0937,0.0014,200,0.0002
2.0501,0.0011,0.0005,0.0001,2.0475,0.0014,200,0.0002
2.0746,0.0014,0.0008,0.0001,2.0718,0.0012,200,0.0001
2.0426,0.0016,0.0009,0.0001,2.0396,0.0014,200,0.0002
2.1204,0.0015,0.0008,0.0001,2.1175,0.0013,200,0.0001
2.0414,0.0011,0.0005,0.0001,2.0389,0.0013,200,0.0002
2.0472,0.0011,0.0005,0.0001,2.0445,0.0015,200,0.0001
2.0707,0.0013,0.0006,0.0001,2.0679,0.0014,200,0.0001
2.0549,0.0011,0.0005,0.0001,2.0520,0.0018,200,0.0002
2.0538,0.0012,0.0006,0.0001,2.0509,0.0015,200,0.0001
2.0503,0.0012,0.0006,0.0001,2.0475,0.0015,200,0.0001
2.0796,0.0012,0.0006,0.0001,2.0769,0.0014,200,0.0002
