response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3522,0.0018,0.0011,0.0001,0.0181,0.3320,200,0.0003
0.3441,0.0017,0.0006,0.0001,0.0178,0.3245,200,0.0001
0.3882,0.0012,0.0005,0.0000,0.0205,0.3665,200,0.0002
0.3558,0.0012,0.0006,0.0001,0.0172,0.3372,200,0.0002
0.3450,0.0013,0.0007,0.0001,0.0179,0.3258,200,0.0001
0.3468,0.0013,0.0006,0.0001,0.0180,0.3274,200,0.0002
0.3532,0.0012,0.0006,0.0001,0.0182,0.3336,200,0.0001
0.3499,0.0012,0.0005,0.0000,0.0179,0.3307,200,0.0002
0.4039,0.0013,0.0007,0.0001,0.0246,0.3778,200,0.0001
0.3527,0.0011,0.0005,0.0000,0.0176,0.3338,200,0.0002
0.2977,0.0012,0.0005,0.0001,0.0157,0.2807,200,0.0001
0.3445,0.0012,0.0006,0.0001,0.0180,0.3252,200,0.0001
0.2936,0.0011,0.0005,0.0000,0.0159,0.2766,200,0.0002
0.3533,0.0011,0.0006,0.0001,0.0188,0.3332,200,0.0002
0.3469,0.0012,0.0006,0.0001,0.0180,0.3276,200,0.0002
0.3543,0.0012,0.0006,0.0001,0.0176,0.3353,200,0.0001
0.3477,0.0010,0.0005,0.0001,0.0174,0.3292,200,0.0002
0.3578,0.0011,0.0005,0.0001,0.0177,0.3390,200,0.0001
0.3753,0.0011,0.0006,0.0001,0.0198,0.3542,200,0.0002
0.3509,0.0011,0.0005,0.0000,0.0186,0.3311,200,0.0002
0.2892,0.0012,0.0006,0.0001,0.0154,0.2725,200,0.0001
0.3461,0.0012,0.0006,0.0001,0.0181,0.3267,200,0.0001
0.3622,0.0011,0.0006,0.0001,0.0229,0.3381,200,0.0001
0.3494,0.0011,0.0006,0.0000,0.0180,0.3301,200,0.0002
0.2889,0.0011,0.0005,0.0001,0.0154,0.2722,200,0.0001
0.3604,0.0012,0.0006,0.0001,0.0173,0.3418,200,0.0002
0.3624,0.0011,0.0006,0.0001,0.0178,0.3434,200,0.0002
0.3506,0.0014,0.0006,0.0001,0.0185,0.3306,200,0.0002
0.2967,0.0011,0.0005,0.0001,0.0152,0.2802,200,0.0002
0.3431,0.0012,0.0006,0.0001,0.0172,0.3246,200,0.0002
0.3655,0.0011,0.0005,0.0001,0.0190,0.3452,200,0.0001
0.3480,0.0011,0.0006,0.0001,0.0188,0.3280,200,0.0002
0.3446,0.0010,0.0005,0.0001,0.0175,0.3259,200,0.0002
0.3419,0.0011,0.0006,0.0000,0.0180,0.3227,200,0.0001
0.3429,0.0011,0.0006,0.0000,0.0176,0.3240,200,0.0002
0.3511,0.0013,0.0006,0.0000,0.0190,0.3308,200,0.0002
0.3032,0.0012,0.0006,0.0001,0.0151,0.2868,200,0.0002
0.3499,0.0012,0.0006,0.0001,0.0191,0.3294,200,0.0002
0.3452,0.0012,0.0005,0.0001,0.0181,0.3258,200,0.0002
0.2965,0.0012,0.0005,0.0001,0.0154,0.2798,200,0.0002
0.3507,0.0012,0.0006,0.0001,0.0176,0.3317,200,0.0002
0.3525,0.0011,0.0005,0.0000,0.0182,0.3330,200,0.0001
0.3551,0.0012,0.0006,0.0001,0.0238,0.3300,200,0.0001
0.2959,0.0012,0.0006,0.0001,0.0185,0.2761,200,0.0002
0.3422,0.0011,0.0005,0.0001,0.0175,0.3235,200,0.0002
0.3741,0.0013,0.0006,0.0000,0.0199,0.3529,200,0.0001
0.3521,0.0014,0.0008,0.0001,0.0181,0.3325,200,0.0002
0.2906,0.0012,0.0005,0.0001,0.0156,0.2737,200,0.0002
0.3513,0.0011,0.0006,0.0001,0.0184,0.3316,200,0.0001
0.3867,0.0012,0.0006,0.0001,0.0195,0.3659,200,0.0002
