response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1278,0.0010,0.0005,0.0001,2.1266,0.0001,200,0.0001
2.1677,0.0011,0.0005,0.0001,2.1663,0.0001,200,0.0002
2.1292,0.0011,0.0005,0.0001,2.1279,0.0001,200,0.0002
2.1288,0.0011,0.0005,0.0001,2.1275,0.0001,200,0.0002
2.1111,0.0012,0.0007,0.0001,2.1097,0.0001,200,0.0002
2.1204,0.0011,0.0005,0.0001,2.1190,0.0001,200,0.0001
2.1548,0.0010,0.0004,0.0001,2.1536,0.0001,200,0.0001
2.1236,0.0016,0.0009,0.0001,2.1218,0.0001,200,0.0002
2.1118,0.0013,0.0007,0.0001,2.1103,0.0001,200,0.0001
2.1152,0.0011,0.0005,0.0001,2.1139,0.0001,200,0.0002
2.1518,0.0014,0.0008,0.0001,2.1502,0.0001,200,0.0002
2.1448,0.0010,0.0005,0.0001,2.1435,0.0001,200,0.0002
2.1308,0.0010,0.0005,0.0000,2.1295,0.0001,200,0.0001
2.1339,0.0018,0.0011,0.0001,2.1320,0.0001,200,0.0002
2.1645,0.0011,0.0005,0.0001,2.1632,0.0001,200,0.0002
2.1426,0.0012,0.0006,0.0000,2.1412,0.0001,200,0.0002
2.1359,0.0011,0.0005,0.0001,2.1345,0.0001,200,0.0002
2.1695,0.0018,0.0011,0.0001,2.1675,0.0001,200,0.0001
2.1487,0.0011,0.0005,0.0001,2.1473,0.0002,200,0.0002
2.1336,0.0011,0.0005,0.0001,2.1323,0.0001,200,0.0001
2.1440,0.0010,0.0005,0.0000,2.1428,0.0001,200,0.0001
2.1101,0.0011,0.0005,0.0001,2.1087,0.0001,200,0.0001
2.1299,0.0016,0.0010,0.0001,2.1281,0.0001,200,0.0002
2.1164,0.0011,0.0005,0.0001,2.1150,0.0001,200,0.0001
2.1482,0.0015,0.0010,0.0001,2.1464,0.0001,200,0.0001
2.1380,0.0011,0.0005,0.0001,2.1367,0.0001,200,0.0001
2.1573,0.0011,0.0005,0.0001,2.1560,0.0001,200,0.0001
2.1235,0.0013,0.0007,0.0001,2.1217,0.0001,200,0.0002
2.1776,0.0011,0.0005,0.0001,2.1763,0.0002,200,0.0002
2.1264,0.0011,0.0005,0.0000,2.1252,0.0001,200,0.0001
2.1610,0.0012,0.0005,0.0001,2.1596,0.0001,200,0.0002
2.1955,0.0011,0.0005,0.0001,2.1943,0.0001,200,0.0002
2.1294,0.0012,0.0005,0.0001,2.1280,0.0001,200,0.0002
2.1241,0.0012,0.0005,0.0001,2.1227,0.0001,200,0.0001
2.1672,0.0011,0.0006,0.0000,2.1659,0.0001,200,0.0002
2.1120,0.0010,0.0004,0.0001,2.1108,0.0001,200,0.0001
