response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0232,0.0012,0.0005,0.0001,0.0218,0.0001,200,0.0002
0.0219,0.0011,0.0005,0.0001,0.0206,0.0001,200,0.0001
0.0213,0.0013,0.0007,0.0001,0.0198,0.0001,200,0.0001
0.0204,0.0012,0.0006,0.0001,0.0190,0.0001,200,0.0002
0.0345,0.0013,0.0006,0.0000,0.0331,0.0001,200,0.0001
0.0242,0.0010,0.0005,0.0000,0.0229,0.0001,200,0.0002
0.0212,0.0011,0.0005,0.0001,0.0199,0.0001,200,0.0002
0.0215,0.0011,0.0005,0.0000,0.0202,0.0001,200,0.0001
0.0316,0.0012,0.0006,0.0001,0.0301,0.0001,200,0.0002
0.0206,0.0010,0.0004,0.0001,0.0194,0.0001,200,0.0001
0.0249,0.0046,0.0041,0.0001,0.0200,0.0001,200,0.0002
0.0209,0.0011,0.0005,0.0001,0.0196,0.0001,200,0.0002
0.0291,0.0011,0.0005,0.0001,0.0277,0.0001,200,0.0002
0.0208,0.0011,0.0005,0.0001,0.0194,0.0001,200,0.0002
0.0204,0.0011,0.0005,0.0001,0.0191,0.0001,200,0.0001
0.0217,0.0011,0.0005,0.0001,0.0204,0.0001,200,0.0002
0.0332,0.0011,0.0006,0.0001,0.0319,0.0001,200,0.0002
0.0238,0.0016,0.0010,0.0001,0.0220,0.0001,200,0.0002
0.0237,0.0012,0.0006,0.0001,0.0222,0.0001,200,0.0002
0.0210,0.0011,0.0005,0.0001,0.0197,0.0001,200,0.0002
0.0271,0.0011,0.0005,0.0001,0.0258,0.0001,200,0.0002
0.0213,0.0012,0.0006,0.0000,0.0199,0.0001,200,0.0002
0.0231,0.0010,0.0005,0.0001,0.0219,0.0001,200,0.0002
0.0214,0.0011,0.0005,0.0001,0.0201,0.0001,200,0.0002
0.0309,0.0012,0.0005,0.0001,0.0295,0.0002,200,0.0001
0.0211,0.0012,0.0006,0.0000,0.0197,0.0001,200,0.0001
0.0234,0.0011,0.0005,0.0001,0.0222,0.0001,200,0.0002
0.0211,0.0010,0.0005,0.0001,0.0198,0.0001,200,0.0002
0.0313,0.0015,0.0009,0.0001,0.0296,0.0001,200,0.0002
0.0212,0.0011,0.0005,0.0001,0.0199,0.0001,200,0.0001
0.0206,0.0011,0.0005,0.0001,0.0194,0.0001,200,0.0002
0.0206,0.0011,0.0005,0.0000,0.0194,0.0001,200,0.0002
0.0272,0.0011,0.0005,0.0000,0.0259,0.0001,200,0.0002
0.0216,0.0013,0.0006,0.0001,0.0202,0.0001,200,0.0002
0.0244,0.0011,0.0006,0.0001,0.0231,0.0001,200,0.0002
0.0207,0.0011,0.0006,0.0001,0.0193,0.0001,200,0.0002
0.0296,0.0011,0.0006,0.0001,0.0282,0.0001,200,0.0002
0.0268,0.0011,0.0005,0.0001,0.0255,0.0001,200,0.0001
0.0208,0.0011,0.0005,0.0001,0.0195,0.0001,200,0.0001
0.0210,0.0011,0.0005,0.0001,0.0196,0.0001,200,0.0001
0.0305,0.0011,0.0005,0.0001,0.0292,0.0001,200,0.0002
0.0212,0.0011,0.0005,0.0001,0.0199,0.0001,200,0.0002
0.0248,0.0011,0.0005,0.0001,0.0234,0.0001,200,0.0002
0.0210,0.0011,0.0005,0.0001,0.0196,0.0001,200,0.0001
0.0289,0.0011,0.0006,0.0000,0.0275,0.0001,200,0.0001
0.0208,0.0011,0.0005,0.0000,0.0195,0.0001,200,0.0002
0.0217,0.0015,0.0009,0.0001,0.0201,0.0001,200,0.0002
0.0206,0.0012,0.0006,0.0001,0.0193,0.0001,200,0.0002
0.0282,0.0014,0.0008,0.0001,0.0266,0.0001,200,0.0002
0.0246,0.0013,0.0006,0.0001,0.0230,0.0001,200,0.0001
0.0206,0.0012,0.0006,0.0001,0.0192,0.0001,200,0.0002
0.0232,0.0012,0.0006,0.0001,0.0218,0.0001,200,0.0001
0.0272,0.0011,0.0006,0.0001,0.0258,0.0001,200,0.0001
0.0208,0.0011,0.0006,0.0001,0.0194,0.0001,200,0.0001
0.0242,0.0011,0.0005,0.0000,0.0229,0.0001,200,0.0001
0.0212,0.0011,0.0005,0.0001,0.0199,0.0001,200,0.0002
0.0338,0.0012,0.0007,0.0001,0.0324,0.0001,200,0.0002
0.0215,0.0011,0.0005,0.0001,0.0202,0.0001,200,0.0002
0.0207,0.0011,0.0005,0.0001,0.0194,0.0001,200,0.0002
0.0245,0.0012,0.0005,0.0001,0.0231,0.0001,200,0.0002
