response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0066,0.0020,0.0013,0.0001,0.0043,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0000,0.0042,0.0001,200,0.0001
0.0057,0.0012,0.0006,0.0001,0.0041,0.0001,200,0.0002
0.0057,0.0011,0.0005,0.0001,0.0044,0.0001,200,0.0001
0.0057,0.0011,0.0006,0.0001,0.0043,0.0001,200,0.0002
0.0057,0.0012,0.0006,0.0001,0.0043,0.0001,200,0.0001
0.0055,0.0010,0.0005,0.0000,0.0042,0.0002,200,0.0001
0.0056,0.0011,0.0005,0.0001,0.0042,0.0002,200,0.0002
0.0058,0.0010,0.0004,0.0001,0.0044,0.0003,200,0.0002
0.0060,0.0012,0.0005,0.0000,0.0045,0.0002,200,0.0001
0.0059,0.0011,0.0005,0.0001,0.0044,0.0002,200,0.0002
0.0061,0.0012,0.0005,0.0001,0.0047,0.0001,200,0.0002
0.0059,0.0011,0.0005,0.0001,0.0045,0.0001,200,0.0002
0.0057,0.0011,0.0005,0.0001,0.0044,0.0001,200,0.0001
0.0054,0.0011,0.0004,0.0001,0.0042,0.0001,200,0.0001
0.0055,0.0011,0.0005,0.0001,0.0041,0.0002,200,0.0001
0.0056,0.0012,0.0005,0.0001,0.0042,0.0002,200,0.0001
0.0062,0.0011,0.0006,0.0001,0.0048,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0045,0.0002,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0001
0.0056,0.0010,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0044,0.0001,200,0.0002
0.0059,0.0011,0.0005,0.0001,0.0045,0.0001,200,0.0002
0.0057,0.0011,0.0005,0.0001,0.0043,0.0002,200,0.0002
0.0059,0.0012,0.0006,0.0001,0.0044,0.0002,200,0.0001
0.0057,0.0011,0.0005,0.0001,0.0043,0.0002,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0045,0.0001,200,0.0001
0.0058,0.0011,0.0006,0.0000,0.0044,0.0001,200,0.0002
0.0062,0.0012,0.0006,0.0001,0.0048,0.0001,200,0.0002
0.0065,0.0011,0.0006,0.0000,0.0051,0.0002,200,0.0002
0.0057,0.0012,0.0006,0.0001,0.0043,0.0001,200,0.0002
0.0055,0.0010,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0057,0.0011,0.0005,0.0000,0.0044,0.0001,200,0.0002
0.0053,0.0010,0.0004,0.0001,0.0041,0.0001,200,0.0001
0.0058,0.0012,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0118,0.0012,0.0006,0.0001,0.0103,0.0001,200,0.0002
0.0056,0.0011,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0060,0.0017,0.0010,0.0001,0.0041,0.0001,200,0.0002
0.0060,0.0012,0.0005,0.0001,0.0045,0.0002,200,0.0002
0.0059,0.0010,0.0005,0.0001,0.0046,0.0002,200,0.0002
0.0067,0.0011,0.0005,0.0001,0.0054,0.0001,200,0.0001
0.0054,0.0011,0.0005,0.0001,0.0040,0.0002,200,0.0002
0.0054,0.0010,0.0005,0.0001,0.0041,0.0001,200,0.0002
0.0056,0.0011,0.0005,0.0001,0.0044,0.0001,200,0.0002
0.0057,0.0012,0.0006,0.0001,0.0044,0.0001,200,0.0002
0.0059,0.0013,0.0006,0.0001,0.0043,0.0001,200,0.0001
0.0064,0.0017,0.0010,0.0001,0.0045,0.0002,200,0.0002
0.0061,0.0011,0.0005,0.0001,0.0048,0.0001,200,0.0002
0.0055,0.0012,0.0005,0.0001,0.0041,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0045,0.0001,200,0.0002
0.0054,0.0011,0.0005,0.0001,0.0041,0.0001,200,0.0001
0.0057,0.0011,0.0005,0.0001,0.0043,0.0002,200,0.0001
0.0056,0.0012,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0056,0.0011,0.0005,0.0000,0.0044,0.0001,200,0.0002
0.0056,0.0010,0.0005,0.0001,0.0043,0.0001,200,0.0001
0.0058,0.0013,0.0007,0.0000,0.0044,0.0001,200,0.0001
0.0063,0.0011,0.0006,0.0001,0.0049,0.0001,200,0.0001
0.0061,0.0018,0.0012,0.0001,0.0041,0.0001,200,0.0002
0.0058,0.0012,0.0006,0.0001,0.0043,0.0002,200,0.0002
0.0056,0.0010,0.0004,0.0001,0.0043,0.0001,200,0.0001
0.0057,0.0011,0.0005,0.0001,0.0043,0.0001,200,0.0001
0.0057,0.0011,0.0006,0.0001,0.0044,0.0001,200,0.0002
0.0053,0.0010,0.0005,0.0001,0.0040,0.0002,200,0.0002
0.0057,0.0012,0.0005,0.0000,0.0042,0.0001,200,0.0002
0.0058,0.0010,0.0004,0.0001,0.0044,0.0002,200,0.0001
0.0055,0.0011,0.0006,0.0000,0.0041,0.0001,200,0.0001
0.0058,0.0011,0.0005,0.0001,0.0043,0.0002,200,0.0002
0.0056,0.0011,0.0005,0.0000,0.0043,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0000,0.0045,0.0001,200,0.0001
0.0063,0.0012,0.0005,0.0001,0.0049,0.0001,200,0.0002
0.0054,0.0010,0.0005,0.0001,0.0041,0.0001,200,0.0002
0.0061,0.0011,0.0006,0.0001,0.0048,0.0001,200,0.0002
0.0053,0.0011,0.0005,0.0001,0.0040,0.0001,200,0.0001
0.0057,0.0012,0.0006,0.0001,0.0043,0.0001,200,0.0002
0.0058,0.0013,0.0006,0.0000,0.0042,0.0002,200,0.0004
0.0063,0.0017,0.0010,0.0001,0.0045,0.0001,200,0.0002
0.0057,0.0012,0.0005,0.0001,0.0043,0.0002,200,0.0002
0.0056,0.0012,0.0005,0.0001,0.0042,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0044,0.0002,200,0.0002
0.0059,0.0012,0.0006,0.0000,0.0045,0.0002,200,0.0002
0.0067,0.0012,0.0005,0.0001,0.0052,0.0002,200,0.0002
0.0058,0.0014,0.0008,0.0001,0.0040,0.0002,200,0.0002
0.0060,0.0012,0.0006,0.0001,0.0045,0.0002,200,0.0002
0.0059,0.0011,0.0005,0.0001,0.0045,0.0002,200,0.0002
0.0057,0.0010,0.0005,0.0000,0.0044,0.0002,200,0.0001
0.0055,0.0011,0.0005,0.0001,0.0042,0.0001,200,0.0002
15.3864,0.0013,0.0008,0.0000,15.3848,0.0001,200,0.0002
0.0057,0.0012,0.0005,0.0000,0.0043,0.0002,200,0.0002
0.0085,0.0012,0.0006,0.0001,0.0070,0.0002,200,0.0001
0.0056,0.0011,0.0005,0.0001,0.0043,0.0001,200,0.0001
15.3312,0.0011,0.0005,0.0001,15.3299,0.0001,200,0.0001
15.4464,0.0012,0.0006,0.0000,15.4450,0.0001,200,0.0002
0.0055,0.0010,0.0004,0.0001,0.0043,0.0001,200,0.0001
15.3161,0.0011,0.0006,0.0001,15.3147,0.0001,200,0.0001
0.0054,0.0011,0.0005,0.0001,0.0041,0.0001,200,0.0002
0.0057,0.0011,0.0005,0.0001,0.0043,0.0001,200,0.0002
0.0057,0.0012,0.0006,0.0000,0.0044,0.0001,200,0.0002
0.0058,0.0011,0.0005,0.0001,0.0043,0.0002,200,0.0002
