response-time,status-code,test_name,runtime,batch
0.013,200,rust-spin-aes,spin,kubernetes
0.012,200,rust-spin-aes,spin,kubernetes
0.0115,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.0114,200,rust-spin-aes,spin,kubernetes
0.012,200,rust-spin-aes,spin,kubernetes
0.0113,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0114,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0118,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.011,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0108,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0108,200,rust-spin-aes,spin,kubernetes
0.0108,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0114,200,rust-spin-aes,spin,kubernetes
0.011,200,rust-spin-aes,spin,kubernetes
0.0123,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.011,200,rust-spin-aes,spin,kubernetes
0.0113,200,rust-spin-aes,spin,kubernetes
0.0114,200,rust-spin-aes,spin,kubernetes
0.0113,200,rust-spin-aes,spin,kubernetes
0.0113,200,rust-spin-aes,spin,kubernetes
0.011,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0113,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0109,200,rust-spin-aes,spin,kubernetes
0.0108,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.011,200,rust-spin-aes,spin,kubernetes
0.0115,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0108,200,rust-spin-aes,spin,kubernetes
0.0112,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.011,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
0.0111,200,rust-spin-aes,spin,kubernetes
