response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0130,0.0012,0.0005,0.0001,0.0105,0.0011,200,0.0035
0.0120,0.0007,0.0003,0.0001,0.0098,0.0013,200,0.0165
0.0115,0.0006,0.0003,0.0001,0.0096,0.0012,200,0.0285
0.0111,0.0006,0.0003,0.0000,0.0095,0.0010,200,0.0400
0.0112,0.0006,0.0003,0.0000,0.0095,0.0011,200,0.0511
0.0114,0.0009,0.0006,0.0000,0.0093,0.0011,200,0.0624
0.0120,0.0005,0.0002,0.0000,0.0100,0.0014,200,0.0737
0.0113,0.0006,0.0003,0.0000,0.0095,0.0012,200,0.0857
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.0970
0.0111,0.0006,0.0003,0.0000,0.0093,0.0011,200,0.1079
0.0109,0.0006,0.0003,0.0000,0.0093,0.0010,200,0.1190
0.0111,0.0005,0.0003,0.0000,0.0093,0.0012,200,0.1299
0.0114,0.0006,0.0003,0.0000,0.0096,0.0013,200,0.1410
0.0111,0.0006,0.0003,0.0000,0.0094,0.0011,200,0.1524
0.0111,0.0005,0.0003,0.0000,0.0094,0.0011,200,0.1635
0.0118,0.0005,0.0002,0.0000,0.0101,0.0012,200,0.1746
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.1864
0.0110,0.0006,0.0003,0.0000,0.0092,0.0011,200,0.1975
0.0112,0.0006,0.0003,0.0000,0.0093,0.0013,200,0.2085
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,0.2197
0.0111,0.0006,0.0003,0.0000,0.0093,0.0011,200,0.2308
0.0111,0.0005,0.0002,0.0000,0.0095,0.0011,200,0.2418
0.0109,0.0005,0.0002,0.0000,0.0094,0.0010,200,0.2530
0.0111,0.0005,0.0002,0.0000,0.0093,0.0013,200,0.2639
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,0.2750
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.2861
0.0108,0.0005,0.0002,0.0000,0.0092,0.0011,200,0.2971
0.0109,0.0005,0.0002,0.0000,0.0094,0.0010,200,0.3079
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,0.3188
0.0108,0.0005,0.0002,0.0000,0.0092,0.0011,200,0.3296
0.0109,0.0005,0.0002,0.0000,0.0093,0.0010,200,0.3404
0.0111,0.0006,0.0003,0.0000,0.0094,0.0011,200,0.3513
0.0109,0.0005,0.0002,0.0000,0.0092,0.0011,200,0.3625
0.0109,0.0005,0.0003,0.0000,0.0092,0.0011,200,0.3734
0.0114,0.0005,0.0002,0.0000,0.0095,0.0013,200,0.3843
0.0110,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.3957
0.0123,0.0005,0.0002,0.0000,0.0107,0.0011,200,0.4067
0.0112,0.0005,0.0002,0.0000,0.0094,0.0013,200,0.4190
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,0.4303
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,0.4414
0.0113,0.0005,0.0002,0.0000,0.0097,0.0010,200,0.4525
0.0114,0.0005,0.0002,0.0000,0.0097,0.0012,200,0.4637
0.0113,0.0005,0.0002,0.0000,0.0096,0.0012,200,0.4751
0.0113,0.0005,0.0002,0.0000,0.0093,0.0014,200,0.4865
0.0110,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.4978
0.0112,0.0005,0.0002,0.0000,0.0093,0.0013,200,0.5088
0.0112,0.0006,0.0002,0.0000,0.0094,0.0011,200,0.5199
0.0111,0.0006,0.0003,0.0000,0.0093,0.0011,200,0.5311
0.0113,0.0006,0.0003,0.0000,0.0092,0.0015,200,0.5422
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.5535
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.5646
0.0108,0.0004,0.0002,0.0000,0.0093,0.0011,200,0.5754
0.0111,0.0005,0.0002,0.0000,0.0094,0.0012,200,0.5862
0.0110,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.5973
0.0115,0.0009,0.0002,0.0000,0.0093,0.0013,200,0.6083
0.0111,0.0005,0.0002,0.0000,0.0093,0.0013,200,0.6197
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,0.6308
0.0112,0.0006,0.0003,0.0000,0.0093,0.0013,200,0.6416
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.6528
0.0111,0.0005,0.0003,0.0000,0.0095,0.0011,200,0.6638
0.0110,0.0005,0.0002,0.0000,0.0094,0.0011,200,0.6750
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.6860
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.6971
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,0.7082
0.0112,0.0005,0.0002,0.0000,0.0094,0.0012,200,0.7194
0.0111,0.0005,0.0002,0.0000,0.0095,0.0010,200,0.7305
0.0108,0.0006,0.0003,0.0000,0.0093,0.0010,200,0.7416
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,0.7525
0.0112,0.0005,0.0002,0.0000,0.0093,0.0013,200,0.7635
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,0.7747
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,0.7857
0.0110,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.7967
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.8078
0.0108,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.8187
0.0113,0.0005,0.0002,0.0000,0.0094,0.0013,200,0.8295
0.0112,0.0005,0.0003,0.0000,0.0094,0.0013,200,0.8408
0.0108,0.0005,0.0002,0.0000,0.0093,0.0010,200,0.8520
0.0112,0.0006,0.0002,0.0000,0.0094,0.0012,200,0.8628
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,0.8741
0.0109,0.0005,0.0002,0.0000,0.0093,0.0010,200,0.8852
0.0108,0.0006,0.0003,0.0000,0.0093,0.0010,200,0.8962
0.0113,0.0006,0.0003,0.0000,0.0095,0.0012,200,0.9070
0.0111,0.0005,0.0002,0.0000,0.0094,0.0012,200,0.9184
0.0108,0.0005,0.0002,0.0000,0.0093,0.0011,200,0.9295
0.0112,0.0005,0.0002,0.0000,0.0095,0.0012,200,0.9403
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,0.9515
0.0111,0.0005,0.0002,0.0000,0.0093,0.0013,200,0.9627
0.0113,0.0005,0.0002,0.0000,0.0096,0.0012,200,0.9738
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,0.9851
0.0109,0.0005,0.0002,0.0000,0.0092,0.0012,200,0.9960
0.0111,0.0005,0.0003,0.0000,0.0094,0.0011,200,1.0069
0.0111,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.0180
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.0290
0.0112,0.0005,0.0002,0.0000,0.0094,0.0012,200,1.0400
0.0108,0.0006,0.0003,0.0000,0.0092,0.0010,200,1.0512
0.0112,0.0005,0.0002,0.0000,0.0094,0.0012,200,1.0621
0.0111,0.0005,0.0002,0.0000,0.0095,0.0010,200,1.0733
0.0112,0.0005,0.0003,0.0000,0.0094,0.0013,200,1.0844
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,1.0956
0.0112,0.0005,0.0002,0.0000,0.0094,0.0013,200,1.1064
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.1176
0.0110,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.1286
0.0110,0.0005,0.0002,0.0000,0.0092,0.0012,200,1.1395
0.0111,0.0005,0.0002,0.0000,0.0095,0.0010,200,1.1505
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.1616
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,1.1725
0.0109,0.0005,0.0002,0.0000,0.0092,0.0011,200,1.1833
0.0109,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.1942
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.2051
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,1.2162
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,1.2274
0.0111,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.2386
0.0109,0.0005,0.0002,0.0000,0.0093,0.0010,200,1.2496
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.2605
0.0109,0.0005,0.0002,0.0000,0.0093,0.0010,200,1.2714
0.0110,0.0005,0.0002,0.0000,0.0093,0.0012,200,1.2823
0.0109,0.0005,0.0003,0.0000,0.0093,0.0010,200,1.2933
0.0110,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.3041
0.0109,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.3151
0.0108,0.0005,0.0002,0.0000,0.0093,0.0010,200,1.3260
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.3368
0.0112,0.0005,0.0002,0.0000,0.0094,0.0013,200,1.3478
0.0112,0.0005,0.0002,0.0000,0.0094,0.0012,200,1.3590
0.0112,0.0006,0.0003,0.0000,0.0094,0.0013,200,1.3702
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,1.3814
0.0108,0.0005,0.0002,0.0000,0.0092,0.0011,200,1.3922
0.0107,0.0005,0.0002,0.0000,0.0092,0.0010,200,1.4031
0.0109,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.4138
0.0110,0.0005,0.0002,0.0000,0.0095,0.0010,200,1.4247
0.0111,0.0005,0.0002,0.0000,0.0094,0.0012,200,1.4357
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.4468
0.0111,0.0005,0.0002,0.0000,0.0096,0.0010,200,1.4579
0.0108,0.0005,0.0002,0.0000,0.0092,0.0010,200,1.4691
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.4799
0.0111,0.0005,0.0002,0.0000,0.0093,0.0012,200,1.4909
0.0107,0.0005,0.0002,0.0000,0.0092,0.0010,200,1.5020
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.5127
0.0111,0.0005,0.0002,0.0000,0.0094,0.0012,200,1.5237
0.0108,0.0005,0.0002,0.0000,0.0093,0.0010,200,1.5348
0.0110,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.5457
0.0110,0.0005,0.0003,0.0000,0.0092,0.0012,200,1.5567
0.0112,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.5677
0.0115,0.0009,0.0006,0.0000,0.0094,0.0011,200,1.5789
0.0110,0.0005,0.0002,0.0000,0.0093,0.0012,200,1.5903
0.0108,0.0005,0.0002,0.0000,0.0093,0.0010,200,1.6014
0.0110,0.0005,0.0002,0.0000,0.0092,0.0013,200,1.6122
0.0111,0.0005,0.0002,0.0000,0.0093,0.0013,200,1.6232
0.0109,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.6343
0.0110,0.0005,0.0002,0.0000,0.0092,0.0012,200,1.6452
0.0109,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.6562
0.0110,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.6671
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,1.6781
0.0111,0.0005,0.0002,0.0000,0.0092,0.0013,200,1.6893
0.0109,0.0006,0.0002,0.0000,0.0093,0.0011,200,1.7003
0.0109,0.0005,0.0002,0.0000,0.0092,0.0012,200,1.7113
0.0111,0.0005,0.0002,0.0000,0.0095,0.0011,200,1.7222
0.0111,0.0005,0.0002,0.0000,0.0095,0.0011,200,1.7332
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.7443
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.7554
0.0110,0.0005,0.0002,0.0000,0.0093,0.0012,200,1.7665
0.0109,0.0005,0.0002,0.0000,0.0094,0.0009,200,1.7774
0.0110,0.0005,0.0002,0.0000,0.0093,0.0011,200,1.7883
0.0110,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.7993
0.0113,0.0005,0.0002,0.0000,0.0097,0.0011,200,1.8103
0.0113,0.0005,0.0002,0.0000,0.0094,0.0013,200,1.8216
0.0111,0.0005,0.0002,0.0000,0.0094,0.0011,200,1.8329
0.0112,0.0006,0.0003,0.0000,0.0095,0.0011,200,1.8440
0.0112,0.0005,0.0002,0.0000,0.0094,0.0013,200,1.8552
0.0112,0.0005,0.0002,0.0000,0.0093,0.0013,200,1.8664
0.0112,0.0005,0.0002,0.0000,0.0095,0.0011,200,1.8776
0.0111,0.0005,0.0003,0.0000,0.0093,0.0012,200,1.8888
0.0118,0.0005,0.0002,0.0000,0.0101,0.0011,200,1.8999
0.0110,0.0005,0.0002,0.0000,0.0094,0.0010,200,1.9117
