response-time,status-code,test_name,runtime,batch
0.0419,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0413,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0387,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0389,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0387,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0386,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0388,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0384,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0386,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0386,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0393,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0386,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0391,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0386,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0387,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0392,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0376,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0375,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0376,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0376,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0389,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0389,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0394,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0386,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0384,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0387,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0375,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0425,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0388,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.039,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0387,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0395,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0387,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.039,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0408,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0396,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0385,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0393,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0375,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0376,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0374,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0383,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0375,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.038,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0382,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0376,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0377,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0375,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0378,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0381,200,rust-spin-fuzzysearch-http,spin,kubernetes
0.0379,200,rust-spin-fuzzysearch-http,spin,kubernetes
