response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0419,0.0014,0.0009,0.0000,0.0403,0.0001,200,0.0038
0.0413,0.0007,0.0003,0.0000,0.0405,0.0001,200,0.0457
0.0387,0.0007,0.0004,0.0000,0.0379,0.0001,200,0.0871
0.0389,0.0007,0.0003,0.0000,0.0381,0.0001,200,0.1258
0.0387,0.0005,0.0002,0.0000,0.0380,0.0001,200,0.1647
0.0385,0.0006,0.0003,0.0000,0.0378,0.0001,200,0.2034
0.0386,0.0005,0.0002,0.0000,0.0379,0.0001,200,0.2420
0.0385,0.0006,0.0003,0.0000,0.0378,0.0001,200,0.2805
0.0388,0.0005,0.0002,0.0000,0.0382,0.0001,200,0.3190
0.0383,0.0005,0.0002,0.0000,0.0377,0.0001,200,0.3578
0.0382,0.0006,0.0003,0.0000,0.0374,0.0001,200,0.3962
0.0381,0.0006,0.0003,0.0000,0.0374,0.0001,200,0.4344
0.0383,0.0006,0.0003,0.0000,0.0376,0.0001,200,0.4725
0.0384,0.0005,0.0003,0.0000,0.0377,0.0001,200,0.5109
0.0383,0.0007,0.0004,0.0000,0.0375,0.0001,200,0.5492
0.0380,0.0006,0.0003,0.0000,0.0373,0.0001,200,0.5875
0.0383,0.0006,0.0003,0.0000,0.0376,0.0001,200,0.6255
0.0382,0.0006,0.0003,0.0000,0.0375,0.0001,200,0.6639
0.0380,0.0006,0.0003,0.0000,0.0373,0.0001,200,0.7021
0.0385,0.0006,0.0003,0.0000,0.0378,0.0001,200,0.7400
0.0381,0.0006,0.0003,0.0000,0.0373,0.0001,200,0.7786
0.0382,0.0005,0.0003,0.0000,0.0375,0.0001,200,0.8166
0.0382,0.0006,0.0003,0.0000,0.0375,0.0001,200,0.8548
0.0382,0.0006,0.0003,0.0000,0.0375,0.0001,200,0.8930
0.0386,0.0006,0.0002,0.0000,0.0379,0.0001,200,0.9312
0.0385,0.0006,0.0003,0.0000,0.0378,0.0001,200,0.9698
0.0381,0.0006,0.0003,0.0000,0.0374,0.0001,200,1.0082
0.0386,0.0005,0.0003,0.0001,0.0379,0.0001,200,1.0463
0.0383,0.0006,0.0003,0.0000,0.0375,0.0001,200,1.0849
0.0393,0.0006,0.0003,0.0000,0.0386,0.0001,200,1.1232
0.0386,0.0006,0.0003,0.0000,0.0379,0.0001,200,1.1625
0.0383,0.0006,0.0003,0.0000,0.0375,0.0001,200,1.2011
0.0391,0.0006,0.0003,0.0000,0.0384,0.0001,200,1.2394
0.0386,0.0006,0.0003,0.0000,0.0378,0.0001,200,1.2785
0.0387,0.0006,0.0003,0.0000,0.0379,0.0001,200,1.3171
0.0385,0.0006,0.0003,0.0000,0.0378,0.0001,200,1.3558
0.0392,0.0006,0.0003,0.0000,0.0384,0.0001,200,1.3943
0.0381,0.0007,0.0003,0.0000,0.0373,0.0001,200,1.4335
0.0378,0.0006,0.0003,0.0000,0.0370,0.0001,200,1.4716
0.0376,0.0006,0.0003,0.0000,0.0369,0.0001,200,1.5094
0.0377,0.0007,0.0004,0.0000,0.0369,0.0001,200,1.5470
0.0375,0.0006,0.0003,0.0000,0.0368,0.0001,200,1.5847
0.0376,0.0006,0.0003,0.0000,0.0368,0.0001,200,1.6222
0.0379,0.0007,0.0003,0.0000,0.0371,0.0001,200,1.6598
0.0382,0.0006,0.0003,0.0000,0.0375,0.0001,200,1.6976
0.0376,0.0006,0.0003,0.0000,0.0369,0.0001,200,1.7359
0.0377,0.0006,0.0003,0.0000,0.0370,0.0001,200,1.7735
0.0380,0.0007,0.0003,0.0000,0.0373,0.0001,200,1.8112
0.0385,0.0007,0.0003,0.0000,0.0377,0.0001,200,1.8493
0.0385,0.0007,0.0003,0.0000,0.0377,0.0001,200,1.8878
0.0389,0.0007,0.0003,0.0000,0.0382,0.0001,200,1.9263
0.0389,0.0006,0.0003,0.0000,0.0381,0.0001,200,1.9653
0.0383,0.0007,0.0003,0.0001,0.0375,0.0001,200,2.0042
0.0394,0.0006,0.0003,0.0000,0.0386,0.0001,200,2.0425
0.0385,0.0007,0.0003,0.0000,0.0377,0.0001,200,2.0819
0.0386,0.0012,0.0008,0.0000,0.0373,0.0001,200,2.1204
0.0384,0.0007,0.0003,0.0000,0.0376,0.0001,200,2.1590
