response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0234,0.0010,0.0004,0.0001,0.0221,0.0001,200,0.0035
0.0239,0.0027,0.0023,0.0001,0.0210,0.0001,200,0.0270
0.0212,0.0006,0.0003,0.0000,0.0204,0.0001,200,0.0508
0.0211,0.0006,0.0003,0.0004,0.0201,0.0001,200,0.0721
0.0205,0.0006,0.0003,0.0000,0.0197,0.0001,200,0.0932
0.0204,0.0006,0.0003,0.0000,0.0196,0.0001,200,0.1137
0.0204,0.0005,0.0002,0.0000,0.0198,0.0001,200,0.1341
0.0210,0.0005,0.0002,0.0000,0.0203,0.0001,200,0.1545
0.0207,0.0006,0.0002,0.0000,0.0200,0.0001,200,0.1754
0.0228,0.0007,0.0003,0.0000,0.0219,0.0001,200,0.1962
0.0210,0.0007,0.0003,0.0000,0.0201,0.0001,200,0.2190
0.0211,0.0007,0.0004,0.0000,0.0203,0.0001,200,0.2399
0.0208,0.0005,0.0002,0.0000,0.0202,0.0001,200,0.2610
0.0208,0.0007,0.0003,0.0000,0.0200,0.0001,200,0.2818
0.0208,0.0007,0.0003,0.0000,0.0200,0.0001,200,0.3026
0.0211,0.0007,0.0004,0.0000,0.0203,0.0001,200,0.3234
0.0206,0.0007,0.0003,0.0000,0.0198,0.0001,200,0.3445
0.0211,0.0007,0.0004,0.0000,0.0202,0.0001,200,0.3651
0.0208,0.0006,0.0003,0.0001,0.0200,0.0001,200,0.3862
0.0213,0.0007,0.0004,0.0000,0.0204,0.0001,200,0.4070
0.0205,0.0006,0.0003,0.0000,0.0198,0.0001,200,0.4283
0.0207,0.0007,0.0003,0.0000,0.0199,0.0001,200,0.4488
0.0206,0.0007,0.0003,0.0000,0.0198,0.0001,200,0.4695
0.0204,0.0007,0.0003,0.0000,0.0196,0.0001,200,0.4901
0.0205,0.0007,0.0004,0.0000,0.0197,0.0001,200,0.5105
0.0213,0.0007,0.0003,0.0000,0.0205,0.0001,200,0.5310
0.0212,0.0007,0.0003,0.0000,0.0204,0.0001,200,0.5523
0.0208,0.0007,0.0003,0.0000,0.0200,0.0001,200,0.5735
0.0208,0.0007,0.0004,0.0000,0.0199,0.0001,200,0.5943
0.0207,0.0008,0.0004,0.0000,0.0198,0.0001,200,0.6151
0.0214,0.0007,0.0003,0.0000,0.0206,0.0001,200,0.6358
0.0207,0.0006,0.0003,0.0000,0.0200,0.0001,200,0.6572
0.0201,0.0005,0.0002,0.0000,0.0195,0.0001,200,0.6779
0.0203,0.0005,0.0003,0.0000,0.0196,0.0001,200,0.6980
0.0204,0.0006,0.0003,0.0000,0.0197,0.0001,200,0.7182
0.0207,0.0006,0.0004,0.0000,0.0199,0.0001,200,0.7386
0.0208,0.0006,0.0003,0.0000,0.0200,0.0001,200,0.7593
0.0205,0.0006,0.0003,0.0000,0.0198,0.0001,200,0.7801
0.0207,0.0005,0.0002,0.0000,0.0200,0.0001,200,0.8006
0.0202,0.0005,0.0002,0.0000,0.0196,0.0001,200,0.8213
0.0205,0.0006,0.0003,0.0000,0.0198,0.0001,200,0.8415
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,0.8620
0.0205,0.0005,0.0002,0.0000,0.0199,0.0001,200,0.8820
0.0202,0.0005,0.0003,0.0000,0.0196,0.0001,200,0.9025
0.0207,0.0007,0.0004,0.0000,0.0199,0.0001,200,0.9227
0.0211,0.0008,0.0004,0.0000,0.0202,0.0001,200,0.9434
0.0205,0.0006,0.0003,0.0000,0.0197,0.0001,200,0.9645
0.0209,0.0007,0.0003,0.0001,0.0201,0.0001,200,0.9850
0.0203,0.0006,0.0003,0.0000,0.0195,0.0001,200,1.0059
0.0207,0.0006,0.0003,0.0000,0.0199,0.0001,200,1.0262
0.0209,0.0009,0.0006,0.0000,0.0199,0.0001,200,1.0468
0.0208,0.0007,0.0003,0.0000,0.0200,0.0001,200,1.0678
0.0205,0.0005,0.0002,0.0000,0.0199,0.0001,200,1.0886
0.0212,0.0006,0.0003,0.0000,0.0205,0.0001,200,1.1091
0.0212,0.0005,0.0002,0.0000,0.0205,0.0001,200,1.1303
0.0212,0.0005,0.0002,0.0000,0.0205,0.0001,200,1.1515
0.0214,0.0005,0.0003,0.0000,0.0208,0.0001,200,1.1727
0.0209,0.0005,0.0002,0.0000,0.0203,0.0001,200,1.1941
0.0212,0.0005,0.0002,0.0000,0.0205,0.0001,200,1.2150
0.0213,0.0007,0.0004,0.0000,0.0205,0.0001,200,1.2363
0.0211,0.0007,0.0003,0.0001,0.0202,0.0001,200,1.2576
0.0209,0.0006,0.0003,0.0000,0.0202,0.0001,200,1.2786
0.0208,0.0006,0.0003,0.0000,0.0200,0.0001,200,1.2996
0.0208,0.0006,0.0003,0.0000,0.0201,0.0001,200,1.3203
0.0208,0.0007,0.0004,0.0001,0.0199,0.0001,200,1.3412
0.0211,0.0007,0.0003,0.0000,0.0202,0.0001,200,1.3619
0.0209,0.0006,0.0003,0.0000,0.0202,0.0001,200,1.3830
0.0215,0.0006,0.0003,0.0000,0.0208,0.0001,200,1.4039
0.0206,0.0006,0.0003,0.0000,0.0198,0.0001,200,1.4254
0.0208,0.0006,0.0003,0.0001,0.0200,0.0001,200,1.4460
0.0213,0.0006,0.0002,0.0000,0.0206,0.0001,200,1.4667
0.0217,0.0007,0.0004,0.0000,0.0208,0.0001,200,1.4880
0.0208,0.0006,0.0003,0.0000,0.0200,0.0001,200,1.5097
0.0214,0.0006,0.0003,0.0000,0.0207,0.0001,200,1.5305
0.0209,0.0007,0.0004,0.0000,0.0201,0.0001,200,1.5519
0.0206,0.0006,0.0003,0.0001,0.0199,0.0001,200,1.5728
0.0205,0.0006,0.0003,0.0000,0.0197,0.0001,200,1.5935
0.0214,0.0007,0.0004,0.0000,0.0206,0.0001,200,1.6139
0.0213,0.0006,0.0003,0.0001,0.0205,0.0001,200,1.6354
0.0211,0.0007,0.0003,0.0001,0.0203,0.0001,200,1.6567
