response-time,status-code,test_name,runtime,batch
2.059,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0602,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0596,200,rust-wasmedge-aes,wasmedge,kubernetes
2.054,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0515,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0476,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0822,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0511,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0581,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0684,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0493,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0713,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0513,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0513,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0682,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0523,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0841,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0538,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0671,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0571,200,rust-wasmedge-aes,wasmedge,kubernetes
2.049,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0683,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0548,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0479,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0553,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0497,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0738,200,rust-wasmedge-aes,wasmedge,kubernetes
2.058,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0714,200,rust-wasmedge-aes,wasmedge,kubernetes
2.059,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0514,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0721,200,rust-wasmedge-aes,wasmedge,kubernetes
2.054,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0722,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0614,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0655,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0508,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0763,200,rust-wasmedge-aes,wasmedge,kubernetes
2.079,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0641,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0674,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0772,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0683,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0673,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0319,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0331,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0312,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0326,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0303,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0284,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0379,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0348,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0293,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0265,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0354,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0396,200,rust-wasmedge-aes,wasmedge,kubernetes
2.029,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0358,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0362,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0343,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0338,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0311,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0352,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0394,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0391,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0493,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0383,200,rust-wasmedge-aes,wasmedge,kubernetes
2.0439,200,rust-wasmedge-aes,wasmedge,kubernetes
