response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0590,0.0011,0.0005,0.0000,2.0560,0.0018,200,0.0036
2.0602,0.0007,0.0004,0.0000,2.0580,0.0015,200,2.0625
2.0596,0.0006,0.0003,0.0000,2.0575,0.0014,200,4.1228
2.0540,0.0013,0.0009,0.0001,2.0513,0.0012,200,6.1823
2.0515,0.0006,0.0003,0.0000,2.0494,0.0014,200,8.2363
2.0476,0.0007,0.0004,0.0000,2.0456,0.0013,200,10.2878
2.0822,0.0006,0.0003,0.0000,2.0801,0.0014,200,12.3355
2.0511,0.0007,0.0003,0.0000,2.0491,0.0014,200,14.4176
2.0581,0.0006,0.0003,0.0000,2.0561,0.0013,200,16.4688
2.0684,0.0007,0.0004,0.0001,2.0662,0.0014,200,18.5269
2.0493,0.0006,0.0004,0.0000,2.0469,0.0017,200,20.5952
2.0713,0.0006,0.0003,0.0000,2.0692,0.0014,200,22.6446
2.0513,0.0006,0.0003,0.0000,2.0491,0.0015,200,24.7159
2.0513,0.0006,0.0004,0.0000,2.0490,0.0015,200,26.7673
2.0682,0.0006,0.0003,0.0000,2.0658,0.0018,200,28.8186
2.0523,0.0007,0.0004,0.0001,2.0501,0.0014,200,30.8868
2.0841,0.0006,0.0003,0.0000,2.0820,0.0014,200,32.9391
2.0538,0.0006,0.0003,0.0000,2.0516,0.0015,200,35.0232
2.0671,0.0007,0.0004,0.0000,2.0650,0.0013,200,37.0770
2.0571,0.0006,0.0004,0.0000,2.0550,0.0014,200,39.1441
2.0490,0.0007,0.0003,0.0000,2.0468,0.0015,200,41.2012
2.0683,0.0007,0.0004,0.0000,2.0661,0.0015,200,43.2502
2.0548,0.0007,0.0003,0.0000,2.0527,0.0014,200,45.3185
2.0479,0.0006,0.0003,0.0000,2.0460,0.0013,200,47.3733
2.0553,0.0007,0.0004,0.0000,2.0531,0.0015,200,49.4213
2.0497,0.0006,0.0003,0.0000,2.0474,0.0016,200,51.4765
2.0738,0.0007,0.0004,0.0000,2.0717,0.0014,200,53.5262
2.0580,0.0007,0.0004,0.0000,2.0559,0.0013,200,55.6000
2.0714,0.0006,0.0003,0.0000,2.0693,0.0015,200,57.6580
2.0590,0.0006,0.0003,0.0000,2.0570,0.0014,200,59.7295
2.0514,0.0006,0.0004,0.0000,2.0487,0.0020,200,61.7885
2.0721,0.0007,0.0004,0.0000,2.0695,0.0018,200,63.8399
2.0540,0.0006,0.0003,0.0000,2.0518,0.0015,200,65.9120
2.0722,0.0008,0.0004,0.0000,2.0698,0.0015,200,67.9660
2.0614,0.0006,0.0003,0.0001,2.0591,0.0015,200,70.0381
2.0655,0.0007,0.0004,0.0001,2.0632,0.0015,200,72.0995
