response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0995,0.0013,0.0007,0.0001,2.0978,0.0001,200,0.0038
2.0980,0.0008,0.0004,0.0001,2.0970,0.0001,200,2.1033
2.0992,0.0007,0.0003,0.0006,2.0978,0.0001,200,4.2013
2.0945,0.0007,0.0004,0.0000,2.0936,0.0001,200,6.3005
2.1092,0.0007,0.0003,0.0000,2.1083,0.0001,200,8.3950
2.0973,0.0007,0.0003,0.0000,2.0965,0.0001,200,10.5042
2.0957,0.0006,0.0003,0.0000,2.0949,0.0001,200,12.6016
2.0981,0.0007,0.0004,0.0000,2.0973,0.0001,200,14.6973
2.1037,0.0007,0.0004,0.0001,2.1028,0.0001,200,16.7954
2.0981,0.0007,0.0003,0.0001,2.0973,0.0001,200,18.8992
2.1119,0.0007,0.0004,0.0000,2.1111,0.0001,200,20.9973
2.0968,0.0006,0.0003,0.0001,2.0960,0.0001,200,23.1092
2.0989,0.0007,0.0004,0.0000,2.0980,0.0001,200,25.2061
2.1012,0.0006,0.0003,0.0000,2.1004,0.0001,200,27.3049
2.0981,0.0007,0.0003,0.0000,2.0973,0.0001,200,29.4062
2.1024,0.0007,0.0003,0.0000,2.1015,0.0001,200,31.5043
2.0950,0.0006,0.0003,0.0000,2.0942,0.0001,200,33.6066
2.0990,0.0007,0.0003,0.0000,2.0982,0.0001,200,35.7016
2.1017,0.0007,0.0004,0.0000,2.1009,0.0001,200,37.8006
2.0991,0.0006,0.0003,0.0000,2.0984,0.0001,200,39.9023
2.0959,0.0007,0.0003,0.0000,2.0951,0.0001,200,42.0015
2.0972,0.0007,0.0004,0.0000,2.0964,0.0001,200,44.0973
2.0996,0.0006,0.0003,0.0000,2.0988,0.0001,200,46.1946
2.1056,0.0007,0.0003,0.0000,2.1048,0.0001,200,48.2942
2.1085,0.0007,0.0003,0.0000,2.1077,0.0001,200,50.3998
2.0982,0.0007,0.0003,0.0000,2.0974,0.0001,200,52.5083
2.0964,0.0006,0.0003,0.0000,2.0956,0.0001,200,54.6065
2.0962,0.0007,0.0003,0.0001,2.0953,0.0001,200,56.7029
2.0994,0.0006,0.0003,0.0000,2.0987,0.0001,200,58.7990
2.0992,0.0006,0.0003,0.0000,2.0984,0.0001,200,60.8985
2.0984,0.0007,0.0004,0.0000,2.0976,0.0001,200,62.9977
2.0991,0.0006,0.0003,0.0000,2.0984,0.0001,200,65.0961
2.1011,0.0007,0.0004,0.0000,2.1002,0.0001,200,67.1953
2.0979,0.0007,0.0004,0.0000,2.0970,0.0001,200,69.2964
2.1002,0.0007,0.0004,0.0000,2.0993,0.0001,200,71.3943
2.0989,0.0007,0.0004,0.0000,2.0980,0.0001,200,73.4945
2.0982,0.0006,0.0003,0.0000,2.0974,0.0001,200,75.5935
2.0980,0.0006,0.0003,0.0000,2.0973,0.0001,200,77.6917
2.1082,0.0006,0.0003,0.0000,2.1074,0.0001,200,79.7897
2.1031,0.0007,0.0004,0.0000,2.1022,0.0001,200,81.8979
2.0982,0.0006,0.0003,0.0000,2.0974,0.0001,200,84.0009
2.1016,0.0007,0.0003,0.0000,2.1007,0.0001,200,86.0991
2.0991,0.0007,0.0004,0.0000,2.0982,0.0001,200,88.2007
2.1004,0.0008,0.0004,0.0000,2.0994,0.0001,200,90.2998
2.0994,0.0008,0.0004,0.0000,2.0985,0.0001,200,92.4002
2.0971,0.0006,0.0003,0.0000,2.0963,0.0001,200,94.4996
2.0970,0.0006,0.0003,0.0000,2.0963,0.0001,200,96.5967
2.0976,0.0006,0.0003,0.0000,2.0968,0.0001,200,98.6937
2.1009,0.0008,0.0004,0.0000,2.1000,0.0001,200,100.7913
2.1009,0.0006,0.0003,0.0000,2.1001,0.0001,200,102.8922
2.0983,0.0007,0.0003,0.0000,2.0974,0.0001,200,104.9931
2.0965,0.0007,0.0004,0.0000,2.0956,0.0001,200,107.0913
2.1096,0.0006,0.0003,0.0000,2.1088,0.0001,200,109.1878
2.1065,0.0006,0.0003,0.0000,2.1057,0.0001,200,111.2974
2.0985,0.0007,0.0004,0.0000,2.0977,0.0001,200,113.4039
2.0997,0.0012,0.0009,0.0000,2.0983,0.0001,200,115.5024
2.1007,0.0006,0.0003,0.0000,2.0999,0.0001,200,117.6021
2.0983,0.0007,0.0004,0.0000,2.0973,0.0003,200,119.7028
2.1009,0.0010,0.0005,0.0000,2.0998,0.0001,200,121.8012
2.0949,0.0006,0.0003,0.0000,2.0941,0.0001,200,123.9021
2.1009,0.0007,0.0004,0.0000,2.1001,0.0001,200,125.9969
2.1142,0.0006,0.0003,0.0000,2.1135,0.0001,200,128.0978
2.1069,0.0007,0.0003,0.0000,2.1061,0.0001,200,130.2121
2.0995,0.0007,0.0004,0.0000,2.0986,0.0001,200,132.3190
2.0958,0.0006,0.0003,0.0001,2.0951,0.0001,200,134.4185
2.0983,0.0006,0.0003,0.0000,2.0975,0.0001,200,136.5144
2.0979,0.0007,0.0004,0.0001,2.0970,0.0001,200,138.6127
2.1225,0.0006,0.0003,0.0000,2.1217,0.0001,200,140.7106
2.0984,0.0007,0.0003,0.0001,2.0975,0.0001,200,142.8331
2.0987,0.0007,0.0004,0.0000,2.0978,0.0001,200,144.9315
