response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1851,0.0010,0.0004,0.0001,2.1838,0.0001,200,0.0046
2.1815,0.0008,0.0004,0.0001,2.1799,0.0002,200,2.1897
2.1906,0.0007,0.0004,0.0000,2.1897,0.0001,200,4.3712
2.2048,0.0007,0.0003,0.0000,2.2040,0.0001,200,6.5617
2.1767,0.0006,0.0003,0.0000,2.1759,0.0001,200,8.7666
2.1835,0.0006,0.0003,0.0000,2.1828,0.0001,200,10.9433
2.1852,0.0006,0.0003,0.0000,2.1844,0.0001,200,13.1268
2.1844,0.0006,0.0003,0.0000,2.1836,0.0001,200,15.3120
2.1861,0.0006,0.0003,0.0000,2.1854,0.0001,200,17.4965
2.1831,0.0007,0.0004,0.0000,2.1823,0.0001,200,19.6826
2.1846,0.0006,0.0003,0.0000,2.1839,0.0001,200,21.8658
2.1773,0.0006,0.0003,0.0000,2.1765,0.0001,200,24.0504
2.1856,0.0006,0.0003,0.0001,2.1848,0.0001,200,26.2277
2.1787,0.0006,0.0003,0.0000,2.1779,0.0001,200,28.4133
2.1874,0.0006,0.0003,0.0000,2.1866,0.0001,200,30.5921
2.1965,0.0007,0.0004,0.0000,2.1956,0.0001,200,32.7795
2.1877,0.0006,0.0003,0.0000,2.1869,0.0001,200,34.9759
2.1954,0.0007,0.0004,0.0001,2.1944,0.0002,200,37.1637
2.1804,0.0006,0.0003,0.0000,2.1796,0.0001,200,39.3591
2.1822,0.0006,0.0003,0.0000,2.1814,0.0001,200,41.5395
2.1819,0.0006,0.0003,0.0000,2.1811,0.0001,200,43.7217
2.1741,0.0006,0.0003,0.0000,2.1732,0.0001,200,45.9036
2.1778,0.0006,0.0003,0.0000,2.1771,0.0001,200,48.0777
2.1772,0.0006,0.0003,0.0000,2.1764,0.0001,200,50.2555
2.1775,0.0006,0.0004,0.0000,2.1766,0.0003,200,52.4327
2.1909,0.0006,0.0003,0.0000,2.1901,0.0001,200,54.6102
2.1845,0.0006,0.0003,0.0000,2.1837,0.0001,200,56.8011
2.1902,0.0007,0.0004,0.0000,2.1894,0.0001,200,58.9857
2.1894,0.0006,0.0003,0.0000,2.1886,0.0001,200,61.1759
2.1881,0.0007,0.0004,0.0000,2.1871,0.0002,200,63.3653
2.1811,0.0006,0.0003,0.0001,2.1803,0.0001,200,65.5534
2.1957,0.0007,0.0004,0.0000,2.1948,0.0001,200,67.7345
2.2013,0.0006,0.0003,0.0000,2.2005,0.0001,200,69.9302
2.1831,0.0006,0.0003,0.0000,2.1823,0.0001,200,72.1315
2.1738,0.0008,0.0005,0.0000,2.1728,0.0001,200,74.3145
2.1909,0.0007,0.0004,0.0000,2.1900,0.0001,200,76.4883
2.1894,0.0007,0.0004,0.0001,2.1884,0.0001,200,78.6792
2.2008,0.0007,0.0003,0.0001,2.1999,0.0001,200,80.8685
2.1978,0.0007,0.0004,0.0001,2.1969,0.0001,200,83.0693
2.1876,0.0006,0.0003,0.0000,2.1868,0.0001,200,85.2671
2.1919,0.0007,0.0003,0.0000,2.1910,0.0001,200,87.4547
2.1877,0.0006,0.0003,0.0000,2.1869,0.0001,200,89.6466
2.1877,0.0007,0.0004,0.0000,2.1869,0.0001,200,91.8343
2.1816,0.0006,0.0003,0.0001,2.1807,0.0001,200,94.0220
2.1785,0.0007,0.0004,0.0001,2.1776,0.0001,200,96.2036
2.1751,0.0007,0.0003,0.0000,2.1742,0.0001,200,98.3821
2.1801,0.0006,0.0003,0.0001,2.1792,0.0001,200,100.5572
2.1922,0.0007,0.0004,0.0000,2.1913,0.0001,200,102.7373
2.1797,0.0006,0.0003,0.0000,2.1789,0.0001,200,104.9294
2.1842,0.0007,0.0004,0.0000,2.1833,0.0001,200,107.1091
2.1845,0.0006,0.0003,0.0001,2.1838,0.0001,200,109.2933
2.1955,0.0007,0.0003,0.0000,2.1947,0.0001,200,111.4779
2.1859,0.0006,0.0003,0.0001,2.1851,0.0001,200,113.6734
2.1737,0.0007,0.0003,0.0000,2.1728,0.0001,200,115.8593
2.1770,0.0007,0.0004,0.0000,2.1760,0.0002,200,118.0330
2.1776,0.0008,0.0005,0.0000,2.1765,0.0001,200,120.2101
2.1765,0.0006,0.0004,0.0000,2.1756,0.0001,200,122.3877
2.1737,0.0007,0.0004,0.0001,2.1728,0.0002,200,124.5641
2.1794,0.0006,0.0003,0.0001,2.1787,0.0001,200,126.7378
2.1917,0.0007,0.0003,0.0000,2.1909,0.0001,200,128.9173
2.1931,0.0007,0.0003,0.0000,2.1922,0.0001,200,131.1090
2.1876,0.0006,0.0003,0.0001,2.1868,0.0001,200,133.3021
2.1853,0.0007,0.0003,0.0000,2.1845,0.0001,200,135.4897
2.1844,0.0007,0.0004,0.0001,2.1836,0.0001,200,137.6750
2.1758,0.0006,0.0003,0.0000,2.1751,0.0001,200,139.8594
2.1949,0.0007,0.0003,0.0001,2.1940,0.0002,200,142.0352
2.1829,0.0007,0.0003,0.0000,2.1820,0.0001,200,144.2301
2.1796,0.0008,0.0004,0.0001,2.1787,0.0001,200,146.4130
2.1837,0.0006,0.0003,0.0001,2.1829,0.0001,200,148.5927
2.1869,0.0008,0.0004,0.0001,2.1860,0.0001,200,150.7764
2.1892,0.0006,0.0003,0.0000,2.1884,0.0001,200,152.9633
2.1962,0.0006,0.0003,0.0000,2.1954,0.0001,200,155.1525
2.1880,0.0007,0.0004,0.0000,2.1871,0.0001,200,157.3487
2.1765,0.0008,0.0004,0.0000,2.1756,0.0001,200,159.5367
2.1811,0.0006,0.0003,0.0001,2.1802,0.0001,200,161.7133
2.1750,0.0007,0.0003,0.0000,2.1741,0.0001,200,163.8943
2.1841,0.0007,0.0004,0.0000,2.1832,0.0001,200,166.0693
2.1755,0.0006,0.0003,0.0000,2.1747,0.0001,200,168.2534
2.1772,0.0007,0.0004,0.0000,2.1763,0.0001,200,170.4289
2.1870,0.0006,0.0003,0.0001,2.1862,0.0001,200,172.6061
2.1839,0.0007,0.0003,0.0001,2.1830,0.0001,200,174.7931
2.1791,0.0006,0.0003,0.0000,2.1783,0.0001,200,176.9769
2.1900,0.0007,0.0003,0.0001,2.1891,0.0001,200,179.1560
2.1814,0.0006,0.0003,0.0000,2.1806,0.0001,200,181.3459
2.1825,0.0006,0.0004,0.0001,2.1816,0.0001,200,183.5273
2.1902,0.0007,0.0004,0.0000,2.1894,0.0001,200,185.7098
2.1889,0.0006,0.0003,0.0000,2.1882,0.0001,200,187.9000
2.1854,0.0006,0.0003,0.0001,2.1841,0.0006,200,190.0889
2.1884,0.0007,0.0003,0.0001,2.1876,0.0001,200,192.2743
2.1755,0.0007,0.0004,0.0000,2.1745,0.0002,200,194.4627
2.1819,0.0007,0.0003,0.0000,2.1810,0.0002,200,196.6382
2.1802,0.0006,0.0003,0.0000,2.1794,0.0001,200,198.8201
2.2036,0.0007,0.0004,0.0001,2.2028,0.0001,200,201.0004
2.1879,0.0006,0.0003,0.0000,2.1871,0.0001,200,203.2040
2.1946,0.0007,0.0003,0.0000,2.1937,0.0001,200,205.3919
2.1880,0.0006,0.0003,0.0000,2.1872,0.0001,200,207.5865
2.1720,0.0007,0.0004,0.0001,2.1711,0.0001,200,209.7745
2.1767,0.0008,0.0004,0.0001,2.1757,0.0001,200,211.9465
2.1737,0.0007,0.0004,0.0000,2.1728,0.0001,200,214.1232
2.1742,0.0006,0.0003,0.0001,2.1734,0.0001,200,216.2969
2.1898,0.0006,0.0003,0.0000,2.1889,0.0002,200,218.4711
2.1760,0.0006,0.0003,0.0000,2.1753,0.0001,200,220.6608
2.1901,0.0007,0.0004,0.0000,2.1892,0.0001,200,222.8369
2.1834,0.0006,0.0003,0.0000,2.1826,0.0001,200,225.0270
2.1839,0.0007,0.0004,0.0000,2.1831,0.0001,200,227.2104
2.1739,0.0007,0.0003,0.0000,2.1730,0.0001,200,229.3943
2.1896,0.0007,0.0004,0.0000,2.1887,0.0001,200,231.5682
