response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0055,0.0015,0.0009,0.0000,0.0038,0.0001,200,0.0067
0.0495,0.0026,0.0022,0.0000,0.0468,0.0001,200,0.0122
0.0479,0.0006,0.0003,0.0000,0.0472,0.0001,200,0.0617
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.1097
0.0439,0.0006,0.0003,0.0000,0.0432,0.0001,200,0.1537
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,0.1976
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,0.2416
0.0440,0.0006,0.0003,0.0000,0.0433,0.0001,200,0.2856
0.0440,0.0004,0.0002,0.0000,0.0434,0.0001,200,0.3296
0.0441,0.0004,0.0002,0.0000,0.0435,0.0001,200,0.3736
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,0.4176
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,0.4616
0.0439,0.0006,0.0003,0.0000,0.0433,0.0001,200,0.5057
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,0.5496
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,0.5936
0.0441,0.0005,0.0002,0.0000,0.0435,0.0001,200,0.6376
0.0481,0.0005,0.0003,0.0000,0.0474,0.0001,200,0.6818
0.0479,0.0007,0.0003,0.0000,0.0471,0.0001,200,0.7298
0.0479,0.0006,0.0003,0.0000,0.0472,0.0001,200,0.7777
0.0439,0.0005,0.0002,0.0001,0.0433,0.0001,200,0.8256
0.0441,0.0005,0.0002,0.0000,0.0435,0.0001,200,0.8696
0.0439,0.0005,0.0002,0.0000,0.0433,0.0001,200,0.9137
0.0440,0.0005,0.0002,0.0000,0.0435,0.0001,200,0.9576
0.0441,0.0005,0.0002,0.0000,0.0435,0.0001,200,1.0016
0.0439,0.0005,0.0003,0.0000,0.0433,0.0001,200,1.0457
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.0896
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,1.1336
0.0442,0.0005,0.0002,0.0000,0.0436,0.0001,200,1.1776
0.0479,0.0006,0.0002,0.0000,0.0472,0.0001,200,1.2219
0.0479,0.0005,0.0003,0.0000,0.0472,0.0001,200,1.2698
0.0439,0.0006,0.0003,0.0000,0.0433,0.0001,200,1.3177
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,1.3616
0.0440,0.0005,0.0002,0.0000,0.0434,0.0001,200,1.4056
0.0442,0.0005,0.0003,0.0000,0.0435,0.0001,200,1.4496
0.0479,0.0005,0.0002,0.0000,0.0472,0.0001,200,1.4938
0.0479,0.0006,0.0003,0.0000,0.0472,0.0001,200,1.5418
0.0440,0.0005,0.0003,0.0000,0.0434,0.0001,200,1.5896
0.0439,0.0005,0.0002,0.0000,0.0433,0.0001,200,1.6337
