response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0212,0.0010,0.0005,0.0001,0.0199,0.0002,200,0.0038
0.0654,0.0025,0.0021,0.0000,0.0628,0.0001,200,0.0250
0.0599,0.0006,0.0003,0.0000,0.0591,0.0001,200,0.0904
0.0601,0.0006,0.0003,0.0000,0.0594,0.0001,200,0.1503
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,0.2104
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,0.2704
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,0.3304
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,0.3903
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,0.4504
0.0641,0.0006,0.0003,0.0000,0.0634,0.0001,200,0.5103
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,0.5744
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,0.6344
0.0599,0.0006,0.0003,0.0000,0.0591,0.0001,200,0.6944
0.0600,0.0007,0.0004,0.0001,0.0592,0.0001,200,0.7543
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,0.8144
0.0640,0.0006,0.0003,0.0000,0.0633,0.0001,200,0.8743
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,0.9383
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,0.9984
0.0640,0.0006,0.0003,0.0000,0.0633,0.0001,200,1.0623
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,1.1264
0.0599,0.0005,0.0002,0.0000,0.0593,0.0001,200,1.1904
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.2503
0.0641,0.0006,0.0004,0.0000,0.0633,0.0001,200,1.3103
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.3744
0.0600,0.0006,0.0003,0.0001,0.0592,0.0001,200,1.4343
0.0601,0.0006,0.0003,0.0000,0.0594,0.0001,200,1.4943
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.5544
0.0640,0.0006,0.0003,0.0000,0.0633,0.0001,200,1.6144
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.6783
0.0602,0.0005,0.0003,0.0000,0.0595,0.0001,200,1.7383
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.7984
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.8584
0.0599,0.0006,0.0003,0.0000,0.0592,0.0001,200,1.9184
0.0602,0.0006,0.0003,0.0000,0.0595,0.0001,200,1.9783
0.0639,0.0008,0.0004,0.0001,0.0629,0.0001,200,2.0385
0.0599,0.0007,0.0003,0.0001,0.0590,0.0001,200,2.1024
0.0680,0.0006,0.0003,0.0000,0.0672,0.0001,200,2.1623
0.0600,0.0007,0.0004,0.0000,0.0592,0.0001,200,2.2303
