response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0731,0.0012,0.0006,0.0001,0.0715,0.0001,200,0.2033
0.0753,0.0012,0.0005,0.0001,0.0739,0.0001,200,0.2033
0.0781,0.0012,0.0006,0.0000,0.0767,0.0001,200,0.2034
0.0845,0.0011,0.0006,0.0002,0.0831,0.0001,200,0.2035
0.0860,0.0013,0.0006,0.0001,0.0846,0.0000,200,0.2034
0.0644,0.0010,0.0004,0.0001,0.0632,0.0001,200,0.4033
0.0739,0.0008,0.0003,0.0001,0.0729,0.0001,200,0.4034
0.0747,0.0008,0.0003,0.0001,0.0737,0.0001,200,0.4034
0.0785,0.0009,0.0002,0.0000,0.0775,0.0001,200,0.4035
0.0788,0.0009,0.0003,0.0001,0.0778,0.0001,200,0.4034
0.0457,0.0011,0.0005,0.0002,0.0443,0.0001,200,0.6035
0.0697,0.0011,0.0004,0.0001,0.0683,0.0001,200,0.6034
0.0712,0.0011,0.0003,0.0001,0.0699,0.0001,200,0.6035
0.0723,0.0012,0.0004,0.0001,0.0709,0.0001,200,0.6034
0.0754,0.0012,0.0005,0.0001,0.0741,0.0001,200,0.6034
0.0661,0.0009,0.0003,0.0001,0.0650,0.0001,200,0.8034
0.0681,0.0010,0.0004,0.0001,0.0669,0.0001,200,0.8033
0.0701,0.0008,0.0003,0.0001,0.0692,0.0000,200,0.8033
0.0728,0.0008,0.0004,0.0001,0.0718,0.0000,200,0.8033
0.0770,0.0009,0.0004,0.0001,0.0759,0.0001,200,0.8033
0.0725,0.0010,0.0003,0.0001,0.0713,0.0001,200,1.0033
0.0788,0.0011,0.0004,0.0001,0.0775,0.0001,200,1.0033
0.0788,0.0011,0.0004,0.0000,0.0776,0.0001,200,1.0034
0.0835,0.0009,0.0003,0.0001,0.0825,0.0000,200,1.0034
0.0835,0.0011,0.0004,0.0000,0.0823,0.0001,200,1.0034
0.0690,0.0009,0.0003,0.0002,0.0678,0.0001,200,1.2035
0.0692,0.0009,0.0004,0.0001,0.0682,0.0000,200,1.2033
0.0723,0.0010,0.0004,0.0001,0.0710,0.0001,200,1.2033
0.0737,0.0009,0.0003,0.0000,0.0726,0.0001,200,1.2034
0.0757,0.0010,0.0002,0.0000,0.0746,0.0001,200,1.2035
0.0727,0.0011,0.0004,0.0000,0.0713,0.0001,200,1.4033
0.0752,0.0011,0.0004,0.0000,0.0740,0.0001,200,1.4033
0.0770,0.0010,0.0004,0.0000,0.0759,0.0001,200,1.4034
0.0781,0.0009,0.0003,0.0000,0.0771,0.0001,200,1.4034
0.0796,0.0010,0.0004,0.0001,0.0784,0.0000,200,1.4033
0.0725,0.0008,0.0002,0.0001,0.0713,0.0001,200,1.6033
0.0751,0.0011,0.0003,0.0001,0.0738,0.0001,200,1.6033
0.0778,0.0012,0.0005,0.0000,0.0765,0.0001,200,1.6033
0.0793,0.0009,0.0003,0.0000,0.0783,0.0000,200,1.6035
0.0801,0.0009,0.0003,0.0001,0.0790,0.0001,200,1.6034
0.0659,0.0011,0.0005,0.0001,0.0646,0.0001,200,1.8034
0.0705,0.0012,0.0005,0.0001,0.0692,0.0001,200,1.8035
0.0755,0.0010,0.0004,0.0001,0.0744,0.0001,200,1.8035
0.0774,0.0013,0.0006,0.0000,0.0760,0.0001,200,1.8034
0.0802,0.0011,0.0005,0.0001,0.0790,0.0001,200,1.8035
0.0747,0.0011,0.0004,0.0001,0.0735,0.0001,200,2.0033
0.0747,0.0010,0.0004,0.0002,0.0734,0.0001,200,2.0034
0.0794,0.0011,0.0004,0.0001,0.0781,0.0001,200,2.0033
0.0792,0.0009,0.0002,0.0001,0.0781,0.0001,200,2.0034
0.0806,0.0010,0.0004,0.0001,0.0794,0.0001,200,2.0033
0.0690,0.0010,0.0004,0.0001,0.0678,0.0001,200,2.2033
0.0797,0.0009,0.0003,0.0001,0.0785,0.0001,200,2.2033
0.0801,0.0011,0.0004,0.0001,0.0788,0.0001,200,2.2033
0.0840,0.0009,0.0004,0.0001,0.0829,0.0000,200,2.2034
0.0842,0.0010,0.0004,0.0001,0.0830,0.0001,200,2.2034
0.0515,0.0010,0.0004,0.0000,0.0503,0.0001,200,2.4033
0.0708,0.0009,0.0003,0.0002,0.0696,0.0001,200,2.4034
0.0776,0.0009,0.0002,0.0001,0.0765,0.0001,200,2.4034
0.0780,0.0009,0.0003,0.0001,0.0768,0.0001,200,2.4033
0.0792,0.0010,0.0003,0.0001,0.0781,0.0001,200,2.4034
0.0639,0.0011,0.0004,0.0001,0.0627,0.0001,200,2.6033
0.0662,0.0011,0.0004,0.0001,0.0649,0.0001,200,2.6033
0.0700,0.0008,0.0002,0.0000,0.0690,0.0001,200,2.6034
0.0707,0.0010,0.0004,0.0001,0.0695,0.0001,200,2.6033
0.0765,0.0009,0.0004,0.0001,0.0754,0.0001,200,2.6034
0.0762,0.0015,0.0010,0.0001,0.0745,0.0001,200,2.8033
0.0794,0.0019,0.0010,0.0000,0.0774,0.0001,200,2.8033
0.0802,0.0016,0.0010,0.0000,0.0785,0.0001,200,2.8034
0.0833,0.0017,0.0011,0.0000,0.0814,0.0001,200,2.8033
0.0840,0.0009,0.0004,0.0001,0.0822,0.0001,200,2.8033
0.0639,0.0010,0.0004,0.0001,0.0628,0.0001,200,3.0034
0.0694,0.0011,0.0004,0.0001,0.0681,0.0001,200,3.0033
0.0729,0.0010,0.0004,0.0001,0.0717,0.0001,200,3.0034
0.0743,0.0010,0.0004,0.0000,0.0732,0.0001,200,3.0033
