response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.9836,0.0015,0.0005,0.0001,0.0273,0.9547,200,0.2034
1.7417,0.0017,0.0011,0.0001,0.9992,0.7406,200,0.2031
2.8538,0.0017,0.0010,0.0001,1.8054,1.0466,200,0.2033
3.9780,0.0016,0.0010,0.0001,2.9052,1.0711,200,0.2034
5.0514,0.0010,0.0004,0.0001,4.0301,1.0195,200,0.2032
4.8224,0.0007,0.0003,0.0001,4.0978,0.7238,200,1.1870
4.7790,0.0007,0.0004,0.0001,4.0810,0.6972,200,1.9448
4.7926,0.0006,0.0003,0.0000,3.7195,1.0724,200,3.0571
4.7173,0.0006,0.0003,0.0000,3.7207,0.9959,200,4.1814
4.5880,0.0007,0.0004,0.0000,3.6606,0.9266,200,5.2546
4.7168,0.0007,0.0004,0.0000,3.8960,0.8200,200,6.0094
5.0564,0.0007,0.0003,0.0000,4.0170,1.0387,200,6.7238
4.3187,0.0006,0.0003,0.0000,3.9463,0.3717,200,7.8497
3.8123,0.0006,0.0003,0.0000,3.2858,0.5258,200,8.8987
3.9350,0.0006,0.0003,0.0000,2.8927,1.0416,200,9.8427
4.0737,0.0007,0.0003,0.0000,3.1056,0.9673,200,10.7262
3.3741,0.0006,0.0003,0.0000,3.0369,0.3365,200,11.7802
3.7632,0.0006,0.0003,0.0000,3.0246,0.7379,200,12.1683
3.9002,0.0007,0.0003,0.0000,3.2362,0.6633,200,12.7110
3.9235,0.0007,0.0003,0.0000,2.8603,1.0624,200,13.7776
3.9602,0.0008,0.0004,0.0000,2.9529,1.0064,200,14.7999
4.7983,0.0006,0.0003,0.0000,3.6578,1.1398,200,15.1543
5.1481,0.0007,0.0003,0.0000,4.0729,1.0744,200,15.9316
4.8503,0.0007,0.0003,0.0000,4.4823,0.3673,200,16.6112
4.8386,0.0006,0.0003,0.0000,3.7769,1.0610,200,17.7011
4.3056,0.0007,0.0004,0.0000,3.7953,0.5095,200,18.7602
3.6950,0.0006,0.0003,0.0000,3.1327,0.5617,200,19.9526
2.9200,0.0007,0.0003,0.0001,2.5850,0.3342,200,21.0797
3.2122,0.0006,0.0003,0.0000,2.5541,0.6574,200,21.4616
3.1589,0.0006,0.0003,0.0001,2.1560,1.0021,200,22.5397
3.7136,0.0006,0.0003,0.0001,2.6871,1.0258,200,23.0658
3.8497,0.0006,0.0003,0.0000,3.1837,0.6654,200,23.6477
4.3550,0.0005,0.0002,0.0001,3.5607,0.7938,200,23.9997
4.7645,0.0006,0.0003,0.0000,3.7034,1.0604,200,24.6737
4.8549,0.0006,0.0003,0.0001,3.7921,1.0621,200,25.6985
4.8883,0.0007,0.0004,0.0001,3.8258,1.0617,200,26.7794
5.2008,0.0006,0.0003,0.0001,4.2223,0.9778,200,27.4974
5.3005,0.0006,0.0003,0.0001,4.3954,0.9044,200,28.3547
5.1531,0.0007,0.0004,0.0000,4.2329,0.9194,200,29.4382
5.2266,0.0007,0.0003,0.0000,4.0973,1.1286,200,30.5535
5.2346,0.0006,0.0003,0.0000,4.1643,1.0696,200,31.6677
4.8101,0.0006,0.0003,0.0000,4.2573,0.5521,200,32.6982
4.7471,0.0006,0.0003,0.0001,3.8692,0.8773,200,33.6552
4.5376,0.0006,0.0003,0.0000,3.8712,0.6657,200,34.5913
4.3979,0.0007,0.0003,0.0001,3.3886,1.0086,200,35.7801
3.9173,0.0006,0.0003,0.0000,3.2907,0.6259,200,36.9023
4.3352,0.0006,0.0003,0.0000,3.3735,0.9610,200,37.5083
4.2114,0.0007,0.0003,0.0006,3.4566,0.7535,200,38.4024
4.3568,0.0007,0.0003,0.0000,3.5048,0.8512,200,39.1289
3.9799,0.0006,0.0003,0.0000,3.3231,0.6561,200,40.1780
4.4509,0.0006,0.0003,0.0000,3.3896,1.0606,200,40.8197
4.0536,0.0006,0.0003,0.0001,3.4427,0.6102,200,41.8435
4.2882,0.0007,0.0003,0.0000,3.2979,0.9895,200,42.6138
4.0508,0.0006,0.0003,0.0000,3.4693,0.5808,200,43.4857
4.3294,0.0007,0.0003,0.0000,3.3949,0.9337,200,44.1579
3.7577,0.0006,0.0003,0.0000,3.2332,0.5239,200,45.2705
4.0040,0.0006,0.0004,0.0001,3.1825,0.8208,200,45.8971
3.9001,0.0007,0.0003,0.0001,3.0610,0.8384,200,46.9019
4.3907,0.0007,0.0004,0.0001,3.3178,1.0720,200,47.5365
4.6089,0.0008,0.0003,0.0001,3.5145,1.0935,200,48.4873
5.1956,0.0007,0.0004,0.0001,4.1208,1.0740,200,49.0283
5.4484,0.0006,0.0003,0.0001,4.3755,1.0721,200,49.9011
5.6664,0.0006,0.0003,0.0001,4.5997,1.0660,200,50.8020
5.3776,0.0006,0.0003,0.0000,4.5943,0.7826,200,51.9271
5.2964,0.0006,0.0003,0.0001,4.2568,1.0389,200,53.0962
5.3204,0.0007,0.0004,0.0001,4.2222,1.0975,200,54.2239
4.9972,0.0006,0.0003,0.0000,4.2488,0.7477,200,55.3495
4.4287,0.0007,0.0004,0.0001,3.8949,0.5330,200,56.4684
4.2019,0.0006,0.0003,0.0000,3.6066,0.5946,200,57.3048
4.1266,0.0006,0.0003,0.0000,3.1443,0.9817,200,58.3925
4.1237,0.0006,0.0004,0.0001,3.0285,1.0946,200,59.5443
