response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.7585,0.0010,0.0005,0.0001,0.0650,0.6923,200,0.0037
0.9720,0.0008,0.0004,0.0001,0.0639,0.9073,200,0.7623
0.5491,0.0006,0.0003,0.0000,0.0531,0.4953,200,1.7342
1.0440,0.0012,0.0009,0.0000,0.0637,0.9791,200,2.2834
0.8114,0.0007,0.0003,0.0000,0.0623,0.7484,200,3.3274
1.1375,0.0006,0.0003,0.0000,0.0628,1.0741,200,4.1388
0.7803,0.0007,0.0003,0.0000,0.0614,0.7182,200,5.2763
1.2050,0.0006,0.0003,0.0000,0.0651,1.1392,200,6.0566
0.7996,0.0006,0.0003,0.0000,0.0536,0.7454,200,7.2616
0.7433,0.0006,0.0002,0.0001,0.0168,0.7259,200,8.0612
1.1544,0.0006,0.0003,0.0000,0.0642,1.0895,200,8.8045
0.9151,0.0006,0.0003,0.0001,0.0619,0.8524,200,9.9590
0.8717,0.0007,0.0004,0.0001,0.0635,0.8073,200,10.8740
1.0312,0.0007,0.0003,0.0001,0.0264,1.0041,200,11.7457
0.4802,0.0006,0.0003,0.0001,0.0647,0.4148,200,12.7769
0.5424,0.0006,0.0003,0.0000,0.0197,0.5219,200,13.2571
0.5515,0.0007,0.0003,0.0000,0.0624,0.4884,200,13.7994
0.9575,0.0006,0.0003,0.0001,0.0644,0.8924,200,14.3510
1.1228,0.0006,0.0003,0.0001,0.0558,1.0664,200,15.3085
1.1917,0.0007,0.0003,0.0000,0.0627,1.1283,200,16.4313
0.9980,0.0006,0.0003,0.0000,0.0626,0.9348,200,17.6231
1.0376,0.0007,0.0004,0.0000,0.0652,0.9716,200,18.6211
1.1211,0.0006,0.0003,0.0000,0.0523,1.0681,200,19.6587
0.7308,0.0007,0.0004,0.0000,0.0623,0.6677,200,20.7798
1.2664,0.0006,0.0003,0.0001,0.0633,1.2024,200,21.5106
1.0322,0.0006,0.0003,0.0000,0.0635,0.9680,200,22.7770
1.1252,0.0006,0.0003,0.0000,0.0518,1.0727,200,23.8092
1.1234,0.0006,0.0003,0.0000,0.0528,1.0699,200,24.9344
0.4506,0.0006,0.0003,0.0001,0.0621,0.3878,200,26.0578
1.1645,0.0008,0.0004,0.0000,0.0638,1.0998,200,26.5084
0.9249,0.0007,0.0003,0.0000,0.0612,0.8630,200,27.6729
0.9544,0.0006,0.0003,0.0001,0.0620,0.8917,200,28.5978
1.0697,0.0006,0.0003,0.0000,0.0657,1.0033,200,29.5522
1.0579,0.0007,0.0003,0.0000,0.0620,0.9952,200,30.6219
1.0222,0.0006,0.0003,0.0001,0.0621,0.9593,200,31.6798
0.7107,0.0007,0.0003,0.0001,0.0358,0.6742,200,32.7020
1.1346,0.0007,0.0004,0.0000,0.0402,1.0937,200,33.4127
0.8335,0.0007,0.0003,0.0000,0.0528,0.7799,200,34.5473
1.2013,0.0006,0.0003,0.0000,0.0532,1.1474,200,35.3808
1.0775,0.0007,0.0004,0.0000,0.0532,1.0235,200,36.5821
0.5454,0.0006,0.0003,0.0001,0.0309,0.5138,200,37.6596
0.7729,0.0006,0.0003,0.0000,0.0533,0.7189,200,38.2050
1.1926,0.0007,0.0003,0.0000,0.0617,1.1302,200,38.9780
0.9017,0.0006,0.0003,0.0000,0.0619,0.8391,200,40.1706
0.8090,0.0006,0.0003,0.0000,0.0642,0.7442,200,41.0723
0.9500,0.0006,0.0003,0.0000,0.0658,0.8835,200,41.8813
0.7946,0.0007,0.0004,0.0000,0.0528,0.7411,200,42.8313
0.5867,0.0007,0.0003,0.0001,0.0537,0.5322,200,43.6260
0.8953,0.0007,0.0003,0.0000,0.0241,0.8704,200,44.2126
1.0923,0.0006,0.0003,0.0001,0.0623,1.0293,200,45.1079
0.5842,0.0007,0.0003,0.0000,0.0601,0.5233,200,46.2002
1.1493,0.0006,0.0003,0.0000,0.0204,1.1282,200,46.7845
1.2182,0.0012,0.0003,0.0000,0.0626,1.1543,200,47.9337
0.7824,0.0007,0.0003,0.0000,0.0658,0.7159,200,49.1519
0.4795,0.0006,0.0003,0.0000,0.0186,0.4602,200,49.9343
1.0625,0.0007,0.0004,0.0001,0.0635,0.9981,200,50.4138
1.1197,0.0006,0.0003,0.0001,0.0529,1.0661,200,51.4762
0.9141,0.0006,0.0003,0.0001,0.0626,0.8507,200,52.5960
1.3207,0.0007,0.0004,0.0001,0.0631,1.2568,200,53.5100
0.7388,0.0007,0.0003,0.0000,0.0346,0.7034,200,54.8307
0.7228,0.0006,0.0003,0.0000,0.0409,0.6812,200,55.5695
0.6709,0.0006,0.0003,0.0001,0.0627,0.6076,200,56.2923
1.1957,0.0007,0.0003,0.0001,0.0626,1.1324,200,56.9633
1.1678,0.0007,0.0003,0.0001,0.0615,1.1056,200,58.1590
1.1464,0.0006,0.0003,0.0000,0.0527,1.0930,200,59.3268
1.1221,0.0007,0.0003,0.0001,0.0530,1.0684,200,60.4732
0.6404,0.0006,0.0003,0.0001,0.0201,0.6196,200,61.5954
1.1670,0.0006,0.0003,0.0000,0.0631,1.1032,200,62.2358
1.1246,0.0006,0.0003,0.0000,0.0528,1.0711,200,63.4028
0.9224,0.0006,0.0003,0.0000,0.0541,0.8676,200,64.5274
0.7127,0.0006,0.0003,0.0001,0.0631,0.6488,200,65.4498
0.7812,0.0007,0.0003,0.0001,0.0644,0.7160,200,66.1625
1.1418,0.0007,0.0003,0.0000,0.0627,1.0783,200,66.9437
1.1058,0.0007,0.0003,0.0001,0.0531,1.0520,200,68.0855
0.9537,0.0007,0.0003,0.0000,0.0623,0.8907,200,69.1912
0.8948,0.0006,0.0003,0.0000,0.0631,0.8310,200,70.1449
0.9568,0.0006,0.0003,0.0001,0.0171,0.9390,200,71.0397
1.1585,0.0006,0.0003,0.0001,0.0617,1.0961,200,71.9966
1.3076,0.0006,0.0003,0.0001,0.0616,1.2454,200,73.1551
0.9004,0.0006,0.0003,0.0001,0.0616,0.8380,200,74.4627
1.2048,0.0006,0.0003,0.0001,0.0221,1.1820,200,75.3630
1.0665,0.0006,0.0003,0.0000,0.0628,1.0030,200,76.5678
0.9737,0.0006,0.0003,0.0001,0.0646,0.9084,200,77.6344
1.0483,0.0006,0.0003,0.0000,0.0357,1.0119,200,78.6081
1.3047,0.0006,0.0003,0.0001,0.0610,1.2430,200,79.6564
0.9604,0.0006,0.0003,0.0001,0.0610,0.8987,200,80.9611
1.0839,0.0007,0.0004,0.0001,0.0612,1.0220,200,81.9215
0.5424,0.0006,0.0003,0.0000,0.0529,0.4888,200,83.0054
1.1787,0.0006,0.0003,0.0001,0.0251,1.1529,200,83.5477
1.1934,0.0007,0.0003,0.0000,0.0615,1.1312,200,84.7264
1.1311,0.0006,0.0003,0.0000,0.0524,1.0780,200,85.9198
1.0735,0.0006,0.0003,0.0000,0.0532,1.0196,200,87.0509
1.1791,0.0006,0.0004,0.0000,0.0616,1.1168,200,88.1244
0.7448,0.0006,0.0003,0.0001,0.0616,0.6825,200,89.3035
0.3470,0.0006,0.0003,0.0000,0.0171,0.3292,200,90.0483
0.3469,0.0006,0.0003,0.0000,0.0171,0.3292,200,90.3953
0.3483,0.0006,0.0003,0.0001,0.0170,0.3306,200,90.7422
0.3452,0.0006,0.0003,0.0000,0.0160,0.3285,200,91.0905
0.3397,0.0006,0.0003,0.0000,0.0142,0.3248,200,91.4357
0.3535,0.0006,0.0003,0.0000,0.0167,0.3361,200,91.7754
0.3485,0.0006,0.0003,0.0001,0.0170,0.3308,200,92.1289
0.3508,0.0006,0.0003,0.0000,0.0170,0.3332,200,92.4774
0.3515,0.0006,0.0003,0.0001,0.0178,0.3330,200,92.8282
0.3500,0.0007,0.0004,0.0001,0.0170,0.3323,200,93.1797
0.3423,0.0006,0.0003,0.0000,0.0169,0.3247,200,93.5297
0.3519,0.0007,0.0003,0.0000,0.0178,0.3334,200,93.8720
0.3428,0.0007,0.0004,0.0000,0.0169,0.3251,200,94.2239
0.3499,0.0007,0.0003,0.0000,0.0172,0.3320,200,94.5667
0.3446,0.0006,0.0003,0.0000,0.0169,0.3270,200,94.9166
0.3451,0.0007,0.0003,0.0001,0.0181,0.3262,200,95.2612
0.3395,0.0006,0.0003,0.0001,0.0171,0.3217,200,95.6063
0.3445,0.0006,0.0003,0.0000,0.0170,0.3268,200,95.9458
0.3423,0.0007,0.0004,0.0000,0.0176,0.3239,200,96.2903
0.3495,0.0006,0.0003,0.0001,0.0153,0.3335,200,96.6326
0.3448,0.0006,0.0003,0.0000,0.0173,0.3268,200,96.9821
0.3486,0.0006,0.0003,0.0001,0.0172,0.3308,200,97.3269
0.3455,0.0006,0.0003,0.0000,0.0169,0.3280,200,97.6756
0.3453,0.0006,0.0003,0.0000,0.0173,0.3273,200,98.0211
0.3435,0.0007,0.0004,0.0001,0.0152,0.3276,200,98.3664
0.3466,0.0006,0.0003,0.0000,0.0169,0.3290,200,98.7100
0.3457,0.0007,0.0003,0.0001,0.0177,0.3273,200,99.0565
0.3467,0.0006,0.0003,0.0000,0.0176,0.3284,200,99.4023
0.3511,0.0007,0.0004,0.0001,0.0158,0.3346,200,99.7489
0.3518,0.0007,0.0003,0.0001,0.0172,0.3338,200,100.1001
0.3412,0.0006,0.0003,0.0000,0.0168,0.3237,200,100.4519
0.3494,0.0006,0.0003,0.0001,0.0178,0.3310,200,100.7931
0.3557,0.0006,0.0003,0.0001,0.0180,0.3371,200,101.1426
0.3528,0.0007,0.0004,0.0001,0.0171,0.3350,200,101.4983
0.3470,0.0006,0.0003,0.0000,0.0172,0.3292,200,101.8511
0.3483,0.0006,0.0003,0.0000,0.0171,0.3305,200,102.1982
0.3468,0.0006,0.0003,0.0001,0.0172,0.3290,200,102.5465
0.3439,0.0006,0.0003,0.0000,0.0168,0.3264,200,102.8933
0.3498,0.0007,0.0003,0.0001,0.0172,0.3319,200,103.2371
0.3474,0.0007,0.0004,0.0000,0.0151,0.3316,200,103.5870
0.3666,0.0006,0.0003,0.0000,0.0176,0.3483,200,103.9344
0.3631,0.0006,0.0003,0.0001,0.0174,0.3450,200,104.3010
0.3474,0.0006,0.0003,0.0000,0.0169,0.3299,200,104.6641
0.3456,0.0006,0.0003,0.0001,0.0175,0.3275,200,105.0115
0.3459,0.0006,0.0003,0.0000,0.0171,0.3282,200,105.3572
0.3400,0.0007,0.0003,0.0000,0.0170,0.3223,200,105.7031
