response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1139,0.0014,0.0008,0.0001,2.1121,0.0002,200,0.2041
4.2162,0.0015,0.0008,0.0009,4.2136,0.0001,200,0.2040
6.3053,0.0015,0.0008,0.0007,6.3030,0.0001,200,0.2042
8.3906,0.0013,0.0008,0.0007,8.3885,0.0001,200,0.2043
10.4804,0.0014,0.0007,0.0007,10.4783,0.0001,200,0.2044
10.4905,0.0007,0.0004,0.0001,10.4896,0.0001,200,2.3181
10.4882,0.0007,0.0004,0.0001,10.4873,0.0001,200,4.4203
10.4878,0.0008,0.0005,0.0001,10.4869,0.0001,200,6.5095
10.4926,0.0007,0.0004,0.0001,10.4918,0.0001,200,8.5950
10.4936,0.0006,0.0003,0.0000,10.4928,0.0001,200,10.6848
10.4836,0.0007,0.0004,0.0001,10.4827,0.0001,200,12.8086
10.4759,0.0007,0.0004,0.0001,10.4750,0.0001,200,14.9084
10.4705,0.0007,0.0003,0.0000,10.4697,0.0001,200,16.9974
10.4656,0.0007,0.0004,0.0000,10.4648,0.0001,200,19.0876
10.4572,0.0007,0.0003,0.0000,10.4564,0.0001,200,21.1784
10.4558,0.0009,0.0005,0.0001,10.4546,0.0001,200,23.2922
10.4461,0.0007,0.0004,0.0000,10.4453,0.0001,200,25.3843
10.4462,0.0007,0.0004,0.0001,10.4453,0.0001,200,27.4679
10.4449,0.0007,0.0004,0.0001,10.4440,0.0001,200,29.5532
10.4682,0.0008,0.0004,0.0000,10.4673,0.0001,200,31.6357
8.3980,0.0007,0.0004,0.0000,8.3971,0.0001,200,35.8304
8.4076,0.0007,0.0003,0.0001,8.4067,0.0001,200,37.9141
14.6731,0.0007,0.0004,0.0000,14.6722,0.0001,200,33.7480
10.5168,0.0007,0.0003,0.0001,10.5159,0.0001,200,39.9981
8.3959,0.0007,0.0003,0.0001,8.3950,0.0001,200,44.2284
12.6306,0.0007,0.0004,0.0001,12.6298,0.0001,200,42.1039
6.3196,0.0006,0.0003,0.0000,6.3189,0.0001,200,50.5149
12.6068,0.0007,0.0004,0.0001,12.6059,0.0001,200,46.3217
12.6002,0.0008,0.0004,0.0001,12.5991,0.0001,200,48.4211
10.5088,0.0007,0.0003,0.0000,10.5080,0.0001,200,52.6243
6.3116,0.0006,0.0003,0.0001,6.3108,0.0001,200,58.9285
10.4963,0.0007,0.0003,0.0000,10.4955,0.0001,200,56.8345
14.6935,0.0011,0.0008,0.0001,14.6922,0.0001,200,54.7345
