response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1776,0.0017,0.0011,0.0001,2.1755,0.0001,200,0.2038
4.3564,0.0017,0.0004,0.0001,4.3545,0.0001,200,0.2040
6.5457,0.0010,0.0004,0.0001,6.5445,0.0001,200,0.2046
8.7195,0.0017,0.0010,0.0001,8.7174,0.0001,200,0.2038
10.9063,0.0009,0.0003,0.0001,10.9052,0.0001,200,0.2046
10.9080,0.0006,0.0003,0.0000,10.9072,0.0001,200,2.3814
10.9057,0.0007,0.0003,0.0000,10.9049,0.0001,200,4.5604
10.9027,0.0007,0.0003,0.0000,10.9018,0.0001,200,6.7503
10.9239,0.0006,0.0003,0.0000,10.9230,0.0002,200,8.9233
10.9276,0.0006,0.0003,0.0000,10.9268,0.0001,200,11.1110
10.9206,0.0007,0.0003,0.0000,10.9197,0.0001,200,13.2894
10.9214,0.0007,0.0003,0.0000,10.9206,0.0001,200,15.4662
10.9048,0.0007,0.0003,0.0000,10.9039,0.0001,200,17.6530
10.8968,0.0006,0.0003,0.0000,10.8959,0.0001,200,19.8472
10.8832,0.0006,0.0003,0.0000,10.8824,0.0001,200,22.0386
10.8840,0.0006,0.0003,0.0000,10.8833,0.0001,200,24.2099
10.8835,0.0006,0.0003,0.0000,10.8827,0.0001,200,26.3876
10.8835,0.0006,0.0003,0.0000,10.8827,0.0002,200,28.5578
10.8819,0.0006,0.0003,0.0000,10.8810,0.0001,200,30.7439
10.8748,0.0007,0.0003,0.0000,10.8739,0.0001,200,32.9217
10.8745,0.0006,0.0003,0.0000,10.8737,0.0001,200,35.0940
10.8726,0.0006,0.0003,0.0000,10.8718,0.0001,200,37.2711
10.8959,0.0007,0.0004,0.0000,10.8950,0.0001,200,39.4413
10.8972,0.0007,0.0004,0.0000,10.8964,0.0001,200,41.6258
10.9150,0.0007,0.0004,0.0001,10.9141,0.0001,200,43.7965
10.9265,0.0007,0.0004,0.0000,10.9256,0.0001,200,45.9685
10.9296,0.0007,0.0003,0.0000,10.9285,0.0003,200,48.1437
10.9295,0.0006,0.0003,0.0000,10.9287,0.0001,200,50.3372
10.9265,0.0007,0.0004,0.0000,10.9257,0.0001,200,52.5230
10.9158,0.0006,0.0003,0.0000,10.9150,0.0001,200,54.7115
10.9047,0.0007,0.0003,0.0000,10.9039,0.0001,200,56.8950
10.8960,0.0006,0.0003,0.0000,10.8952,0.0001,200,59.0732
