response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0301,0.0010,0.0005,0.0000,0.0288,0.0001,200,0.0029
0.0700,0.0006,0.0003,0.0000,0.0692,0.0001,200,0.0330
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,0.1030
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,0.1749
0.0720,0.0005,0.0002,0.0000,0.0713,0.0001,200,0.2469
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,0.3189
0.0720,0.0007,0.0003,0.0000,0.0712,0.0001,200,0.3910
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,0.4630
0.0720,0.0005,0.0002,0.0000,0.0713,0.0001,200,0.5349
0.0720,0.0005,0.0002,0.0000,0.0713,0.0001,200,0.6069
0.0719,0.0006,0.0003,0.0000,0.0713,0.0001,200,0.6789
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,0.7508
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,0.8230
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,0.8950
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,0.9669
0.0720,0.0005,0.0002,0.0000,0.0713,0.0001,200,1.0389
0.0721,0.0006,0.0003,0.0000,0.0714,0.0001,200,1.1109
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,1.1830
0.0720,0.0005,0.0002,0.0000,0.0713,0.0001,200,1.2549
0.0720,0.0006,0.0003,0.0001,0.0713,0.0001,200,1.3269
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,1.3989
0.0722,0.0005,0.0002,0.0000,0.0715,0.0001,200,1.4709
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,1.5431
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,1.6151
0.0719,0.0006,0.0002,0.0000,0.0712,0.0001,200,1.6870
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,1.7589
0.0719,0.0007,0.0003,0.0000,0.0712,0.0001,200,1.8310
0.0723,0.0006,0.0003,0.0001,0.0715,0.0001,200,1.9029
0.0718,0.0006,0.0003,0.0000,0.0709,0.0001,200,1.9752
0.0719,0.0006,0.0003,0.0001,0.0711,0.0001,200,2.0470
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,2.1189
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,2.1910
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,2.2629
0.0721,0.0007,0.0004,0.0000,0.0713,0.0001,200,2.3349
0.0720,0.0007,0.0004,0.0000,0.0711,0.0001,200,2.4069
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,2.4789
0.0720,0.0006,0.0003,0.0001,0.0712,0.0001,200,2.5509
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,2.6230
0.0720,0.0006,0.0004,0.0000,0.0712,0.0001,200,2.6949
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,2.7669
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,2.8389
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,2.9109
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,2.9829
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,3.0549
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,3.1270
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,3.1990
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,3.2709
0.0722,0.0006,0.0003,0.0000,0.0715,0.0001,200,3.3429
0.0720,0.0007,0.0003,0.0006,0.0707,0.0001,200,3.4151
0.0719,0.0008,0.0004,0.0001,0.0709,0.0001,200,3.4872
0.0719,0.0007,0.0003,0.0000,0.0711,0.0001,200,3.5590
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,3.6310
0.0721,0.0007,0.0003,0.0001,0.0713,0.0001,200,3.7029
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,3.7750
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,3.8469
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,3.9189
0.0721,0.0012,0.0009,0.0000,0.0708,0.0001,200,3.9909
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,4.0630
0.0720,0.0005,0.0003,0.0000,0.0714,0.0001,200,4.1349
0.0722,0.0006,0.0003,0.0000,0.0714,0.0001,200,4.2069
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,4.2792
0.0719,0.0007,0.0003,0.0000,0.0711,0.0001,200,4.3510
0.0720,0.0008,0.0004,0.0001,0.0710,0.0001,200,4.4229
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,4.4950
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,4.5670
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,4.6389
0.0722,0.0006,0.0003,0.0001,0.0715,0.0001,200,4.7109
0.0718,0.0007,0.0004,0.0000,0.0709,0.0001,200,4.7832
0.0720,0.0007,0.0004,0.0000,0.0711,0.0001,200,4.8550
0.0720,0.0006,0.0003,0.0001,0.0712,0.0001,200,4.9269
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,4.9989
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,5.0709
0.0719,0.0007,0.0004,0.0000,0.0711,0.0001,200,5.1430
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,5.2149
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,5.2869
0.0720,0.0007,0.0004,0.0000,0.0712,0.0001,200,5.3589
0.0723,0.0006,0.0003,0.0001,0.0715,0.0001,200,5.4309
0.0718,0.0007,0.0003,0.0001,0.0710,0.0001,200,5.5032
0.0719,0.0007,0.0004,0.0000,0.0710,0.0001,200,5.5751
0.0720,0.0007,0.0003,0.0000,0.0712,0.0001,200,5.6469
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,5.7189
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,5.7909
0.0720,0.0007,0.0004,0.0001,0.0711,0.0001,200,5.8630
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,5.9349
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.0070
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,6.0789
0.0720,0.0007,0.0003,0.0000,0.0712,0.0001,200,6.1509
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.2230
0.0722,0.0006,0.0003,0.0000,0.0714,0.0001,200,6.2949
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,6.3671
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.4390
0.0720,0.0006,0.0003,0.0001,0.0712,0.0001,200,6.5110
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.5830
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.6549
0.0720,0.0006,0.0003,0.0000,0.0714,0.0001,200,6.7269
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,6.7989
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,6.8709
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,6.9429
0.0725,0.0006,0.0003,0.0000,0.0717,0.0001,200,7.0149
0.0717,0.0008,0.0004,0.0000,0.0707,0.0001,200,7.0874
0.0718,0.0006,0.0003,0.0000,0.0711,0.0001,200,7.1591
0.0721,0.0006,0.0002,0.0000,0.0714,0.0001,200,7.2309
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,7.3030
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,7.3749
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,7.4470
0.0719,0.0005,0.0002,0.0000,0.0713,0.0001,200,7.5190
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,7.5909
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,7.6629
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,7.7349
0.0723,0.0006,0.0003,0.0000,0.0716,0.0001,200,7.8069
0.0720,0.0008,0.0004,0.0000,0.0710,0.0001,200,7.8792
0.0719,0.0008,0.0004,0.0000,0.0710,0.0001,200,7.9512
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,8.0231
0.0719,0.0007,0.0004,0.0000,0.0712,0.0001,200,8.0950
0.0719,0.0006,0.0003,0.0000,0.0713,0.0001,200,8.1669
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,8.2389
0.0719,0.0005,0.0003,0.0000,0.0712,0.0001,200,8.3109
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,8.3828
0.0721,0.0005,0.0002,0.0000,0.0715,0.0001,200,8.4548
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,8.5270
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,8.5989
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,8.6709
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,8.7428
0.0760,0.0006,0.0003,0.0000,0.0753,0.0001,200,8.8149
0.0721,0.0005,0.0002,0.0000,0.0714,0.0001,200,8.8908
0.0721,0.0006,0.0003,0.0000,0.0713,0.0001,200,8.9629
0.0719,0.0006,0.0003,0.0000,0.0711,0.0001,200,9.0350
0.0721,0.0005,0.0003,0.0000,0.0714,0.0001,200,9.1069
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,9.1789
0.0719,0.0006,0.0003,0.0000,0.0713,0.0001,200,9.2509
0.0722,0.0005,0.0002,0.0000,0.0715,0.0001,200,9.3229
0.0718,0.0007,0.0003,0.0000,0.0710,0.0001,200,9.3951
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,9.4669
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,9.5389
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,9.6109
0.0720,0.0005,0.0002,0.0000,0.0714,0.0001,200,9.6829
0.0721,0.0005,0.0002,0.0000,0.0715,0.0001,200,9.7549
0.0722,0.0011,0.0008,0.0000,0.0709,0.0001,200,9.8270
0.0718,0.0009,0.0005,0.0000,0.0708,0.0001,200,9.8992
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,9.9710
0.0719,0.0007,0.0004,0.0000,0.0711,0.0001,200,10.0431
0.0720,0.0007,0.0004,0.0001,0.0712,0.0001,200,10.1150
0.0719,0.0007,0.0003,0.0000,0.0711,0.0001,200,10.1870
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,10.2589
0.0720,0.0007,0.0004,0.0000,0.0712,0.0001,200,10.3309
0.0721,0.0006,0.0003,0.0000,0.0714,0.0001,200,10.4029
0.0720,0.0006,0.0003,0.0001,0.0712,0.0001,200,10.4750
0.0719,0.0006,0.0003,0.0000,0.0712,0.0001,200,10.5470
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,10.6189
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,10.6909
0.0721,0.0006,0.0003,0.0000,0.0714,0.0001,200,10.7629
0.0720,0.0006,0.0003,0.0001,0.0712,0.0001,200,10.8350
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,10.9070
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,10.9789
0.0720,0.0006,0.0003,0.0000,0.0713,0.0001,200,11.0510
0.0720,0.0007,0.0003,0.0000,0.0712,0.0001,200,11.1230
0.0719,0.0006,0.0003,0.0001,0.0711,0.0001,200,11.1950
0.0720,0.0006,0.0003,0.0000,0.0712,0.0001,200,11.2669
0.0720,0.0007,0.0003,0.0000,0.0712,0.0001,200,11.3389
0.0720,0.0006,0.0003,0.0001,0.0713,0.0001,200,11.4109
