response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0297,0.0008,0.0003,0.0001,0.0286,0.0001,200,0.2049
0.0569,0.0016,0.0009,0.0001,0.0550,0.0001,200,0.2042
0.0833,0.0015,0.0009,0.0001,0.0815,0.0001,200,0.2043
0.1099,0.0015,0.0005,0.0001,0.1083,0.0001,200,0.2044
0.1360,0.0010,0.0005,0.0001,0.1348,0.0001,200,0.2048
0.0289,0.0007,0.0003,0.0000,0.0280,0.0001,200,0.4043
0.0556,0.0010,0.0004,0.0001,0.0543,0.0001,200,0.4042
0.0820,0.0009,0.0004,0.0001,0.0809,0.0001,200,0.4043
0.1085,0.0009,0.0004,0.0001,0.1074,0.0001,200,0.4043
0.1352,0.0009,0.0005,0.0001,0.1341,0.0001,200,0.4042
0.0291,0.0008,0.0002,0.0001,0.0281,0.0001,200,0.6043
0.0558,0.0009,0.0004,0.0001,0.0547,0.0001,200,0.6042
0.0822,0.0007,0.0005,0.0001,0.0813,0.0001,200,0.6043
0.1088,0.0008,0.0004,0.0001,0.1079,0.0001,200,0.6043
0.1355,0.0009,0.0004,0.0001,0.1344,0.0001,200,0.6042
0.0289,0.0007,0.0002,0.0000,0.0280,0.0001,200,0.8043
0.0556,0.0009,0.0003,0.0001,0.0544,0.0001,200,0.8042
0.0821,0.0009,0.0004,0.0001,0.0810,0.0001,200,0.8043
0.1087,0.0009,0.0004,0.0001,0.1076,0.0001,200,0.8042
0.1352,0.0008,0.0004,0.0001,0.1342,0.0001,200,0.8043
0.0289,0.0007,0.0002,0.0001,0.0281,0.0001,200,1.0043
0.0556,0.0009,0.0004,0.0001,0.0545,0.0001,200,1.0043
0.0822,0.0010,0.0004,0.0001,0.0810,0.0001,200,1.0042
0.1087,0.0009,0.0004,0.0001,0.1076,0.0001,200,1.0043
0.1353,0.0009,0.0005,0.0001,0.1342,0.0000,200,1.0042
0.0289,0.0006,0.0003,0.0001,0.0281,0.0001,200,1.2043
0.0553,0.0008,0.0001,0.0000,0.0544,0.0001,200,1.2044
0.0821,0.0008,0.0003,0.0001,0.0811,0.0000,200,1.2042
0.1085,0.0007,0.0003,0.0001,0.1076,0.0001,200,1.2043
0.1351,0.0007,0.0003,0.0000,0.1342,0.0001,200,1.2044
0.0290,0.0008,0.0004,0.0001,0.0281,0.0001,200,1.4043
0.0609,0.0008,0.0002,0.0001,0.0599,0.0001,200,1.4044
0.0874,0.0008,0.0003,0.0001,0.0865,0.0001,200,1.4043
0.1142,0.0009,0.0004,0.0001,0.1131,0.0001,200,1.4042
0.1405,0.0009,0.0003,0.0001,0.1395,0.0001,200,1.4042
0.0292,0.0009,0.0003,0.0000,0.0283,0.0000,200,1.6042
0.0559,0.0010,0.0003,0.0001,0.0547,0.0001,200,1.6042
0.0823,0.0009,0.0002,0.0001,0.0813,0.0001,200,1.6044
0.1088,0.0009,0.0004,0.0001,0.1078,0.0000,200,1.6043
0.1355,0.0009,0.0003,0.0001,0.1344,0.0001,200,1.6042
0.0296,0.0007,0.0002,0.0000,0.0288,0.0001,200,1.8043
