response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0072,0.0015,0.0010,0.0001,0.0054,0.0001,200,0.2075
0.0098,0.0014,0.0008,0.0001,0.0083,0.0001,200,0.2077
0.0127,0.0016,0.0009,0.0000,0.0109,0.0001,200,0.2075
0.0151,0.0015,0.0009,0.0001,0.0135,0.0001,200,0.2077
0.0178,0.0015,0.0009,0.0001,0.0161,0.0000,200,0.2076
0.0046,0.0010,0.0004,0.0001,0.0035,0.0001,200,0.4076
0.0073,0.0010,0.0004,0.0001,0.0061,0.0001,200,0.4076
0.0099,0.0011,0.0004,0.0001,0.0086,0.0000,200,0.4075
0.0125,0.0010,0.0003,0.0000,0.0114,0.0000,200,0.4075
0.0150,0.0012,0.0003,0.0000,0.0137,0.0001,200,0.4076
0.0043,0.0009,0.0002,0.0000,0.0033,0.0001,200,0.6075
0.0069,0.0009,0.0003,0.0001,0.0059,0.0001,200,0.6076
0.0093,0.0008,0.0003,0.0001,0.0084,0.0001,200,0.6076
0.0118,0.0009,0.0003,0.0001,0.0108,0.0000,200,0.6076
0.0145,0.0009,0.0005,0.0001,0.0134,0.0001,200,0.6075
0.0042,0.0009,0.0003,0.0001,0.0032,0.0001,200,0.8075
0.0068,0.0010,0.0003,0.0001,0.0057,0.0001,200,0.8076
0.0095,0.0011,0.0003,0.0001,0.0083,0.0001,200,0.8076
0.0119,0.0011,0.0003,0.0000,0.0108,0.0000,200,0.8076
0.0145,0.0010,0.0004,0.0000,0.0134,0.0000,200,0.8075
0.0043,0.0009,0.0004,0.0000,0.0033,0.0001,200,1.0076
0.0071,0.0010,0.0004,0.0001,0.0059,0.0000,200,1.0075
0.0096,0.0010,0.0004,0.0001,0.0085,0.0001,200,1.0075
0.0120,0.0009,0.0004,0.0001,0.0110,0.0000,200,1.0076
0.0145,0.0009,0.0002,0.0001,0.0134,0.0000,200,1.0076
0.0042,0.0009,0.0004,0.0001,0.0032,0.0001,200,1.2075
0.0070,0.0010,0.0003,0.0001,0.0058,0.0001,200,1.2075
0.0097,0.0009,0.0004,0.0001,0.0085,0.0001,200,1.2075
0.0121,0.0009,0.0002,0.0001,0.0110,0.0000,200,1.2076
0.0146,0.0008,0.0004,0.0001,0.0136,0.0000,200,1.2076
0.0042,0.0009,0.0004,0.0001,0.0032,0.0001,200,1.4075
0.0069,0.0009,0.0003,0.0001,0.0059,0.0001,200,1.4075
0.0095,0.0008,0.0003,0.0001,0.0085,0.0000,200,1.4075
0.0120,0.0008,0.0003,0.0001,0.0111,0.0001,200,1.4076
0.0146,0.0008,0.0002,0.0001,0.0136,0.0001,200,1.4076
0.0045,0.0009,0.0004,0.0001,0.0033,0.0001,200,1.6075
0.0070,0.0010,0.0004,0.0001,0.0058,0.0001,200,1.6075
0.0098,0.0011,0.0003,0.0001,0.0086,0.0000,200,1.6075
0.0123,0.0010,0.0002,0.0001,0.0112,0.0000,200,1.6076
0.0148,0.0009,0.0003,0.0001,0.0138,0.0001,200,1.6075
0.0045,0.0010,0.0005,0.0001,0.0034,0.0001,200,1.8076
0.0073,0.0011,0.0004,0.0001,0.0061,0.0000,200,1.8075
0.0098,0.0010,0.0004,0.0001,0.0086,0.0001,200,1.8076
0.0123,0.0010,0.0005,0.0001,0.0113,0.0000,200,1.8076
0.0149,0.0011,0.0005,0.0001,0.0137,0.0001,200,1.8075
0.0044,0.0009,0.0003,0.0001,0.0034,0.0001,200,2.0075
0.0070,0.0009,0.0002,0.0001,0.0060,0.0001,200,2.0076
0.0096,0.0009,0.0004,0.0002,0.0084,0.0001,200,2.0075
0.0121,0.0008,0.0003,0.0001,0.0111,0.0000,200,2.0076
0.0146,0.0009,0.0003,0.0001,0.0135,0.0001,200,2.0075
0.0045,0.0008,0.0003,0.0000,0.0036,0.0001,200,2.2076
0.0073,0.0010,0.0003,0.0001,0.0062,0.0001,200,2.2075
0.0098,0.0010,0.0004,0.0001,0.0087,0.0001,200,2.2075
0.0125,0.0011,0.0003,0.0000,0.0112,0.0001,200,2.2075
0.0148,0.0010,0.0003,0.0006,0.0132,0.0000,200,2.2076
0.0043,0.0008,0.0003,0.0001,0.0033,0.0001,200,2.4076
0.0070,0.0010,0.0003,0.0001,0.0059,0.0000,200,2.4075
0.0097,0.0009,0.0003,0.0001,0.0087,0.0001,200,2.4075
0.0122,0.0009,0.0004,0.0002,0.0111,0.0001,200,2.4075
0.0148,0.0009,0.0002,0.0001,0.0138,0.0000,200,2.4076
0.0047,0.0010,0.0003,0.0002,0.0034,0.0001,200,2.6075
0.0073,0.0012,0.0004,0.0000,0.0060,0.0001,200,2.6075
0.0099,0.0009,0.0004,0.0001,0.0088,0.0000,200,2.6076
0.0124,0.0013,0.0002,0.0000,0.0110,0.0001,200,2.6076
0.0149,0.0010,0.0003,0.0001,0.0137,0.0001,200,2.6076
0.0044,0.0009,0.0003,0.0000,0.0034,0.0001,200,2.8076
0.0072,0.0011,0.0004,0.0001,0.0060,0.0000,200,2.8075
0.0097,0.0011,0.0004,0.0001,0.0084,0.0001,200,2.8075
0.0124,0.0011,0.0003,0.0000,0.0112,0.0001,200,2.8075
0.0148,0.0009,0.0004,0.0001,0.0137,0.0000,200,2.8076
0.0044,0.0008,0.0003,0.0001,0.0034,0.0001,200,3.0076
0.0072,0.0010,0.0003,0.0001,0.0060,0.0001,200,3.0075
0.0098,0.0009,0.0003,0.0001,0.0087,0.0001,200,3.0076
0.0123,0.0009,0.0004,0.0001,0.0112,0.0000,200,3.0075
0.0147,0.0008,0.0002,0.0001,0.0137,0.0000,200,3.0076
0.0044,0.0009,0.0003,0.0001,0.0034,0.0001,200,3.2075
0.0070,0.0010,0.0004,0.0000,0.0060,0.0000,200,3.2075
0.0095,0.0009,0.0004,0.0000,0.0085,0.0001,200,3.2076
0.0122,0.0008,0.0003,0.0001,0.0112,0.0000,200,3.2075
0.0146,0.0010,0.0002,0.0000,0.0136,0.0000,200,3.2076
0.0046,0.0009,0.0004,0.0001,0.0034,0.0001,200,3.4075
0.0071,0.0009,0.0002,0.0001,0.0060,0.0001,200,3.4076
0.0098,0.0009,0.0003,0.0001,0.0088,0.0001,200,3.4075
0.0123,0.0009,0.0003,0.0002,0.0112,0.0000,200,3.4075
0.0174,0.0010,0.0004,0.0001,0.0162,0.0001,200,3.4074
0.0046,0.0009,0.0004,0.0001,0.0036,0.0001,200,3.6076
0.0076,0.0009,0.0004,0.0001,0.0065,0.0000,200,3.6075
0.0129,0.0010,0.0003,0.0001,0.0117,0.0001,200,3.6075
0.0131,0.0010,0.0003,0.0000,0.0120,0.0000,200,3.6075
0.0171,0.0008,0.0003,0.0001,0.0161,0.0001,200,3.6076
0.0045,0.0010,0.0004,0.0001,0.0033,0.0001,200,3.8076
0.0072,0.0011,0.0004,0.0001,0.0059,0.0001,200,3.8075
0.0097,0.0010,0.0004,0.0001,0.0086,0.0001,200,3.8076
0.0123,0.0008,0.0003,0.0000,0.0112,0.0000,200,3.8075
0.0147,0.0010,0.0004,0.0001,0.0136,0.0000,200,3.8076
0.0045,0.0010,0.0003,0.0001,0.0033,0.0001,200,4.0075
0.0070,0.0009,0.0002,0.0001,0.0060,0.0001,200,4.0076
0.0097,0.0009,0.0003,0.0001,0.0087,0.0000,200,4.0076
0.0121,0.0008,0.0003,0.0001,0.0112,0.0000,200,4.0076
0.0148,0.0010,0.0004,0.0001,0.0137,0.0001,200,4.0075
0.0043,0.0008,0.0003,0.0001,0.0033,0.0001,200,4.2075
0.0069,0.0009,0.0003,0.0001,0.0059,0.0000,200,4.2075
0.0097,0.0010,0.0003,0.0001,0.0086,0.0001,200,4.2075
0.0122,0.0010,0.0003,0.0001,0.0111,0.0001,200,4.2076
0.0147,0.0010,0.0004,0.0002,0.0136,0.0000,200,4.2075
0.0046,0.0009,0.0004,0.0001,0.0035,0.0001,200,4.4076
0.0073,0.0010,0.0004,0.0001,0.0061,0.0001,200,4.4076
0.0099,0.0011,0.0004,0.0000,0.0086,0.0001,200,4.4075
0.0123,0.0009,0.0003,0.0001,0.0113,0.0000,200,4.4076
0.0149,0.0011,0.0004,0.0001,0.0137,0.0000,200,4.4075
0.0045,0.0009,0.0004,0.0001,0.0034,0.0001,200,4.6075
0.0070,0.0009,0.0003,0.0001,0.0060,0.0001,200,4.6076
0.0096,0.0010,0.0004,0.0001,0.0085,0.0000,200,4.6075
0.0121,0.0008,0.0002,0.0000,0.0112,0.0000,200,4.6076
0.0146,0.0009,0.0003,0.0001,0.0136,0.0000,200,4.6075
0.0045,0.0009,0.0002,0.0001,0.0034,0.0001,200,4.8076
0.0071,0.0009,0.0003,0.0001,0.0060,0.0001,200,4.8076
0.0099,0.0009,0.0003,0.0001,0.0088,0.0001,200,4.8075
0.0128,0.0010,0.0004,0.0001,0.0116,0.0001,200,4.8075
0.0153,0.0010,0.0003,0.0001,0.0141,0.0001,200,4.8075
0.0048,0.0011,0.0005,0.0001,0.0035,0.0001,200,5.0076
0.0074,0.0012,0.0003,0.0001,0.0061,0.0001,200,5.0076
0.0102,0.0012,0.0005,0.0001,0.0087,0.0001,200,5.0075
0.0127,0.0011,0.0005,0.0001,0.0116,0.0000,200,5.0076
0.0153,0.0012,0.0004,0.0001,0.0139,0.0001,200,5.0075
0.0045,0.0008,0.0003,0.0001,0.0036,0.0001,200,5.2076
0.0073,0.0011,0.0004,0.0001,0.0061,0.0001,200,5.2075
0.0098,0.0011,0.0004,0.0001,0.0086,0.0001,200,5.2076
0.0123,0.0009,0.0004,0.0001,0.0113,0.0000,200,5.2076
0.0149,0.0011,0.0003,0.0001,0.0137,0.0000,200,5.2075
0.0044,0.0010,0.0004,0.0001,0.0032,0.0001,200,5.4075
0.0070,0.0009,0.0002,0.0001,0.0059,0.0001,200,5.4076
0.0096,0.0009,0.0003,0.0001,0.0086,0.0001,200,5.4076
0.0121,0.0009,0.0003,0.0001,0.0110,0.0001,200,5.4076
0.0147,0.0010,0.0003,0.0001,0.0135,0.0001,200,5.4075
0.0047,0.0011,0.0004,0.0001,0.0034,0.0001,200,5.6074
0.0074,0.0008,0.0003,0.0000,0.0065,0.0001,200,5.6076
0.0132,0.0011,0.0004,0.0001,0.0120,0.0001,200,5.6075
0.0161,0.0011,0.0004,0.0001,0.0148,0.0001,200,5.6075
0.0185,0.0009,0.0004,0.0001,0.0174,0.0000,200,5.6075
0.0046,0.0010,0.0003,0.0001,0.0035,0.0000,200,5.8075
0.0071,0.0008,0.0003,0.0001,0.0061,0.0001,200,5.8076
0.0097,0.0009,0.0003,0.0001,0.0087,0.0001,200,5.8076
0.0123,0.0010,0.0004,0.0001,0.0112,0.0000,200,5.8075
0.0147,0.0009,0.0003,0.0001,0.0137,0.0000,200,5.8076
0.0046,0.0007,0.0002,0.0001,0.0037,0.0001,200,6.0076
0.0073,0.0009,0.0003,0.0001,0.0062,0.0001,200,6.0076
0.0099,0.0009,0.0004,0.0001,0.0088,0.0001,200,6.0075
0.0124,0.0011,0.0003,0.0000,0.0112,0.0000,200,6.0075
0.0149,0.0009,0.0003,0.0001,0.0139,0.0001,200,6.0076
0.0051,0.0011,0.0004,0.0000,0.0038,0.0001,200,6.2075
0.0078,0.0009,0.0004,0.0001,0.0067,0.0000,200,6.2076
0.0106,0.0010,0.0003,0.0001,0.0094,0.0000,200,6.2075
0.0132,0.0010,0.0003,0.0001,0.0121,0.0000,200,6.2075
0.0156,0.0010,0.0004,0.0001,0.0145,0.0000,200,6.2076
0.0043,0.0009,0.0003,0.0001,0.0032,0.0001,200,6.4075
0.0069,0.0009,0.0003,0.0001,0.0059,0.0001,200,6.4075
0.0097,0.0009,0.0004,0.0001,0.0086,0.0001,200,6.4075
0.0120,0.0009,0.0002,0.0001,0.0110,0.0001,200,6.4076
0.0146,0.0009,0.0003,0.0001,0.0136,0.0001,200,6.4075
0.0048,0.0011,0.0003,0.0001,0.0035,0.0001,200,6.6075
0.0076,0.0011,0.0003,0.0001,0.0063,0.0001,200,6.6075
0.0100,0.0011,0.0003,0.0001,0.0088,0.0000,200,6.6075
0.0125,0.0009,0.0003,0.0001,0.0115,0.0001,200,6.6076
0.0150,0.0010,0.0004,0.0001,0.0138,0.0001,200,6.6076
0.0050,0.0014,0.0009,0.0001,0.0034,0.0001,200,6.8076
0.0079,0.0015,0.0009,0.0001,0.0062,0.0001,200,6.8075
0.0103,0.0015,0.0008,0.0001,0.0086,0.0000,200,6.8075
0.0128,0.0014,0.0008,0.0001,0.0111,0.0001,200,6.8076
0.0153,0.0015,0.0009,0.0001,0.0137,0.0000,200,6.8075
0.0047,0.0010,0.0004,0.0001,0.0035,0.0001,200,7.0076
0.0074,0.0012,0.0003,0.0000,0.0061,0.0001,200,7.0075
0.0101,0.0011,0.0003,0.0001,0.0089,0.0001,200,7.0076
0.0127,0.0011,0.0004,0.0001,0.0114,0.0001,200,7.0075
0.0150,0.0010,0.0004,0.0000,0.0139,0.0000,200,7.0075
0.0043,0.0007,0.0003,0.0001,0.0034,0.0001,200,7.2076
0.0070,0.0009,0.0003,0.0001,0.0060,0.0001,200,7.2075
0.0096,0.0009,0.0004,0.0001,0.0086,0.0001,200,7.2075
0.0122,0.0009,0.0003,0.0001,0.0112,0.0001,200,7.2075
0.0147,0.0009,0.0004,0.0001,0.0136,0.0001,200,7.2075
0.0072,0.0037,0.0004,0.0000,0.0034,0.0000,200,7.4075
0.0099,0.0037,0.0004,0.0001,0.0061,0.0001,200,7.4076
0.0126,0.0039,0.0005,0.0000,0.0086,0.0000,200,7.4074
0.0149,0.0037,0.0003,0.0000,0.0111,0.0001,200,7.4076
0.0174,0.0037,0.0004,0.0001,0.0136,0.0000,200,7.4076
0.0044,0.0010,0.0004,0.0001,0.0033,0.0001,200,7.6075
0.0071,0.0010,0.0004,0.0001,0.0059,0.0001,200,7.6075
0.0097,0.0010,0.0003,0.0001,0.0085,0.0001,200,7.6076
0.0123,0.0009,0.0003,0.0000,0.0113,0.0000,200,7.6075
0.0148,0.0011,0.0004,0.0001,0.0136,0.0000,200,7.6075
0.0045,0.0008,0.0004,0.0001,0.0035,0.0001,200,7.8075
0.0072,0.0009,0.0003,0.0000,0.0061,0.0001,200,7.8075
0.0098,0.0009,0.0003,0.0000,0.0088,0.0000,200,7.8075
0.0123,0.0008,0.0003,0.0001,0.0114,0.0001,200,7.8076
0.0148,0.0009,0.0004,0.0001,0.0137,0.0000,200,7.8075
0.0043,0.0008,0.0004,0.0001,0.0033,0.0001,200,8.0075
0.0070,0.0008,0.0003,0.0000,0.0061,0.0000,200,8.0075
0.0096,0.0008,0.0003,0.0001,0.0086,0.0001,200,8.0076
0.0120,0.0008,0.0003,0.0001,0.0111,0.0000,200,8.0076
0.0146,0.0008,0.0002,0.0000,0.0137,0.0001,200,8.0075
0.0045,0.0008,0.0003,0.0000,0.0036,0.0001,200,8.2075
0.0069,0.0009,0.0003,0.0001,0.0059,0.0000,200,8.2075
0.0098,0.0009,0.0004,0.0001,0.0087,0.0001,200,8.2075
0.0122,0.0009,0.0003,0.0001,0.0112,0.0000,200,8.2076
0.0148,0.0009,0.0004,0.0001,0.0137,0.0000,200,8.2075
0.0044,0.0009,0.0003,0.0001,0.0034,0.0000,200,8.4075
0.0069,0.0008,0.0003,0.0002,0.0059,0.0001,200,8.4075
0.0097,0.0009,0.0003,0.0000,0.0087,0.0000,200,8.4075
0.0123,0.0009,0.0004,0.0000,0.0112,0.0001,200,8.4075
0.0147,0.0008,0.0003,0.0000,0.0138,0.0000,200,8.4075
0.0045,0.0009,0.0004,0.0001,0.0034,0.0000,200,8.6074
0.0071,0.0010,0.0004,0.0000,0.0061,0.0001,200,8.6075
0.0097,0.0009,0.0003,0.0001,0.0087,0.0000,200,8.6076
0.0123,0.0009,0.0003,0.0000,0.0112,0.0001,200,8.6075
0.0146,0.0008,0.0003,0.0001,0.0138,0.0000,200,8.6076
0.0046,0.0008,0.0003,0.0001,0.0036,0.0001,200,8.8075
0.0073,0.0009,0.0004,0.0001,0.0062,0.0001,200,8.8074
0.0097,0.0009,0.0002,0.0001,0.0087,0.0001,200,8.8076
0.0123,0.0010,0.0003,0.0001,0.0112,0.0001,200,8.8075
0.0148,0.0008,0.0003,0.0001,0.0138,0.0000,200,8.8075
0.0045,0.0008,0.0003,0.0001,0.0035,0.0001,200,9.0075
0.0072,0.0009,0.0004,0.0001,0.0060,0.0001,200,9.0075
0.0097,0.0008,0.0003,0.0001,0.0087,0.0001,200,9.0076
0.0122,0.0009,0.0003,0.0001,0.0112,0.0000,200,9.0075
0.0147,0.0008,0.0003,0.0001,0.0137,0.0001,200,9.0076
0.0045,0.0008,0.0004,0.0001,0.0035,0.0001,200,9.2075
0.0072,0.0008,0.0004,0.0001,0.0063,0.0000,200,9.2075
0.0098,0.0009,0.0004,0.0001,0.0087,0.0000,200,9.2075
0.0124,0.0009,0.0003,0.0000,0.0113,0.0001,200,9.2075
0.0149,0.0009,0.0002,0.0001,0.0138,0.0001,200,9.2076
0.0047,0.0011,0.0004,0.0001,0.0033,0.0001,200,9.4075
0.0073,0.0010,0.0004,0.0001,0.0061,0.0001,200,9.4075
0.0098,0.0009,0.0004,0.0001,0.0087,0.0000,200,9.4076
0.0125,0.0011,0.0005,0.0001,0.0112,0.0001,200,9.4075
0.0148,0.0008,0.0003,0.0000,0.0139,0.0001,200,9.4076
0.0046,0.0008,0.0003,0.0001,0.0036,0.0001,200,9.6075
0.0072,0.0009,0.0003,0.0001,0.0061,0.0000,200,9.6075
0.0098,0.0008,0.0003,0.0001,0.0089,0.0001,200,9.6076
0.0122,0.0009,0.0003,0.0001,0.0113,0.0000,200,9.6076
0.0149,0.0009,0.0003,0.0000,0.0138,0.0001,200,9.6075
0.0047,0.0011,0.0004,0.0001,0.0034,0.0001,200,9.8075
0.0073,0.0011,0.0004,0.0001,0.0061,0.0001,200,9.8076
0.0099,0.0010,0.0004,0.0000,0.0088,0.0001,200,9.8075
0.0123,0.0010,0.0005,0.0000,0.0112,0.0000,200,9.8076
0.0149,0.0012,0.0005,0.0001,0.0136,0.0001,200,9.8075
0.0046,0.0009,0.0004,0.0001,0.0035,0.0001,200,10.0075
0.0072,0.0009,0.0004,0.0001,0.0061,0.0001,200,10.0075
0.0096,0.0008,0.0004,0.0001,0.0086,0.0001,200,10.0076
0.0123,0.0009,0.0004,0.0000,0.0113,0.0001,200,10.0075
0.0146,0.0009,0.0003,0.0001,0.0136,0.0000,200,10.0076
0.0044,0.0009,0.0003,0.0001,0.0033,0.0001,200,10.2075
0.0070,0.0009,0.0004,0.0001,0.0059,0.0001,200,10.2075
0.0096,0.0009,0.0004,0.0001,0.0086,0.0001,200,10.2075
0.0122,0.0010,0.0004,0.0001,0.0111,0.0000,200,10.2075
0.0147,0.0010,0.0003,0.0001,0.0135,0.0001,200,10.2075
0.0045,0.0009,0.0003,0.0001,0.0035,0.0001,200,10.4076
0.0072,0.0010,0.0003,0.0001,0.0061,0.0001,200,10.4075
0.0096,0.0009,0.0003,0.0001,0.0086,0.0000,200,10.4076
0.0124,0.0009,0.0004,0.0001,0.0113,0.0001,200,10.4075
0.0148,0.0009,0.0003,0.0001,0.0137,0.0000,200,10.4076
0.0047,0.0010,0.0005,0.0001,0.0035,0.0001,200,10.6075
0.0071,0.0010,0.0003,0.0001,0.0060,0.0001,200,10.6076
0.0098,0.0010,0.0004,0.0001,0.0087,0.0000,200,10.6075
0.0123,0.0009,0.0004,0.0001,0.0113,0.0001,200,10.6075
0.0149,0.0010,0.0004,0.0001,0.0137,0.0000,200,10.6075
0.0047,0.0009,0.0003,0.0000,0.0036,0.0001,200,10.8075
0.0074,0.0009,0.0003,0.0001,0.0063,0.0001,200,10.8075
0.0100,0.0010,0.0004,0.0000,0.0088,0.0001,200,10.8075
0.0124,0.0010,0.0004,0.0002,0.0112,0.0001,200,10.8076
0.0149,0.0011,0.0004,0.0002,0.0137,0.0000,200,10.8076
0.0046,0.0008,0.0002,0.0000,0.0036,0.0001,200,11.0075
0.0071,0.0009,0.0003,0.0001,0.0060,0.0001,200,11.0076
0.0097,0.0008,0.0004,0.0001,0.0087,0.0001,200,11.0076
0.0123,0.0010,0.0004,0.0001,0.0112,0.0001,200,11.0075
0.0147,0.0009,0.0003,0.0000,0.0137,0.0000,200,11.0075
0.0043,0.0008,0.0004,0.0001,0.0033,0.0001,200,11.2075
0.0070,0.0009,0.0004,0.0001,0.0059,0.0000,200,11.2075
0.0097,0.0009,0.0003,0.0001,0.0086,0.0001,200,11.2076
0.0122,0.0011,0.0003,0.0000,0.0110,0.0001,200,11.2075
0.0147,0.0009,0.0004,0.0001,0.0136,0.0001,200,11.2075
0.0046,0.0009,0.0004,0.0000,0.0035,0.0001,200,11.4076
0.0072,0.0009,0.0003,0.0000,0.0062,0.0001,200,11.4075
0.0100,0.0012,0.0005,0.0000,0.0087,0.0001,200,11.4074
0.0123,0.0010,0.0003,0.0000,0.0113,0.0001,200,11.4076
0.0148,0.0010,0.0003,0.0001,0.0137,0.0000,200,11.4076
0.0044,0.0009,0.0002,0.0001,0.0034,0.0001,200,11.6076
0.0071,0.0010,0.0003,0.0001,0.0060,0.0000,200,11.6075
0.0097,0.0008,0.0004,0.0001,0.0087,0.0001,200,11.6075
0.0122,0.0008,0.0003,0.0001,0.0113,0.0001,200,11.6075
0.0148,0.0009,0.0004,0.0001,0.0137,0.0000,200,11.6075
0.0048,0.0010,0.0004,0.0002,0.0035,0.0001,200,11.8076
0.0087,0.0010,0.0003,0.0006,0.0071,0.0001,200,11.8075
0.0112,0.0010,0.0003,0.0003,0.0098,0.0001,200,11.8076
0.0137,0.0010,0.0004,0.0002,0.0124,0.0001,200,11.8075
0.0161,0.0010,0.0004,0.0003,0.0148,0.0001,200,11.8076
0.0045,0.0010,0.0003,0.0000,0.0034,0.0001,200,12.0075
0.0069,0.0007,0.0003,0.0001,0.0060,0.0000,200,12.0076
0.0097,0.0009,0.0004,0.0001,0.0087,0.0000,200,12.0075
0.0121,0.0009,0.0003,0.0001,0.0111,0.0000,200,12.0076
0.0146,0.0008,0.0004,0.0001,0.0137,0.0001,200,12.0076
0.0041,0.0008,0.0003,0.0001,0.0032,0.0001,200,12.2075
0.0068,0.0010,0.0004,0.0000,0.0057,0.0001,200,12.2075
0.0095,0.0010,0.0004,0.0000,0.0084,0.0000,200,12.2075
0.0120,0.0009,0.0003,0.0001,0.0110,0.0000,200,12.2074
0.0145,0.0009,0.0003,0.0000,0.0135,0.0000,200,12.2075
0.0040,0.0007,0.0002,0.0000,0.0032,0.0001,200,12.4076
0.0067,0.0008,0.0003,0.0001,0.0057,0.0000,200,12.4075
0.0094,0.0009,0.0003,0.0001,0.0084,0.0000,200,12.4075
0.0120,0.0009,0.0004,0.0001,0.0109,0.0000,200,12.4075
0.0145,0.0009,0.0004,0.0001,0.0135,0.0001,200,12.4075
0.0043,0.0009,0.0004,0.0001,0.0032,0.0001,200,12.6076
0.0071,0.0011,0.0004,0.0000,0.0059,0.0001,200,12.6075
0.0097,0.0009,0.0004,0.0001,0.0086,0.0001,200,12.6075
0.0121,0.0009,0.0004,0.0001,0.0111,0.0000,200,12.6076
0.0146,0.0011,0.0003,0.0000,0.0134,0.0000,200,12.6076
0.0044,0.0009,0.0003,0.0001,0.0034,0.0001,200,12.8076
0.0071,0.0010,0.0003,0.0001,0.0060,0.0001,200,12.8075
0.0096,0.0008,0.0003,0.0000,0.0087,0.0000,200,12.8076
0.0122,0.0010,0.0004,0.0000,0.0111,0.0000,200,12.8075
0.0146,0.0008,0.0003,0.0001,0.0137,0.0000,200,12.8076
0.0045,0.0009,0.0004,0.0001,0.0035,0.0001,200,13.0075
0.0070,0.0009,0.0003,0.0001,0.0059,0.0001,200,13.0075
0.0095,0.0008,0.0003,0.0000,0.0086,0.0000,200,13.0075
0.0122,0.0010,0.0004,0.0001,0.0111,0.0000,200,13.0074
0.0146,0.0009,0.0003,0.0001,0.0136,0.0001,200,13.0075
0.0040,0.0007,0.0002,0.0000,0.0032,0.0001,200,13.2075
0.0068,0.0008,0.0003,0.0001,0.0057,0.0001,200,13.2074
0.0093,0.0008,0.0003,0.0001,0.0084,0.0000,200,13.2075
0.0119,0.0009,0.0002,0.0001,0.0109,0.0000,200,13.2074
0.0143,0.0007,0.0003,0.0001,0.0135,0.0000,200,13.2075
0.0046,0.0010,0.0005,0.0001,0.0035,0.0001,200,13.4075
0.0070,0.0011,0.0003,0.0000,0.0059,0.0000,200,13.4076
0.0099,0.0011,0.0005,0.0001,0.0086,0.0001,200,13.4075
0.0123,0.0010,0.0005,0.0001,0.0112,0.0000,200,13.4076
0.0148,0.0011,0.0004,0.0001,0.0136,0.0000,200,13.4075
0.0046,0.0009,0.0003,0.0001,0.0036,0.0001,200,13.6075
0.0072,0.0010,0.0003,0.0001,0.0060,0.0000,200,13.6075
0.0098,0.0009,0.0004,0.0001,0.0086,0.0001,200,13.6075
0.0122,0.0009,0.0003,0.0001,0.0112,0.0001,200,13.6076
0.0148,0.0009,0.0003,0.0001,0.0138,0.0001,200,13.6076
0.0049,0.0009,0.0003,0.0000,0.0040,0.0001,200,13.8076
0.0074,0.0009,0.0004,0.0001,0.0065,0.0001,200,13.8076
0.0100,0.0010,0.0003,0.0000,0.0089,0.0000,200,13.8075
0.0125,0.0010,0.0004,0.0001,0.0114,0.0000,200,13.8075
0.0149,0.0009,0.0003,0.0001,0.0139,0.0000,200,13.8076
0.0045,0.0009,0.0004,0.0000,0.0035,0.0001,200,14.0076
0.0071,0.0009,0.0004,0.0001,0.0061,0.0001,200,14.0075
0.0097,0.0010,0.0004,0.0001,0.0086,0.0000,200,14.0075
0.0121,0.0010,0.0003,0.0000,0.0111,0.0001,200,14.0076
0.0146,0.0010,0.0003,0.0001,0.0135,0.0000,200,14.0075
0.0044,0.0009,0.0004,0.0000,0.0034,0.0001,200,14.2076
0.0070,0.0009,0.0003,0.0001,0.0060,0.0000,200,14.2075
0.0097,0.0009,0.0003,0.0000,0.0087,0.0000,200,14.2076
0.0123,0.0009,0.0003,0.0000,0.0113,0.0000,200,14.2075
0.0148,0.0010,0.0004,0.0001,0.0137,0.0000,200,14.2075
0.0048,0.0010,0.0005,0.0000,0.0036,0.0000,200,14.4075
0.0074,0.0016,0.0014,0.0001,0.0057,0.0001,200,14.4075
0.0102,0.0012,0.0007,0.0001,0.0088,0.0001,200,14.4075
0.0125,0.0011,0.0004,0.0001,0.0113,0.0000,200,14.4076
0.0150,0.0012,0.0008,0.0000,0.0137,0.0000,200,14.4076
0.0045,0.0009,0.0004,0.0001,0.0034,0.0001,200,14.6075
0.0071,0.0009,0.0004,0.0001,0.0061,0.0001,200,14.6076
0.0097,0.0008,0.0004,0.0000,0.0087,0.0000,200,14.6076
0.0122,0.0010,0.0003,0.0001,0.0111,0.0000,200,14.6075
0.0148,0.0010,0.0004,0.0001,0.0137,0.0001,200,14.6075
0.0048,0.0010,0.0004,0.0001,0.0036,0.0001,200,14.8075
0.0073,0.0010,0.0004,0.0001,0.0062,0.0001,200,14.8075
