response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0057,0.0012,0.0008,0.0001,0.0041,0.0001,200,0.0036
0.0045,0.0006,0.0003,0.0000,0.0038,0.0001,200,0.0093
0.0041,0.0006,0.0003,0.0001,0.0034,0.0001,200,0.0138
0.0046,0.0006,0.0003,0.0000,0.0038,0.0001,200,0.0180
0.0043,0.0006,0.0003,0.0000,0.0035,0.0001,200,0.0225
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.0268
0.0043,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.0310
0.0040,0.0004,0.0002,0.0000,0.0034,0.0002,200,0.0353
0.0041,0.0005,0.0003,0.0000,0.0035,0.0001,200,0.0393
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.0434
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0473
0.0040,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.0513
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.0553
0.0041,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.0595
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.0636
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.0676
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0716
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0756
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.0797
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0836
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.0877
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.0919
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.0960
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.1002
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1043
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.1085
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1124
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1165
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.1206
0.0042,0.0005,0.0003,0.0000,0.0036,0.0001,200,0.1246
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.1288
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1328
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.1369
0.0044,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.1409
0.0043,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.1453
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1496
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1537
0.0046,0.0008,0.0006,0.0000,0.0036,0.0001,200,0.1578
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.1623
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.1664
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.1704
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.1746
0.0046,0.0005,0.0002,0.0000,0.0040,0.0001,200,0.1785
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.1831
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1870
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1911
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.1953
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.1993
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2036
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.2075
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2116
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.2156
0.0043,0.0005,0.0002,0.0001,0.0037,0.0001,200,0.2197
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.2241
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.2281
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.2323
0.0041,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.2363
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2404
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.2443
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.2484
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2526
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.2565
0.0153,0.0005,0.0002,0.0001,0.0147,0.0001,200,0.2606
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.2759
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.2800
0.0041,0.0004,0.0002,0.0000,0.0034,0.0002,200,0.2840
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.2881
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.2920
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.2962
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.3003
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.3045
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.3084
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.3126
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.3167
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.3206
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.3246
0.0041,0.0004,0.0002,0.0000,0.0035,0.0002,200,0.3285
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.3326
0.0041,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.3366
0.0041,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.3407
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.3447
0.0043,0.0005,0.0002,0.0000,0.0035,0.0002,200,0.3486
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.3529
0.0049,0.0004,0.0002,0.0000,0.0043,0.0002,200,0.3568
0.0042,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.3617
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.3659
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.3700
0.0042,0.0005,0.0003,0.0000,0.0036,0.0001,200,0.3741
0.0043,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.3783
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.3826
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.3865
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.3908
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.3949
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.3988
0.0040,0.0004,0.0002,0.0000,0.0033,0.0002,200,0.4028
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.4068
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.4109
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.4149
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.4188
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.4228
0.0040,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.4269
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.4309
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.4349
0.0039,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.4390
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.4429
0.0039,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.4471
0.0041,0.0005,0.0003,0.0000,0.0035,0.0001,200,0.4510
0.0041,0.0005,0.0003,0.0000,0.0035,0.0001,200,0.4551
0.0043,0.0005,0.0003,0.0000,0.0036,0.0001,200,0.4593
0.0043,0.0006,0.0003,0.0000,0.0036,0.0001,200,0.4636
0.0042,0.0005,0.0003,0.0000,0.0035,0.0001,200,0.4679
0.0041,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.4721
0.0041,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.4762
0.0041,0.0005,0.0003,0.0000,0.0035,0.0001,200,0.4802
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.4844
0.0040,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.4884
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.4924
0.0040,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.4965
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.5005
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.5045
0.0040,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.5086
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.5126
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.5172
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.5211
0.0044,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.5253
0.0041,0.0005,0.0002,0.0000,0.0034,0.0002,200,0.5297
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.5338
0.0039,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.5379
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.5418
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.5458
0.0042,0.0005,0.0003,0.0000,0.0035,0.0002,200,0.5499
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.5541
0.0041,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.5581
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.5621
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.5661
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.5703
0.0039,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.5745
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.5784
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.5826
0.0040,0.0005,0.0002,0.0000,0.0034,0.0000,200,0.5866
0.0040,0.0005,0.0002,0.0000,0.0033,0.0002,200,0.5906
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.5946
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.5986
0.0048,0.0005,0.0002,0.0000,0.0042,0.0001,200,0.6028
0.0051,0.0008,0.0003,0.0000,0.0040,0.0003,200,0.6076
0.0045,0.0006,0.0004,0.0000,0.0038,0.0001,200,0.6127
0.0041,0.0006,0.0003,0.0000,0.0034,0.0001,200,0.6173
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6214
0.0040,0.0005,0.0003,0.0000,0.0033,0.0001,200,0.6255
0.0043,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.6294
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.6337
0.0045,0.0005,0.0003,0.0000,0.0038,0.0001,200,0.6379
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6424
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.6466
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6504
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.6546
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6586
0.0042,0.0005,0.0003,0.0000,0.0036,0.0001,200,0.6627
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6669
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.6710
0.0096,0.0005,0.0002,0.0000,0.0090,0.0001,200,0.6751
0.0043,0.0005,0.0002,0.0000,0.0036,0.0001,200,0.6847
0.0044,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.6890
0.0042,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6933
0.0042,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.6975
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.7017
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7057
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.7097
0.0043,0.0005,0.0002,0.0000,0.0037,0.0001,200,0.7137
0.0041,0.0006,0.0002,0.0000,0.0034,0.0001,200,0.7181
0.0042,0.0005,0.0002,0.0000,0.0035,0.0002,200,0.7221
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.7263
0.0040,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.7305
0.0040,0.0005,0.0003,0.0000,0.0033,0.0001,200,0.7345
0.0041,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.7385
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7426
0.0052,0.0005,0.0002,0.0000,0.0046,0.0001,200,0.7468
0.0042,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7520
0.0040,0.0006,0.0003,0.0000,0.0033,0.0001,200,0.7561
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7602
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7643
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7685
0.0044,0.0005,0.0003,0.0000,0.0037,0.0001,200,0.7726
0.0040,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.7770
0.0042,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7810
0.0039,0.0005,0.0002,0.0000,0.0033,0.0001,200,0.7852
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.7891
0.0041,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.7932
0.0041,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.7973
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.8014
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.8054
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.8095
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.8133
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.8176
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.8213
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.8255
0.0038,0.0004,0.0002,0.0000,0.0033,0.0000,200,0.8295
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.8333
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.8374
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.8412
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.8452
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.8490
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.8530
0.0040,0.0003,0.0001,0.0000,0.0035,0.0001,200,0.8570
0.0041,0.0005,0.0002,0.0000,0.0034,0.0001,200,0.8610
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.8651
0.0040,0.0005,0.0003,0.0000,0.0035,0.0001,200,0.8689
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.8730
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.8769
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.8809
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.8848
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.8889
0.0046,0.0010,0.0007,0.0000,0.0035,0.0001,200,0.8930
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,0.8976
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9017
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9057
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9096
0.0040,0.0003,0.0001,0.0000,0.0035,0.0001,200,0.9136
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.9176
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9215
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.9255
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9297
0.0039,0.0005,0.0003,0.0000,0.0034,0.0001,200,0.9337
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9376
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9415
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.9455
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.9495
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.9534
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9575
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.9614
0.0043,0.0004,0.0002,0.0000,0.0037,0.0001,200,0.9653
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.9696
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,0.9737
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.9777
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9816
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,0.9855
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9897
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,0.9937
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,0.9977
0.0041,0.0004,0.0002,0.0000,0.0034,0.0002,200,1.0015
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.0056
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.0094
0.0041,0.0004,0.0002,0.0000,0.0036,0.0001,200,1.0134
0.0040,0.0004,0.0002,0.0000,0.0035,0.0000,200,1.0175
0.0041,0.0005,0.0002,0.0000,0.0035,0.0001,200,1.0215
0.0040,0.0005,0.0002,0.0000,0.0034,0.0001,200,1.0256
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.0296
0.0040,0.0004,0.0002,0.0000,0.0034,0.0002,200,1.0336
0.0041,0.0003,0.0001,0.0000,0.0037,0.0001,200,1.0376
0.0039,0.0005,0.0002,0.0000,0.0033,0.0001,200,1.0418
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.0456
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.0496
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.0535
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.0574
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.0613
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.0653
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.0692
0.0093,0.0004,0.0002,0.0000,0.0088,0.0001,200,1.0732
0.0038,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.0825
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.0863
0.0041,0.0005,0.0003,0.0000,0.0035,0.0001,200,1.0904
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,1.0945
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.0987
0.0041,0.0004,0.0002,0.0000,0.0034,0.0002,200,1.1025
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1066
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1106
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1147
0.0039,0.0005,0.0003,0.0000,0.0033,0.0001,200,1.1187
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1226
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1265
0.0041,0.0005,0.0003,0.0000,0.0035,0.0001,200,1.1306
0.0039,0.0005,0.0003,0.0000,0.0034,0.0001,200,1.1347
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1386
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1426
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,1.1465
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1507
0.0040,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1546
0.0042,0.0004,0.0002,0.0000,0.0036,0.0001,200,1.1586
0.0041,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1628
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1668
0.0042,0.0004,0.0002,0.0000,0.0037,0.0001,200,1.1707
0.0040,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1749
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1789
0.0041,0.0004,0.0003,0.0000,0.0035,0.0001,200,1.1830
0.0040,0.0004,0.0002,0.0000,0.0033,0.0002,200,1.1870
0.0041,0.0004,0.0002,0.0000,0.0035,0.0001,200,1.1910
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.1951
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.1990
0.0039,0.0004,0.0002,0.0000,0.0034,0.0001,200,1.2029
0.0042,0.0005,0.0002,0.0000,0.0036,0.0001,200,1.2069
0.0042,0.0005,0.0002,0.0000,0.0035,0.0001,200,1.2111
0.0039,0.0004,0.0002,0.0000,0.0033,0.0001,200,1.2152
0.0042,0.0005,0.0003,0.0000,0.0035,0.0001,200,1.2191
