response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0242,0.0017,0.0008,0.0000,0.0223,0.0001,200,0.0038
0.0622,0.0007,0.0003,0.0000,0.0613,0.0001,200,0.0280
0.0639,0.0007,0.0003,0.0001,0.0630,0.0001,200,0.0901
0.0599,0.0007,0.0003,0.0001,0.0591,0.0001,200,0.1540
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,0.2139
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,0.2779
0.0639,0.0006,0.0002,0.0000,0.0633,0.0001,200,0.3379
0.0641,0.0006,0.0003,0.0000,0.0633,0.0001,200,0.4019
0.0640,0.0006,0.0003,0.0001,0.0633,0.0001,200,0.4660
0.0639,0.0007,0.0003,0.0001,0.0631,0.0001,200,0.5300
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,0.5940
0.0601,0.0005,0.0002,0.0000,0.0594,0.0001,200,0.6579
0.0639,0.0006,0.0003,0.0000,0.0631,0.0001,200,0.7181
0.0640,0.0006,0.0003,0.0000,0.0633,0.0001,200,0.7820
0.0639,0.0006,0.0003,0.0000,0.0632,0.0001,200,0.8460
0.0640,0.0005,0.0003,0.0000,0.0634,0.0001,200,0.9099
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,0.9740
0.0600,0.0005,0.0002,0.0000,0.0594,0.0001,200,1.0339
0.0639,0.0006,0.0003,0.0000,0.0633,0.0001,200,1.0940
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,1.1579
0.0640,0.0005,0.0002,0.0000,0.0634,0.0001,200,1.2179
0.0641,0.0005,0.0002,0.0000,0.0634,0.0001,200,1.2819
0.0639,0.0006,0.0003,0.0000,0.0632,0.0001,200,1.3460
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,1.4099
0.0640,0.0005,0.0003,0.0000,0.0633,0.0001,200,1.4699
0.0681,0.0005,0.0002,0.0000,0.0675,0.0001,200,1.5339
0.0639,0.0007,0.0004,0.0000,0.0631,0.0001,200,1.6020
0.0601,0.0006,0.0003,0.0000,0.0593,0.0001,200,1.6659
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,1.7260
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,1.7900
0.0601,0.0005,0.0002,0.0000,0.0594,0.0001,200,1.8540
0.0599,0.0006,0.0002,0.0000,0.0592,0.0001,200,1.9141
0.0600,0.0006,0.0003,0.0000,0.0593,0.0001,200,1.9740
0.0640,0.0006,0.0003,0.0000,0.0632,0.0001,200,2.0339
0.0600,0.0006,0.0003,0.0000,0.0592,0.0001,200,2.0979
0.0600,0.0006,0.0002,0.0000,0.0593,0.0001,200,2.1579
0.0641,0.0005,0.0003,0.0000,0.0635,0.0001,200,2.2179
0.0639,0.0005,0.0003,0.0000,0.0632,0.0001,200,2.2820
0.0640,0.0011,0.0003,0.0000,0.0628,0.0001,200,2.3459
