response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0308,0.0017,0.0009,0.0001,0.0288,0.0001,200,0.2060
0.0500,0.0014,0.0008,0.0001,0.0483,0.0001,200,0.2060
0.0697,0.0015,0.0008,0.0001,0.0680,0.0002,200,0.2062
0.0901,0.0015,0.0008,0.0001,0.0883,0.0001,200,0.2062
0.1087,0.0015,0.0003,0.0001,0.1070,0.0001,200,0.2063
0.0213,0.0010,0.0005,0.0001,0.0201,0.0001,200,0.4060
0.0402,0.0010,0.0003,0.0000,0.0391,0.0001,200,0.4061
0.0607,0.0009,0.0004,0.0000,0.0597,0.0001,200,0.4060
0.0794,0.0010,0.0004,0.0001,0.0781,0.0001,200,0.4060
0.0981,0.0009,0.0004,0.0001,0.0970,0.0001,200,0.4061
0.0220,0.0009,0.0002,0.0001,0.0209,0.0001,200,0.6061
0.0411,0.0009,0.0003,0.0001,0.0401,0.0001,200,0.6060
0.0603,0.0009,0.0003,0.0001,0.0592,0.0001,200,0.6060
0.0794,0.0009,0.0003,0.0001,0.0783,0.0001,200,0.6061
0.0981,0.0009,0.0003,0.0001,0.0971,0.0001,200,0.6061
0.0219,0.0008,0.0003,0.0001,0.0210,0.0001,200,0.8061
0.0408,0.0008,0.0003,0.0001,0.0398,0.0001,200,0.8060
0.0602,0.0010,0.0003,0.0001,0.0590,0.0001,200,0.8060
0.0801,0.0009,0.0004,0.0001,0.0790,0.0001,200,0.8061
0.0993,0.0009,0.0004,0.0000,0.0982,0.0001,200,0.8060
0.0218,0.0010,0.0004,0.0001,0.0206,0.0001,200,1.0061
0.0406,0.0010,0.0004,0.0001,0.0393,0.0001,200,1.0060
0.0596,0.0011,0.0004,0.0000,0.0584,0.0001,200,1.0060
0.0789,0.0009,0.0004,0.0001,0.0777,0.0001,200,1.0060
0.0982,0.0009,0.0002,0.0000,0.0969,0.0004,200,1.0061
0.0283,0.0008,0.0003,0.0001,0.0273,0.0001,200,1.2062
