response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0229,0.0015,0.0009,0.0001,0.0212,0.0001,200,0.0033
0.0213,0.0006,0.0003,0.0001,0.0205,0.0001,200,0.0262
0.0206,0.0005,0.0002,0.0000,0.0199,0.0001,200,0.0475
0.0205,0.0005,0.0003,0.0000,0.0198,0.0001,200,0.0680
0.0201,0.0005,0.0002,0.0000,0.0195,0.0001,200,0.0885
0.0210,0.0004,0.0002,0.0000,0.0205,0.0001,200,0.1087
0.0205,0.0005,0.0002,0.0000,0.0199,0.0001,200,0.1297
0.0202,0.0005,0.0003,0.0000,0.0195,0.0001,200,0.1502
0.0210,0.0005,0.0003,0.0000,0.0203,0.0001,200,0.1704
0.0210,0.0005,0.0003,0.0000,0.0203,0.0001,200,0.1913
0.0202,0.0005,0.0002,0.0001,0.0195,0.0001,200,0.2123
0.0212,0.0005,0.0002,0.0000,0.0206,0.0001,200,0.2325
0.0202,0.0005,0.0002,0.0000,0.0196,0.0001,200,0.2537
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,0.2739
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,0.2939
0.0206,0.0005,0.0002,0.0000,0.0201,0.0001,200,0.3139
0.0204,0.0004,0.0002,0.0000,0.0198,0.0001,200,0.3345
0.0209,0.0005,0.0002,0.0000,0.0203,0.0001,200,0.3549
0.0211,0.0007,0.0003,0.0000,0.0203,0.0001,200,0.3759
0.0211,0.0006,0.0003,0.0000,0.0203,0.0001,200,0.3970
0.0224,0.0007,0.0004,0.0000,0.0215,0.0001,200,0.4180
0.0213,0.0007,0.0003,0.0000,0.0204,0.0002,200,0.4405
0.0208,0.0009,0.0004,0.0000,0.0198,0.0001,200,0.4618
0.0206,0.0006,0.0003,0.0000,0.0198,0.0001,200,0.4826
0.0204,0.0005,0.0003,0.0000,0.0197,0.0001,200,0.5031
0.0202,0.0005,0.0002,0.0000,0.0195,0.0001,200,0.5235
0.0206,0.0006,0.0003,0.0000,0.0199,0.0001,200,0.5437
0.0205,0.0006,0.0003,0.0000,0.0198,0.0001,200,0.5643
0.0202,0.0005,0.0002,0.0000,0.0197,0.0000,200,0.5848
0.0201,0.0005,0.0002,0.0000,0.0194,0.0001,200,0.6051
0.0212,0.0005,0.0003,0.0000,0.0206,0.0001,200,0.6252
0.0199,0.0005,0.0002,0.0000,0.0194,0.0000,200,0.6464
0.0202,0.0005,0.0002,0.0000,0.0196,0.0001,200,0.6663
0.0205,0.0005,0.0003,0.0000,0.0199,0.0001,200,0.6865
0.0200,0.0005,0.0003,0.0000,0.0193,0.0001,200,0.7070
0.0200,0.0005,0.0003,0.0000,0.0194,0.0001,200,0.7270
0.0206,0.0005,0.0003,0.0000,0.0199,0.0001,200,0.7470
0.0258,0.0005,0.0003,0.0000,0.0252,0.0001,200,0.7676
0.0213,0.0005,0.0002,0.0000,0.0207,0.0001,200,0.7934
0.0201,0.0006,0.0003,0.0000,0.0194,0.0001,200,0.8148
0.0219,0.0006,0.0003,0.0000,0.0212,0.0000,200,0.8348
0.0205,0.0005,0.0002,0.0000,0.0199,0.0001,200,0.8567
0.0229,0.0005,0.0002,0.0000,0.0222,0.0001,200,0.8772
0.0219,0.0006,0.0003,0.0000,0.0212,0.0001,200,0.9000
0.0210,0.0006,0.0003,0.0000,0.0202,0.0001,200,0.9220
0.0204,0.0006,0.0003,0.0000,0.0197,0.0001,200,0.9430
0.0202,0.0005,0.0002,0.0000,0.0195,0.0001,200,0.9633
0.0202,0.0005,0.0003,0.0000,0.0195,0.0001,200,0.9835
0.0209,0.0005,0.0002,0.0000,0.0203,0.0001,200,1.0037
0.0217,0.0005,0.0002,0.0000,0.0208,0.0000,200,1.0246
0.0205,0.0005,0.0002,0.0000,0.0198,0.0001,200,1.0463
0.0206,0.0005,0.0003,0.0000,0.0200,0.0001,200,1.0668
0.0200,0.0005,0.0002,0.0001,0.0194,0.0001,200,1.0875
0.0203,0.0005,0.0002,0.0000,0.0198,0.0001,200,1.1074
0.0201,0.0005,0.0002,0.0000,0.0195,0.0001,200,1.1277
0.0202,0.0005,0.0003,0.0000,0.0196,0.0001,200,1.1478
0.0206,0.0004,0.0002,0.0000,0.0200,0.0001,200,1.1680
0.0213,0.0004,0.0002,0.0000,0.0207,0.0001,200,1.1886
0.0203,0.0005,0.0002,0.0000,0.0197,0.0001,200,1.2098
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,1.2302
0.0204,0.0005,0.0003,0.0000,0.0198,0.0001,200,1.2502
0.0213,0.0006,0.0003,0.0000,0.0206,0.0001,200,1.2706
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,1.2919
0.0199,0.0005,0.0002,0.0000,0.0193,0.0001,200,1.3119
0.0212,0.0005,0.0002,0.0000,0.0206,0.0001,200,1.3318
0.0203,0.0005,0.0002,0.0000,0.0196,0.0001,200,1.3530
0.0203,0.0005,0.0002,0.0001,0.0197,0.0000,200,1.3733
0.0208,0.0005,0.0002,0.0000,0.0201,0.0001,200,1.3936
0.0203,0.0005,0.0002,0.0000,0.0197,0.0001,200,1.4144
0.0206,0.0005,0.0002,0.0000,0.0200,0.0001,200,1.4348
0.0213,0.0005,0.0003,0.0000,0.0206,0.0001,200,1.4554
0.0206,0.0005,0.0002,0.0000,0.0199,0.0001,200,1.4767
0.0202,0.0006,0.0003,0.0000,0.0195,0.0001,200,1.4973
0.0202,0.0006,0.0003,0.0000,0.0194,0.0001,200,1.5175
0.0202,0.0005,0.0002,0.0000,0.0196,0.0001,200,1.5377
0.0211,0.0005,0.0003,0.0000,0.0205,0.0001,200,1.5579
0.0204,0.0005,0.0002,0.0000,0.0198,0.0001,200,1.5790
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,1.5994
0.0200,0.0005,0.0003,0.0000,0.0194,0.0001,200,1.6194
0.0200,0.0005,0.0002,0.0000,0.0194,0.0001,200,1.6394
0.0205,0.0005,0.0002,0.0000,0.0199,0.0001,200,1.6595
0.0201,0.0005,0.0003,0.0000,0.0195,0.0001,200,1.6799
