response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0143,0.0012,0.0009,0.0001,0.0119,0.0008,200,0.2042
0.0241,0.0014,0.0008,0.0001,0.0203,0.0022,200,0.2042
0.0238,0.0012,0.0009,0.0001,0.0107,0.0118,200,0.2045
0.0240,0.0011,0.0009,0.0001,0.0220,0.0008,200,0.2046
0.0320,0.0011,0.0003,0.0001,0.0302,0.0006,200,0.2046
0.0117,0.0006,0.0004,0.0001,0.0104,0.0006,200,0.4042
0.0119,0.0007,0.0004,0.0001,0.0103,0.0007,200,0.4041
0.0200,0.0007,0.0004,0.0001,0.0187,0.0005,200,0.4042
0.0203,0.0007,0.0003,0.0001,0.0191,0.0004,200,0.4043
0.0289,0.0008,0.0003,0.0001,0.0276,0.0004,200,0.4042
0.0118,0.0007,0.0004,0.0001,0.0102,0.0007,200,0.6042
0.0121,0.0006,0.0003,0.0001,0.0108,0.0005,200,0.6044
0.0204,0.0006,0.0002,0.0001,0.0193,0.0004,200,0.6044
0.0211,0.0006,0.0003,0.0001,0.0199,0.0005,200,0.6044
0.0295,0.0006,0.0004,0.0001,0.0282,0.0005,200,0.6042
0.0110,0.0007,0.0003,0.0001,0.0096,0.0005,200,0.8043
0.0197,0.0007,0.0002,0.0001,0.0183,0.0006,200,0.8044
0.0203,0.0007,0.0003,0.0001,0.0189,0.0005,200,0.8044
0.0284,0.0010,0.0004,0.0000,0.0270,0.0004,200,0.8042
0.0292,0.0006,0.0004,0.0001,0.0281,0.0004,200,0.8044
0.0105,0.0005,0.0000,0.0001,0.0095,0.0005,200,1.0046
0.0202,0.0009,0.0005,0.0001,0.0184,0.0008,200,1.0042
0.0203,0.0008,0.0004,0.0001,0.0188,0.0006,200,1.0043
0.0286,0.0006,0.0003,0.0001,0.0271,0.0005,200,1.0042
0.0288,0.0004,0.0002,0.0001,0.0278,0.0005,200,1.0047
0.0111,0.0007,0.0004,0.0001,0.0098,0.0006,200,1.2042
0.0114,0.0008,0.0004,0.0001,0.0100,0.0006,200,1.2041
0.0200,0.0007,0.0004,0.0001,0.0184,0.0007,200,1.2042
0.0201,0.0007,0.0003,0.0001,0.0187,0.0006,200,1.2042
0.0288,0.0008,0.0003,0.0002,0.0274,0.0005,200,1.2042
0.0113,0.0009,0.0004,0.0001,0.0098,0.0005,200,1.4041
0.0205,0.0008,0.0004,0.0000,0.0190,0.0006,200,1.4042
0.0206,0.0007,0.0003,0.0001,0.0188,0.0010,200,1.4042
0.0293,0.0007,0.0003,0.0001,0.0278,0.0006,200,1.4042
0.0292,0.0008,0.0004,0.0000,0.0276,0.0008,200,1.4043
0.0112,0.0006,0.0002,0.0001,0.0101,0.0005,200,1.6043
0.0203,0.0009,0.0004,0.0002,0.0185,0.0007,200,1.6041
0.0204,0.0007,0.0003,0.0001,0.0190,0.0006,200,1.6042
0.0288,0.0008,0.0003,0.0002,0.0272,0.0005,200,1.6042
