response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0172,0.0013,0.0009,0.0001,0.0155,0.0003,200,0.2069
0.0176,0.0011,0.0008,0.0001,0.0103,0.0061,200,0.2071
0.0178,0.0013,0.0008,0.0001,0.0163,0.0001,200,0.2069
0.0234,0.0010,0.0007,0.0001,0.0221,0.0002,200,0.2072
0.0235,0.0012,0.0008,0.0001,0.0218,0.0004,200,0.2071
0.0188,0.0009,0.0006,0.0001,0.0175,0.0002,200,0.4070
0.0222,0.0007,0.0005,0.0001,0.0211,0.0004,200,0.4073
0.0226,0.0008,0.0005,0.0001,0.0213,0.0004,200,0.4072
0.0227,0.0006,0.0003,0.0000,0.0215,0.0005,200,0.4073
0.0230,0.0009,0.0005,0.0000,0.0216,0.0004,200,0.4071
0.0170,0.0007,0.0004,0.0001,0.0159,0.0004,200,0.6069
0.0170,0.0007,0.0004,0.0000,0.0160,0.0003,200,0.6070
0.0225,0.0007,0.0003,0.0000,0.0216,0.0002,200,0.6069
0.0227,0.0007,0.0004,0.0000,0.0217,0.0003,200,0.6070
0.0230,0.0007,0.0003,0.0000,0.0220,0.0002,200,0.6071
0.0187,0.0008,0.0004,0.0001,0.0145,0.0033,200,0.8070
0.0215,0.0008,0.0004,0.0001,0.0192,0.0014,200,0.8069
0.0215,0.0006,0.0003,0.0001,0.0206,0.0004,200,0.8070
0.0217,0.0007,0.0004,0.0001,0.0206,0.0003,200,0.8070
0.0219,0.0007,0.0005,0.0001,0.0209,0.0002,200,0.8070
0.0065,0.0006,0.0003,0.0001,0.0056,0.0003,200,1.0071
0.0138,0.0006,0.0002,0.0001,0.0128,0.0003,200,1.0071
0.0232,0.0006,0.0003,0.0001,0.0221,0.0003,200,1.0070
0.0232,0.0007,0.0004,0.0001,0.0221,0.0003,200,1.0069
0.0242,0.0006,0.0003,0.0000,0.0233,0.0002,200,1.0069
0.0186,0.0006,0.0003,0.0001,0.0175,0.0003,200,1.2071
0.0187,0.0007,0.0003,0.0001,0.0130,0.0050,200,1.2070
0.0189,0.0008,0.0003,0.0001,0.0178,0.0002,200,1.2069
0.0225,0.0006,0.0004,0.0001,0.0216,0.0003,200,1.2071
0.0229,0.0007,0.0004,0.0001,0.0219,0.0002,200,1.2069
0.0216,0.0007,0.0004,0.0001,0.0206,0.0003,200,1.4070
0.0217,0.0007,0.0003,0.0001,0.0179,0.0030,200,1.4071
0.0221,0.0007,0.0004,0.0001,0.0210,0.0002,200,1.4069
0.0225,0.0008,0.0003,0.0001,0.0213,0.0003,200,1.4069
0.0227,0.0006,0.0004,0.0001,0.0216,0.0003,200,1.4070
0.0074,0.0006,0.0004,0.0001,0.0064,0.0002,200,1.6070
0.0112,0.0006,0.0004,0.0001,0.0103,0.0002,200,1.6069
0.0220,0.0005,0.0002,0.0000,0.0207,0.0008,200,1.6070
0.0223,0.0007,0.0004,0.0001,0.0214,0.0002,200,1.6070
0.0239,0.0007,0.0004,0.0001,0.0228,0.0003,200,1.6069
0.0058,0.0005,0.0002,0.0001,0.0050,0.0002,200,1.8071
0.0145,0.0006,0.0003,0.0001,0.0128,0.0010,200,1.8070
0.0151,0.0008,0.0003,0.0000,0.0139,0.0003,200,1.8069
0.0152,0.0006,0.0004,0.0001,0.0141,0.0003,200,1.8069
0.0159,0.0006,0.0003,0.0001,0.0149,0.0002,200,1.8070
0.0152,0.0007,0.0004,0.0001,0.0134,0.0009,200,2.0070
0.0151,0.0005,0.0003,0.0001,0.0133,0.0012,200,2.0072
0.0153,0.0005,0.0002,0.0001,0.0145,0.0002,200,2.0072
0.0161,0.0006,0.0003,0.0001,0.0148,0.0006,200,2.0072
0.0162,0.0006,0.0003,0.0001,0.0149,0.0005,200,2.0071
0.0141,0.0007,0.0003,0.0001,0.0131,0.0003,200,2.2072
0.0148,0.0008,0.0004,0.0001,0.0137,0.0002,200,2.2070
0.0148,0.0006,0.0004,0.0001,0.0138,0.0002,200,2.2072
0.0153,0.0008,0.0004,0.0001,0.0140,0.0003,200,2.2071
0.0152,0.0007,0.0004,0.0001,0.0141,0.0003,200,2.2072
0.0152,0.0004,0.0001,0.0001,0.0112,0.0035,200,2.4075
