response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0558,0.0014,0.0011,0.0001,0.0541,0.0001,200,0.2030
0.0741,0.0014,0.0011,0.0002,0.0724,0.0001,200,0.2031
0.0851,0.0017,0.0010,0.0000,0.0832,0.0001,200,0.2030
0.1020,0.0013,0.0011,0.0001,0.1004,0.0001,200,0.2032
0.1137,0.0014,0.0010,0.0002,0.1120,0.0001,200,0.2031
0.0526,0.0005,0.0002,0.0000,0.0520,0.0001,200,0.4031
0.0536,0.0006,0.0004,0.0001,0.0528,0.0001,200,0.4030
0.0797,0.0007,0.0004,0.0001,0.0788,0.0001,200,0.4030
0.0815,0.0006,0.0003,0.0000,0.0808,0.0001,200,0.4030
0.1070,0.0005,0.0004,0.0001,0.1063,0.0001,200,0.4031
0.0519,0.0006,0.0004,0.0001,0.0511,0.0001,200,0.6030
0.0537,0.0006,0.0004,0.0001,0.0530,0.0001,200,0.6031
0.0812,0.0005,0.0003,0.0000,0.0805,0.0001,200,0.6031
0.0813,0.0007,0.0004,0.0001,0.0804,0.0001,200,0.6030
0.1094,0.0007,0.0003,0.0000,0.1086,0.0001,200,0.6030
0.0563,0.0005,0.0002,0.0000,0.0556,0.0001,200,0.8032
0.0743,0.0006,0.0003,0.0001,0.0735,0.0001,200,0.8030
0.0862,0.0004,0.0001,0.0001,0.0857,0.0001,200,0.8032
0.1057,0.0006,0.0004,0.0001,0.1050,0.0001,200,0.8031
0.1165,0.0007,0.0004,0.0000,0.1157,0.0001,200,0.8030
0.0510,0.0008,0.0003,0.0001,0.0499,0.0001,200,1.0031
0.0525,0.0005,0.0001,0.0000,0.0519,0.0001,200,1.0032
0.0783,0.0008,0.0003,0.0001,0.0773,0.0001,200,1.0031
0.0826,0.0009,0.0004,0.0001,0.0815,0.0001,200,1.0030
0.1062,0.0008,0.0003,0.0001,0.1053,0.0001,200,1.0030
0.0524,0.0005,0.0003,0.0001,0.0517,0.0001,200,1.2031
0.0525,0.0007,0.0004,0.0000,0.0517,0.0001,200,1.2030
0.0824,0.0006,0.0004,0.0000,0.0816,0.0001,200,1.2031
0.0831,0.0007,0.0004,0.0001,0.0822,0.0001,200,1.2030
0.1095,0.0006,0.0004,0.0001,0.1087,0.0001,200,1.2030
0.0504,0.0006,0.0003,0.0000,0.0496,0.0001,200,1.4030
0.0530,0.0006,0.0003,0.0001,0.0523,0.0001,200,1.4031
0.0779,0.0006,0.0003,0.0001,0.0771,0.0001,200,1.4031
0.0818,0.0006,0.0003,0.0001,0.0811,0.0000,200,1.4031
0.1051,0.0007,0.0001,0.0001,0.1043,0.0001,200,1.4031
0.0529,0.0005,0.0003,0.0000,0.0522,0.0001,200,1.6031
0.0543,0.0005,0.0001,0.0001,0.0536,0.0001,200,1.6032
0.0800,0.0007,0.0004,0.0001,0.0792,0.0001,200,1.6030
0.0841,0.0006,0.0003,0.0001,0.0833,0.0001,200,1.6031
0.1073,0.0006,0.0003,0.0001,0.1065,0.0001,200,1.6031
0.0518,0.0006,0.0004,0.0001,0.0510,0.0001,200,1.8031
0.0536,0.0006,0.0003,0.0000,0.0529,0.0001,200,1.8030
0.0811,0.0007,0.0004,0.0007,0.0797,0.0000,200,1.8030
0.0858,0.0007,0.0003,0.0007,0.0843,0.0001,200,1.8031
0.1088,0.0008,0.0004,0.0006,0.1073,0.0001,200,1.8030
0.0501,0.0006,0.0004,0.0001,0.0493,0.0001,200,2.0030
0.0570,0.0005,0.0002,0.0000,0.0565,0.0001,200,2.0031
0.0780,0.0006,0.0004,0.0001,0.0772,0.0001,200,2.0030
0.0820,0.0007,0.0004,0.0000,0.0812,0.0001,200,2.0030
0.1062,0.0005,0.0004,0.0001,0.1056,0.0001,200,2.0031
0.0466,0.0007,0.0003,0.0000,0.0458,0.0001,200,2.2031
0.0478,0.0004,0.0002,0.0000,0.0473,0.0001,200,2.2032
0.0761,0.0005,0.0003,0.0000,0.0755,0.0001,200,2.2032
0.0764,0.0007,0.0004,0.0001,0.0755,0.0001,200,2.2030
0.1049,0.0006,0.0003,0.0001,0.1041,0.0001,200,2.2030
0.0501,0.0006,0.0004,0.0001,0.0493,0.0001,200,2.4030
0.0534,0.0006,0.0003,0.0001,0.0526,0.0001,200,2.4031
0.0781,0.0006,0.0003,0.0001,0.0773,0.0001,200,2.4031
0.0822,0.0006,0.0002,0.0001,0.0815,0.0001,200,2.4031
0.1050,0.0006,0.0003,0.0001,0.1043,0.0001,200,2.4030
0.0552,0.0007,0.0004,0.0001,0.0543,0.0001,200,2.6030
0.0553,0.0006,0.0004,0.0000,0.0545,0.0001,200,2.6031
0.0856,0.0007,0.0005,0.0001,0.0847,0.0001,200,2.6030
0.0899,0.0007,0.0004,0.0001,0.0891,0.0000,200,2.6030
0.1129,0.0007,0.0003,0.0001,0.1121,0.0001,200,2.6031
0.0528,0.0007,0.0004,0.0001,0.0518,0.0001,200,2.8030
0.0527,0.0005,0.0003,0.0000,0.0521,0.0001,200,2.8030
