response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0468,0.0011,0.0007,0.0001,0.0455,0.0001,200,0.2033
0.0552,0.0009,0.0006,0.0001,0.0541,0.0001,200,0.2036
0.0577,0.0004,0.0002,0.0001,0.0571,0.0001,200,0.2040
0.0601,0.0008,0.0001,0.0001,0.0591,0.0000,200,0.2035
0.0626,0.0010,0.0006,0.0000,0.0615,0.0001,200,0.2035
0.0572,0.0007,0.0003,0.0001,0.0562,0.0001,200,0.4036
0.0580,0.0008,0.0005,0.0001,0.0570,0.0001,200,0.4035
0.0606,0.0009,0.0005,0.0001,0.0595,0.0001,200,0.4035
0.0613,0.0007,0.0005,0.0001,0.0604,0.0001,200,0.4035
0.0649,0.0008,0.0006,0.0001,0.0638,0.0001,200,0.4034
0.0302,0.0006,0.0003,0.0001,0.0295,0.0001,200,0.6036
0.0544,0.0008,0.0004,0.0001,0.0534,0.0001,200,0.6035
0.0543,0.0007,0.0003,0.0001,0.0535,0.0000,200,0.6036
0.0592,0.0009,0.0002,0.0001,0.0581,0.0001,200,0.6034
0.0602,0.0007,0.0003,0.0001,0.0592,0.0001,200,0.6035
0.0521,0.0010,0.0005,0.0000,0.0510,0.0001,200,0.8033
0.0541,0.0007,0.0003,0.0001,0.0532,0.0001,200,0.8034
0.0553,0.0004,0.0001,0.0001,0.0548,0.0001,200,0.8036
0.0563,0.0007,0.0004,0.0001,0.0555,0.0001,200,0.8034
0.0588,0.0006,0.0002,0.0001,0.0581,0.0001,200,0.8036
0.0504,0.0006,0.0003,0.0001,0.0495,0.0001,200,1.0035
0.0553,0.0007,0.0004,0.0000,0.0545,0.0001,200,1.0034
0.0573,0.0006,0.0003,0.0001,0.0565,0.0001,200,1.0035
0.0599,0.0007,0.0004,0.0001,0.0590,0.0001,200,1.0035
0.0600,0.0006,0.0002,0.0001,0.0593,0.0000,200,1.0036
0.0537,0.0005,0.0002,0.0001,0.0530,0.0001,200,1.2035
0.0550,0.0007,0.0005,0.0001,0.0541,0.0001,200,1.2033
0.0574,0.0005,0.0003,0.0001,0.0567,0.0001,200,1.2035
0.0602,0.0004,0.0002,0.0000,0.0596,0.0001,200,1.2036
0.0616,0.0006,0.0003,0.0001,0.0609,0.0000,200,1.2034
0.0435,0.0004,0.0002,0.0001,0.0429,0.0001,200,1.4036
0.0468,0.0007,0.0004,0.0001,0.0459,0.0001,200,1.4035
0.0468,0.0008,0.0003,0.0000,0.0460,0.0000,200,1.4034
0.0492,0.0006,0.0004,0.0001,0.0485,0.0001,200,1.4035
0.0529,0.0008,0.0004,0.0001,0.0519,0.0001,200,1.4033
0.0354,0.0008,0.0004,0.0001,0.0344,0.0001,200,1.6034
0.0398,0.0005,0.0001,0.0001,0.0391,0.0001,200,1.6037
0.0427,0.0007,0.0003,0.0001,0.0418,0.0001,200,1.6035
0.0433,0.0005,0.0003,0.0001,0.0426,0.0000,200,1.6037
0.0455,0.0008,0.0004,0.0001,0.0445,0.0000,200,1.6034
0.0417,0.0008,0.0003,0.0001,0.0407,0.0001,200,1.8035
0.0485,0.0007,0.0004,0.0001,0.0477,0.0000,200,1.8035
0.0486,0.0008,0.0004,0.0001,0.0476,0.0001,200,1.8034
0.0536,0.0007,0.0004,0.0000,0.0528,0.0001,200,1.8034
0.0540,0.0009,0.0005,0.0001,0.0530,0.0000,200,1.8033
0.0505,0.0011,0.0004,0.0001,0.0492,0.0001,200,2.0037
0.0519,0.0012,0.0003,0.0000,0.0506,0.0001,200,2.0037
0.0589,0.0012,0.0005,0.0000,0.0575,0.0001,200,2.0035
0.0594,0.0014,0.0006,0.0001,0.0578,0.0000,200,2.0034
0.0602,0.0011,0.0003,0.0000,0.0588,0.0001,200,2.0035
0.0535,0.0007,0.0004,0.0001,0.0526,0.0001,200,2.2034
0.0555,0.0006,0.0003,0.0000,0.0547,0.0001,200,2.2035
0.0554,0.0006,0.0003,0.0001,0.0548,0.0000,200,2.2036
0.0590,0.0007,0.0004,0.0001,0.0582,0.0001,200,2.2033
0.0597,0.0006,0.0002,0.0001,0.0590,0.0000,200,2.2034
0.0466,0.0005,0.0003,0.0001,0.0459,0.0001,200,2.4036
0.0466,0.0005,0.0002,0.0001,0.0461,0.0000,200,2.4036
0.0501,0.0006,0.0002,0.0001,0.0493,0.0001,200,2.4035
0.0510,0.0007,0.0005,0.0001,0.0501,0.0001,200,2.4033
0.0527,0.0005,0.0002,0.0001,0.0520,0.0001,200,2.4036
0.0425,0.0006,0.0004,0.0001,0.0417,0.0001,200,2.6036
0.0460,0.0008,0.0005,0.0001,0.0450,0.0001,200,2.6034
0.0510,0.0006,0.0005,0.0001,0.0501,0.0001,200,2.6035
0.0509,0.0006,0.0004,0.0001,0.0502,0.0000,200,2.6036
0.0522,0.0007,0.0003,0.0001,0.0513,0.0000,200,2.6035
0.0363,0.0011,0.0007,0.0001,0.0351,0.0001,200,2.8035
0.0382,0.0011,0.0007,0.0001,0.0369,0.0001,200,2.8035
0.0512,0.0011,0.0008,0.0001,0.0499,0.0001,200,2.8034
0.0518,0.0009,0.0004,0.0001,0.0508,0.0001,200,2.8037
0.0552,0.0012,0.0009,0.0000,0.0539,0.0001,200,2.8033
0.0251,0.0005,0.0003,0.0000,0.0244,0.0001,200,3.0035
0.0437,0.0006,0.0003,0.0000,0.0429,0.0001,200,3.0035
