response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0047,0.0020,0.0012,0.0000,0.0025,0.0001,200,0.2041
0.0067,0.0016,0.0011,0.0001,0.0049,0.0001,200,0.2044
0.0068,0.0014,0.0010,0.0001,0.0052,0.0001,200,0.2044
0.0070,0.0017,0.0011,0.0001,0.0050,0.0000,200,0.2042
0.0075,0.0016,0.0011,0.0001,0.0057,0.0001,200,0.2043
0.0044,0.0007,0.0004,0.0001,0.0033,0.0001,200,0.4042
0.0044,0.0009,0.0004,0.0001,0.0033,0.0001,200,0.4043
0.0042,0.0006,0.0004,0.0001,0.0034,0.0001,200,0.4045
0.0046,0.0009,0.0005,0.0001,0.0034,0.0001,200,0.4042
0.0043,0.0005,0.0002,0.0001,0.0036,0.0000,200,0.4045
0.0041,0.0006,0.0002,0.0001,0.0033,0.0001,200,0.6043
0.0041,0.0006,0.0004,0.0001,0.0034,0.0000,200,0.6042
0.0043,0.0007,0.0004,0.0001,0.0036,0.0000,200,0.6041
0.0043,0.0007,0.0003,0.0001,0.0033,0.0002,200,0.6042
0.0044,0.0007,0.0004,0.0001,0.0036,0.0000,200,0.6042
0.0041,0.0006,0.0003,0.0000,0.0033,0.0001,200,0.8042
0.0041,0.0006,0.0004,0.0001,0.0034,0.0000,200,0.8043
0.0041,0.0007,0.0003,0.0000,0.0034,0.0000,200,0.8042
0.0043,0.0007,0.0004,0.0001,0.0033,0.0002,200,0.8042
0.0045,0.0007,0.0004,0.0001,0.0037,0.0000,200,0.8042
0.0042,0.0006,0.0003,0.0000,0.0035,0.0001,200,1.0042
0.0043,0.0008,0.0003,0.0001,0.0034,0.0000,200,1.0042
0.0044,0.0007,0.0004,0.0001,0.0035,0.0000,200,1.0042
0.0043,0.0008,0.0003,0.0000,0.0033,0.0002,200,1.0043
0.0045,0.0007,0.0003,0.0001,0.0036,0.0000,200,1.0043
0.0053,0.0006,0.0002,0.0000,0.0046,0.0001,200,1.2043
0.0055,0.0008,0.0003,0.0000,0.0046,0.0000,200,1.2042
0.0056,0.0008,0.0003,0.0001,0.0044,0.0003,200,1.2042
0.0057,0.0008,0.0003,0.0001,0.0047,0.0001,200,1.2041
0.0057,0.0007,0.0004,0.0001,0.0048,0.0001,200,1.2042
