response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0012,0.0009,0.0001,0.0002,0.0001,404,0.2031
0.0037,0.0011,0.0008,0.0001,0.0022,0.0002,404,0.2033
0.0036,0.0011,0.0008,0.0001,0.0023,0.0001,404,0.2033
0.0038,0.0012,0.0008,0.0000,0.0024,0.0001,404,0.2032
0.0036,0.0010,0.0007,0.0001,0.0025,0.0000,404,0.2034
0.0011,0.0007,0.0004,0.0000,0.0003,0.0001,404,0.4032
0.0012,0.0007,0.0005,0.0000,0.0004,0.0001,404,0.4032
0.0013,0.0008,0.0005,0.0001,0.0003,0.0000,404,0.4031
0.0012,0.0007,0.0005,0.0001,0.0004,0.0000,404,0.4032
0.0013,0.0008,0.0004,0.0000,0.0005,0.0000,404,0.4032
0.0009,0.0005,0.0002,0.0000,0.0003,0.0001,404,0.6035
0.0012,0.0007,0.0003,0.0001,0.0002,0.0000,404,0.6033
0.0013,0.0007,0.0004,0.0001,0.0003,0.0000,404,0.6032
0.0012,0.0007,0.0003,0.0001,0.0003,0.0001,404,0.6034
0.0013,0.0006,0.0003,0.0001,0.0005,0.0001,404,0.6034
0.0010,0.0006,0.0003,0.0000,0.0003,0.0000,404,0.8032
0.0012,0.0008,0.0004,0.0001,0.0002,0.0001,404,0.8031
0.0011,0.0007,0.0004,0.0001,0.0003,0.0001,404,0.8032
0.0011,0.0007,0.0004,0.0001,0.0004,0.0000,404,0.8032
0.0012,0.0009,0.0003,0.0000,0.0002,0.0000,404,0.8032
0.0012,0.0007,0.0003,0.0000,0.0003,0.0001,404,1.0032
0.0013,0.0009,0.0004,0.0001,0.0002,0.0000,404,1.0031
0.0015,0.0009,0.0003,0.0000,0.0005,0.0001,404,1.0032
0.0015,0.0007,0.0004,0.0001,0.0006,0.0000,404,1.0032
0.0015,0.0008,0.0004,0.0001,0.0006,0.0000,404,1.0032
0.0011,0.0007,0.0005,0.0000,0.0003,0.0001,404,1.2032
0.0013,0.0009,0.0005,0.0000,0.0003,0.0000,404,1.2031
0.0011,0.0007,0.0003,0.0001,0.0003,0.0001,404,1.2033
0.0011,0.0005,0.0002,0.0000,0.0005,0.0000,404,1.2034
0.0012,0.0006,0.0003,0.0001,0.0005,0.0000,404,1.2034
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.4033
0.0010,0.0005,0.0004,0.0001,0.0003,0.0000,404,1.4034
0.0012,0.0006,0.0004,0.0001,0.0003,0.0001,404,1.4032
0.0010,0.0006,0.0002,0.0001,0.0003,0.0000,404,1.4034
0.0012,0.0007,0.0003,0.0001,0.0004,0.0001,404,1.4033
0.0010,0.0006,0.0003,0.0000,0.0003,0.0001,404,1.6033
0.0011,0.0007,0.0003,0.0000,0.0003,0.0000,404,1.6032
0.0011,0.0007,0.0004,0.0001,0.0003,0.0000,404,1.6033
0.0012,0.0006,0.0004,0.0001,0.0005,0.0000,404,1.6033
0.0014,0.0007,0.0005,0.0001,0.0005,0.0000,404,1.6031
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.8033
0.0012,0.0008,0.0003,0.0000,0.0003,0.0001,404,1.8032
0.0013,0.0007,0.0004,0.0001,0.0003,0.0001,404,1.8032
0.0012,0.0006,0.0002,0.0000,0.0006,0.0000,404,1.8033
0.0012,0.0006,0.0003,0.0001,0.0005,0.0000,404,1.8033
0.0009,0.0005,0.0003,0.0001,0.0002,0.0001,404,2.0033
0.0010,0.0005,0.0003,0.0001,0.0004,0.0000,404,2.0033
0.0010,0.0006,0.0002,0.0001,0.0002,0.0001,404,2.0032
0.0012,0.0007,0.0004,0.0001,0.0004,0.0000,404,2.0031
0.0012,0.0006,0.0002,0.0001,0.0004,0.0000,404,2.0032
