response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2882,0.0007,0.0005,0.0001,0.0143,0.2730,200,0.2039
0.5855,0.0009,0.0005,0.0001,0.3024,0.2821,200,0.2038
0.8793,0.0008,0.0005,0.0001,0.5985,0.2798,200,0.2039
1.1690,0.0009,0.0005,0.0001,0.8921,0.2758,200,0.2038
1.4575,0.0008,0.0004,0.0001,1.1820,0.2746,200,0.2039
1.4676,0.0005,0.0003,0.0000,1.1823,0.2846,200,0.4921
1.4576,0.0005,0.0003,0.0000,1.1836,0.2734,200,0.7893
1.4599,0.0006,0.0003,0.0000,1.1769,0.2824,200,1.0832
1.4680,0.0005,0.0003,0.0000,1.1835,0.2838,200,1.3727
1.4692,0.0005,0.0003,0.0000,1.1928,0.2758,200,1.6614
1.4622,0.0005,0.0003,0.0000,1.1855,0.2762,200,1.9597
1.4655,0.0005,0.0003,0.0000,1.1884,0.2766,200,2.2469
1.4593,0.0005,0.0003,0.0000,1.1826,0.2761,200,2.5431
1.4508,0.0005,0.0003,0.0000,1.1747,0.2756,200,2.8407
1.4476,0.0005,0.0003,0.0000,1.1742,0.2727,200,3.1307
1.4451,0.0005,0.0003,0.0000,1.1695,0.2751,200,3.4219
1.4483,0.0005,0.0003,0.0001,1.1710,0.2768,200,3.7124
1.4476,0.0005,0.0003,0.0001,1.1719,0.2751,200,4.0024
1.4527,0.0005,0.0003,0.0001,1.1716,0.2804,200,4.2915
1.4544,0.0005,0.0003,0.0001,1.1791,0.2747,200,4.5783
1.4516,0.0005,0.0003,0.0001,1.1791,0.2719,200,4.8670
1.4417,0.0006,0.0004,0.0001,1.1708,0.2702,200,5.1607
1.4382,0.0005,0.0003,0.0000,1.1657,0.2719,200,5.4500
1.4315,0.0006,0.0003,0.0001,1.1591,0.2717,200,5.7443
1.4277,0.0006,0.0003,0.0001,1.1557,0.2712,200,6.0327
1.4279,0.0005,0.0003,0.0000,1.1549,0.2724,200,6.3185
1.4373,0.0005,0.0003,0.0000,1.1572,0.2795,200,6.6025
1.4383,0.0006,0.0004,0.0000,1.1646,0.2730,200,6.8882
1.4513,0.0005,0.0003,0.0000,1.1654,0.2853,200,7.1758
1.4697,0.0006,0.0004,0.0001,1.1799,0.2891,200,7.4604
1.4711,0.0006,0.0003,0.0001,1.1970,0.2734,200,7.7465
1.4653,0.0006,0.0004,0.0000,1.1912,0.2734,200,8.0397
1.4667,0.0005,0.0003,0.0001,1.1918,0.2743,200,8.3265
1.4663,0.0005,0.0003,0.0000,1.1794,0.2863,200,8.6270
1.4548,0.0006,0.0004,0.0001,1.1765,0.2776,200,8.9301
1.4582,0.0006,0.0004,0.0000,1.1805,0.2770,200,9.2176
1.4696,0.0006,0.0003,0.0006,1.1837,0.2847,200,9.5050
1.4666,0.0006,0.0004,0.0000,1.1949,0.2710,200,9.7932
1.4515,0.0006,0.0004,0.0000,1.1796,0.2713,200,10.0933
1.4536,0.0006,0.0003,0.0000,1.1728,0.2801,200,10.3849
1.4483,0.0005,0.0003,0.0001,1.1755,0.2723,200,10.6758
1.4334,0.0005,0.0003,0.0000,1.1635,0.2694,200,10.9746
1.4363,0.0005,0.0003,0.0000,1.1612,0.2746,200,11.2598
1.4414,0.0005,0.0003,0.0000,1.1656,0.2752,200,11.5448
1.4294,0.0005,0.0003,0.0000,1.1609,0.2680,200,11.8385
1.4293,0.0005,0.0003,0.0001,1.1567,0.2720,200,12.1241
1.4320,0.0005,0.0003,0.0000,1.1582,0.2732,200,12.4080
1.4268,0.0007,0.0004,0.0001,1.1569,0.2691,200,12.6962
1.4175,0.0005,0.0003,0.0000,1.1502,0.2668,200,12.9862
1.4484,0.0005,0.0003,0.0000,1.1491,0.2987,200,13.2679
1.4811,0.0005,0.0003,0.0000,1.1774,0.3031,200,13.5534
1.5125,0.0005,0.0003,0.0000,1.2111,0.3008,200,13.8401
1.5447,0.0005,0.0003,0.0001,1.2440,0.3002,200,14.1229
1.5817,0.0006,0.0003,0.0001,1.2781,0.3029,200,14.4038
1.5823,0.0006,0.0003,0.0001,1.2835,0.2982,200,14.7163
