response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.1643,0.0013,0.0010,0.0001,2.1627,0.0001,200,0.2031
4.2907,0.0014,0.0009,0.0001,4.2891,0.0001,200,0.2033
6.4180,0.0015,0.0010,0.0001,6.4163,0.0001,200,0.2032
8.5552,0.0014,0.0010,0.0001,8.5536,0.0001,200,0.2032
10.6898,0.0015,0.0011,0.0001,10.6880,0.0001,200,0.2031
10.6693,0.0006,0.0003,0.0001,10.6685,0.0001,200,2.3674
10.6764,0.0006,0.0003,0.0001,10.6757,0.0001,200,4.4940
6.4154,0.0005,0.0003,0.0000,6.4147,0.0001,200,10.8929
10.6786,0.0005,0.0003,0.0001,10.6779,0.0001,200,8.7584
14.9484,0.0007,0.0005,0.0001,14.9475,0.0001,200,6.6212
10.6769,0.0005,0.0003,0.0001,10.6762,0.0001,200,13.0367
4.2742,0.0006,0.0003,0.0000,4.2735,0.0001,200,21.5696
12.8015,0.0005,0.0003,0.0000,12.8008,0.0001,200,15.1704
12.7916,0.0005,0.0003,0.0000,12.7909,0.0001,200,17.3082
12.7924,0.0006,0.0003,0.0000,12.7917,0.0001,200,19.4370
6.4139,0.0005,0.0003,0.0001,6.4132,0.0001,200,27.9719
10.6703,0.0006,0.0003,0.0001,10.6696,0.0001,200,25.8438
8.5380,0.0006,0.0004,0.0000,8.5373,0.0001,200,30.0998
17.0562,0.0005,0.0003,0.0000,17.0555,0.0001,200,23.7137
10.6802,0.0005,0.0003,0.0000,10.6794,0.0001,200,32.2294
8.5247,0.0007,0.0004,0.0000,8.5239,0.0001,200,36.5141
12.7890,0.0006,0.0004,0.0000,12.7882,0.0001,200,34.3858
10.6707,0.0005,0.0003,0.0000,10.6701,0.0001,200,38.6379
10.6666,0.0007,0.0005,0.0001,10.6658,0.0001,200,40.7698
10.6716,0.0007,0.0005,0.0000,10.6707,0.0001,200,42.9096
4.2757,0.0005,0.0003,0.0000,4.2751,0.0001,200,51.4365
10.6630,0.0005,0.0003,0.0000,10.6624,0.0001,200,47.1748
14.9228,0.0005,0.0003,0.0000,14.9221,0.0001,200,45.0388
12.7744,0.0005,0.0003,0.0000,12.7737,0.0001,200,49.3086
6.3872,0.0005,0.0003,0.0000,6.3865,0.0001,200,57.8378
6.3977,0.0005,0.0003,0.0000,6.3970,0.0001,200,59.9616
12.7754,0.0005,0.0003,0.0000,12.7747,0.0001,200,55.7122
17.0358,0.0005,0.0003,0.0000,17.0352,0.0001,200,53.5812
