response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2546,0.0005,0.0002,0.0001,2.2539,0.0002,200,0.2045
4.4789,0.0007,0.0004,0.0001,4.4780,0.0001,200,0.2044
6.6971,0.0015,0.0010,0.0001,6.6953,0.0001,200,0.2036
8.9167,0.0006,0.0004,0.0001,8.9158,0.0001,200,0.2044
11.1336,0.0013,0.0005,0.0001,11.1318,0.0001,200,0.2036
11.0955,0.0007,0.0005,0.0001,11.0946,0.0001,200,2.4591
11.0885,0.0006,0.0004,0.0000,11.0878,0.0001,200,4.6833
11.0885,0.0005,0.0003,0.0000,11.0878,0.0001,200,6.9007
11.0870,0.0006,0.0003,0.0000,11.0862,0.0001,200,9.1211
11.0884,0.0006,0.0003,0.0000,11.0876,0.0001,200,11.3371
11.0903,0.0005,0.0003,0.0000,11.0895,0.0001,200,13.5546
11.0962,0.0006,0.0003,0.0000,11.0954,0.0001,200,15.7718
11.1025,0.0005,0.0003,0.0000,11.1018,0.0001,200,17.9891
11.1053,0.0006,0.0003,0.0001,11.1045,0.0001,200,20.2080
11.1040,0.0006,0.0003,0.0000,11.1032,0.0001,200,22.4255
11.1021,0.0005,0.0003,0.0000,11.1014,0.0001,200,24.6449
11.0990,0.0006,0.0004,0.0000,11.0982,0.0001,200,26.8681
11.0926,0.0004,0.0003,0.0000,11.0920,0.0001,200,29.0916
11.0942,0.0005,0.0003,0.0000,11.0935,0.0001,200,31.3133
11.0975,0.0006,0.0004,0.0000,11.0967,0.0001,200,33.5295
11.0970,0.0005,0.0003,0.0000,11.0963,0.0001,200,35.7470
11.0947,0.0005,0.0003,0.0000,11.0940,0.0001,200,37.9671
11.0978,0.0006,0.0003,0.0000,11.0971,0.0001,200,40.1842
11.1122,0.0005,0.0003,0.0000,11.1115,0.0001,200,42.4075
11.1216,0.0006,0.0003,0.0000,11.1209,0.0001,200,44.6270
11.1400,0.0006,0.0003,0.0000,11.1392,0.0001,200,46.8440
11.1584,0.0006,0.0003,0.0000,11.1576,0.0001,200,49.0618
11.1676,0.0005,0.0003,0.0000,11.1670,0.0001,200,51.2820
11.1490,0.0005,0.0003,0.0000,11.1482,0.0002,200,53.5197
11.1452,0.0006,0.0003,0.0000,11.1444,0.0001,200,55.7486
11.1302,0.0006,0.0004,0.0000,11.1294,0.0001,200,57.9840
