response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0012,0.0009,0.0001,0.0003,0.0001,404,0.2045
0.0034,0.0014,0.0009,0.0001,0.0013,0.0006,404,0.2046
0.0036,0.0015,0.0010,0.0001,0.0015,0.0005,404,0.2044
0.0034,0.0013,0.0010,0.0001,0.0018,0.0003,404,0.2046
0.0036,0.0014,0.0010,0.0001,0.0019,0.0001,404,0.2044
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,0.4044
0.0011,0.0006,0.0002,0.0001,0.0005,0.0001,404,0.4045
0.0014,0.0009,0.0004,0.0001,0.0002,0.0001,404,0.4043
0.0012,0.0007,0.0003,0.0001,0.0004,0.0000,404,0.4045
0.0013,0.0007,0.0003,0.0001,0.0005,0.0000,404,0.4045
0.0013,0.0008,0.0004,0.0001,0.0003,0.0001,404,0.6044
0.0013,0.0008,0.0005,0.0001,0.0004,0.0000,404,0.6044
0.0014,0.0008,0.0004,0.0001,0.0004,0.0001,404,0.6044
0.0014,0.0008,0.0004,0.0001,0.0005,0.0000,404,0.6045
0.0016,0.0009,0.0003,0.0001,0.0005,0.0000,404,0.6044
0.0010,0.0006,0.0004,0.0001,0.0002,0.0001,404,0.8045
0.0011,0.0006,0.0004,0.0001,0.0004,0.0000,404,0.8044
0.0013,0.0007,0.0005,0.0001,0.0004,0.0001,404,0.8043
0.0012,0.0007,0.0003,0.0000,0.0004,0.0000,404,0.8045
0.0014,0.0007,0.0004,0.0001,0.0005,0.0000,404,0.8044
0.0011,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.0045
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,1.0043
0.0011,0.0007,0.0003,0.0001,0.0002,0.0000,404,1.0044
0.0011,0.0006,0.0004,0.0001,0.0003,0.0000,404,1.0045
0.0012,0.0006,0.0002,0.0001,0.0004,0.0001,404,1.0045
0.0009,0.0004,0.0002,0.0001,0.0002,0.0001,404,1.2045
0.0010,0.0006,0.0003,0.0001,0.0002,0.0001,404,1.2045
0.0011,0.0006,0.0004,0.0001,0.0004,0.0000,404,1.2044
0.0010,0.0006,0.0003,0.0001,0.0003,0.0000,404,1.2045
0.0012,0.0006,0.0003,0.0001,0.0004,0.0000,404,1.2045
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.4046
0.0012,0.0008,0.0005,0.0001,0.0003,0.0000,404,1.4044
0.0011,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.4045
0.0011,0.0006,0.0002,0.0001,0.0004,0.0000,404,1.4046
0.0011,0.0005,0.0003,0.0001,0.0004,0.0000,404,1.4046
0.0010,0.0006,0.0003,0.0000,0.0003,0.0001,404,1.6046
0.0012,0.0008,0.0003,0.0000,0.0003,0.0001,404,1.6044
0.0013,0.0008,0.0005,0.0001,0.0004,0.0000,404,1.6044
0.0012,0.0006,0.0004,0.0001,0.0005,0.0000,404,1.6045
0.0013,0.0006,0.0004,0.0001,0.0006,0.0001,404,1.6045
0.0009,0.0005,0.0003,0.0001,0.0002,0.0001,404,1.8045
0.0008,0.0003,0.0001,0.0000,0.0004,0.0001,404,1.8046
0.0010,0.0005,0.0003,0.0000,0.0003,0.0000,404,1.8045
0.0012,0.0008,0.0004,0.0000,0.0003,0.0000,404,1.8043
0.0012,0.0005,0.0003,0.0001,0.0005,0.0000,404,1.8044
0.0010,0.0006,0.0003,0.0000,0.0003,0.0001,404,2.0045
0.0012,0.0007,0.0004,0.0001,0.0003,0.0000,404,2.0045
0.0014,0.0008,0.0004,0.0000,0.0005,0.0000,404,2.0044
0.0015,0.0008,0.0005,0.0001,0.0006,0.0000,404,2.0043
0.0013,0.0007,0.0004,0.0001,0.0006,0.0000,404,2.0045
0.0010,0.0006,0.0004,0.0001,0.0002,0.0001,404,2.2044
0.0010,0.0006,0.0003,0.0001,0.0002,0.0000,404,2.2044
0.0010,0.0006,0.0003,0.0001,0.0003,0.0000,404,2.2045
0.0011,0.0005,0.0003,0.0001,0.0005,0.0000,404,2.2045
0.0011,0.0006,0.0002,0.0001,0.0005,0.0000,404,2.2045
0.0009,0.0005,0.0003,0.0001,0.0002,0.0001,404,2.4046
0.0009,0.0005,0.0002,0.0001,0.0003,0.0000,404,2.4046
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,2.4044
0.0011,0.0005,0.0003,0.0001,0.0005,0.0000,404,2.4046
0.0013,0.0006,0.0002,0.0001,0.0004,0.0000,404,2.4044
0.0013,0.0006,0.0004,0.0001,0.0003,0.0002,404,2.6045
0.0013,0.0007,0.0002,0.0001,0.0003,0.0001,404,2.6044
0.0014,0.0008,0.0003,0.0002,0.0004,0.0001,404,2.6045
0.0013,0.0006,0.0003,0.0001,0.0005,0.0000,404,2.6046
0.0015,0.0006,0.0003,0.0006,0.0002,0.0000,404,2.6046
0.0011,0.0006,0.0003,0.0000,0.0003,0.0001,404,2.8044
0.0010,0.0007,0.0002,0.0001,0.0002,0.0000,404,2.8045
0.0010,0.0006,0.0003,0.0001,0.0002,0.0001,404,2.8045
0.0013,0.0007,0.0003,0.0001,0.0004,0.0000,404,2.8044
0.0013,0.0006,0.0003,0.0001,0.0004,0.0001,404,2.8045
0.0009,0.0005,0.0002,0.0000,0.0003,0.0001,404,3.0045
0.0011,0.0007,0.0004,0.0001,0.0003,0.0000,404,3.0045
0.0011,0.0006,0.0004,0.0001,0.0004,0.0000,404,3.0045
0.0012,0.0007,0.0004,0.0001,0.0003,0.0000,404,3.0044
0.0012,0.0006,0.0004,0.0001,0.0004,0.0001,404,3.0045
0.0009,0.0005,0.0002,0.0001,0.0003,0.0001,404,3.2047
0.0013,0.0008,0.0004,0.0001,0.0002,0.0001,404,3.2045
0.0014,0.0009,0.0005,0.0001,0.0002,0.0001,404,3.2044
0.0011,0.0006,0.0004,0.0001,0.0004,0.0001,404,3.2047
0.0012,0.0006,0.0003,0.0001,0.0004,0.0000,404,3.2047
0.0009,0.0005,0.0002,0.0000,0.0004,0.0001,404,3.4047
0.0011,0.0006,0.0004,0.0001,0.0003,0.0001,404,3.4046
0.0011,0.0005,0.0003,0.0001,0.0004,0.0001,404,3.4046
0.0014,0.0008,0.0005,0.0000,0.0005,0.0000,404,3.4044
0.0014,0.0007,0.0004,0.0001,0.0006,0.0001,404,3.4045
0.0011,0.0007,0.0003,0.0000,0.0003,0.0001,404,3.6044
