response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0011,0.0009,0.0001,0.0003,0.0001,404,0.2039
0.0016,0.0010,0.0007,0.0001,0.0004,0.0001,404,0.2039
0.0021,0.0012,0.0009,0.0001,0.0004,0.0001,404,0.2036
0.0018,0.0012,0.0009,0.0001,0.0005,0.0001,404,0.2038
0.0021,0.0014,0.0009,0.0001,0.0005,0.0001,404,0.2036
0.0012,0.0008,0.0005,0.0001,0.0003,0.0001,404,0.4036
0.0011,0.0007,0.0003,0.0001,0.0002,0.0000,404,0.4037
0.0011,0.0005,0.0003,0.0000,0.0004,0.0001,404,0.4038
0.0015,0.0008,0.0003,0.0001,0.0004,0.0002,404,0.4036
0.0013,0.0007,0.0004,0.0001,0.0005,0.0001,404,0.4038
0.0013,0.0008,0.0005,0.0001,0.0003,0.0001,404,0.6036
0.0014,0.0009,0.0004,0.0001,0.0003,0.0001,404,0.6035
0.0013,0.0008,0.0004,0.0001,0.0004,0.0000,404,0.6036
0.0014,0.0008,0.0004,0.0000,0.0005,0.0001,404,0.6036
0.0014,0.0008,0.0003,0.0001,0.0005,0.0000,404,0.6037
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,0.8037
0.0010,0.0006,0.0002,0.0001,0.0003,0.0000,404,0.8039
0.0012,0.0006,0.0004,0.0001,0.0004,0.0001,404,0.8039
0.0015,0.0008,0.0005,0.0001,0.0005,0.0000,404,0.8036
0.0015,0.0009,0.0004,0.0001,0.0004,0.0001,404,0.8036
0.0010,0.0006,0.0003,0.0000,0.0003,0.0001,404,1.0036
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.0037
0.0010,0.0006,0.0003,0.0000,0.0004,0.0000,404,1.0037
0.0012,0.0006,0.0004,0.0001,0.0004,0.0000,404,1.0036
0.0011,0.0006,0.0002,0.0000,0.0005,0.0000,404,1.0037
0.0012,0.0008,0.0004,0.0000,0.0003,0.0001,404,1.2036
0.0013,0.0009,0.0006,0.0001,0.0002,0.0000,404,1.2036
0.0012,0.0008,0.0004,0.0001,0.0003,0.0000,404,1.2038
0.0011,0.0008,0.0002,0.0000,0.0003,0.0000,404,1.2039
0.0015,0.0009,0.0004,0.0001,0.0004,0.0001,404,1.2036
0.0011,0.0006,0.0004,0.0000,0.0003,0.0001,404,1.4036
0.0011,0.0005,0.0003,0.0000,0.0004,0.0001,404,1.4037
0.0012,0.0007,0.0004,0.0000,0.0004,0.0000,404,1.4036
0.0013,0.0006,0.0004,0.0001,0.0006,0.0000,404,1.4036
0.0014,0.0007,0.0004,0.0001,0.0006,0.0000,404,1.4036
0.0010,0.0006,0.0004,0.0001,0.0003,0.0001,404,1.6036
0.0011,0.0007,0.0005,0.0001,0.0003,0.0001,404,1.6035
0.0012,0.0007,0.0003,0.0001,0.0003,0.0000,404,1.6036
0.0012,0.0007,0.0004,0.0001,0.0004,0.0001,404,1.6036
0.0013,0.0007,0.0004,0.0001,0.0005,0.0000,404,1.6036
0.0011,0.0006,0.0002,0.0001,0.0004,0.0001,404,1.8035
0.0013,0.0006,0.0004,0.0001,0.0004,0.0001,404,1.8036
0.0012,0.0006,0.0004,0.0001,0.0004,0.0001,404,1.8036
0.0013,0.0007,0.0004,0.0001,0.0004,0.0000,404,1.8036
0.0013,0.0007,0.0004,0.0001,0.0005,0.0000,404,1.8036
0.0012,0.0008,0.0004,0.0001,0.0003,0.0001,404,2.0036
0.0013,0.0009,0.0004,0.0001,0.0003,0.0000,404,2.0036
0.0012,0.0007,0.0003,0.0001,0.0004,0.0000,404,2.0037
0.0013,0.0007,0.0004,0.0001,0.0003,0.0002,404,2.0037
0.0015,0.0007,0.0004,0.0001,0.0005,0.0000,404,2.0036
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,2.2037
0.0011,0.0007,0.0004,0.0001,0.0003,0.0000,404,2.2036
0.0012,0.0007,0.0003,0.0001,0.0004,0.0000,404,2.2036
0.0012,0.0006,0.0003,0.0001,0.0005,0.0000,404,2.2036
0.0029,0.0008,0.0003,0.0019,0.0002,0.0000,404,2.2035
0.0013,0.0006,0.0004,0.0001,0.0003,0.0001,404,2.4036
0.0010,0.0006,0.0002,0.0001,0.0003,0.0000,404,2.4039
0.0013,0.0009,0.0005,0.0001,0.0003,0.0000,404,2.4036
0.0012,0.0006,0.0003,0.0001,0.0005,0.0000,404,2.4039
0.0015,0.0008,0.0004,0.0001,0.0005,0.0001,404,2.4037
0.0009,0.0005,0.0001,0.0001,0.0002,0.0000,404,2.6037
0.0008,0.0004,0.0001,0.0000,0.0004,0.0000,404,2.6037
0.0009,0.0004,0.0001,0.0001,0.0004,0.0000,404,2.6038
0.0010,0.0004,0.0002,0.0001,0.0005,0.0000,404,2.6038
0.0013,0.0007,0.0004,0.0001,0.0005,0.0000,404,2.6034
0.0010,0.0006,0.0004,0.0001,0.0002,0.0001,404,2.8036
0.0012,0.0007,0.0004,0.0001,0.0003,0.0000,404,2.8036
0.0012,0.0006,0.0003,0.0001,0.0003,0.0000,404,2.8036
0.0012,0.0007,0.0003,0.0001,0.0004,0.0000,404,2.8036
0.0013,0.0007,0.0004,0.0001,0.0005,0.0000,404,2.8035
0.0010,0.0005,0.0002,0.0000,0.0004,0.0001,404,3.0038
0.0013,0.0007,0.0003,0.0001,0.0005,0.0001,404,3.0036
0.0013,0.0007,0.0004,0.0001,0.0005,0.0000,404,3.0036
0.0015,0.0007,0.0003,0.0000,0.0006,0.0001,404,3.0036
0.0014,0.0005,0.0003,0.0001,0.0007,0.0000,404,3.0037
0.0010,0.0006,0.0004,0.0001,0.0002,0.0001,404,3.2037
0.0013,0.0008,0.0005,0.0001,0.0003,0.0001,404,3.2034
0.0011,0.0006,0.0004,0.0001,0.0004,0.0001,404,3.2037
0.0011,0.0006,0.0003,0.0001,0.0004,0.0000,404,3.2037
0.0013,0.0007,0.0003,0.0001,0.0004,0.0000,404,3.2036
0.0009,0.0005,0.0002,0.0000,0.0003,0.0001,404,3.4036
0.0011,0.0007,0.0003,0.0001,0.0002,0.0000,404,3.4036
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,3.4036
0.0011,0.0006,0.0003,0.0001,0.0003,0.0000,404,3.4036
0.0012,0.0007,0.0004,0.0001,0.0004,0.0000,404,3.4035
0.0013,0.0008,0.0004,0.0001,0.0003,0.0000,404,3.6035
0.0012,0.0008,0.0003,0.0001,0.0003,0.0000,404,3.6036
0.0013,0.0006,0.0003,0.0000,0.0006,0.0001,404,3.6036
0.0016,0.0008,0.0004,0.0001,0.0006,0.0001,404,3.6036
0.0016,0.0008,0.0004,0.0001,0.0006,0.0000,404,3.6036
0.0011,0.0006,0.0003,0.0000,0.0004,0.0000,404,3.8037
0.0012,0.0008,0.0004,0.0001,0.0002,0.0000,404,3.8036
0.0012,0.0007,0.0004,0.0001,0.0003,0.0002,404,3.8037
0.0014,0.0008,0.0004,0.0001,0.0005,0.0000,404,3.8037
0.0016,0.0009,0.0004,0.0001,0.0005,0.0000,404,3.8035
0.0011,0.0006,0.0003,0.0001,0.0004,0.0000,404,4.0036
0.0012,0.0006,0.0003,0.0001,0.0003,0.0001,404,4.0036
0.0013,0.0007,0.0003,0.0001,0.0004,0.0000,404,4.0036
0.0013,0.0007,0.0003,0.0001,0.0004,0.0001,404,4.0036
0.0014,0.0007,0.0003,0.0001,0.0006,0.0000,404,4.0035
0.0012,0.0006,0.0004,0.0001,0.0004,0.0001,404,4.2036
0.0013,0.0007,0.0004,0.0001,0.0004,0.0001,404,4.2036
