response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0045,0.0007,0.0004,0.0001,0.0036,0.0001,200,0.2040
0.0077,0.0009,0.0005,0.0000,0.0063,0.0001,200,0.2036
0.0105,0.0012,0.0005,0.0001,0.0090,0.0001,200,0.2034
0.0128,0.0008,0.0005,0.0001,0.0118,0.0001,200,0.2039
0.0154,0.0008,0.0005,0.0001,0.0145,0.0001,200,0.2039
0.0043,0.0005,0.0003,0.0001,0.0036,0.0001,200,0.4036
0.0070,0.0005,0.0003,0.0000,0.0064,0.0001,200,0.4036
0.0097,0.0006,0.0003,0.0001,0.0090,0.0001,200,0.4035
0.0126,0.0006,0.0004,0.0001,0.0118,0.0001,200,0.4034
0.0151,0.0005,0.0002,0.0001,0.0144,0.0001,200,0.4036
0.0044,0.0006,0.0005,0.0001,0.0035,0.0001,200,0.6034
0.0070,0.0005,0.0003,0.0000,0.0063,0.0001,200,0.6035
0.0097,0.0006,0.0003,0.0001,0.0090,0.0000,200,0.6035
0.0124,0.0006,0.0004,0.0001,0.0117,0.0001,200,0.6035
0.0151,0.0006,0.0003,0.0001,0.0144,0.0001,200,0.6035
0.0043,0.0007,0.0004,0.0001,0.0035,0.0001,200,0.8035
0.0070,0.0007,0.0003,0.0001,0.0061,0.0001,200,0.8035
0.0098,0.0007,0.0004,0.0001,0.0089,0.0001,200,0.8035
0.0126,0.0008,0.0005,0.0001,0.0116,0.0001,200,0.8034
0.0152,0.0007,0.0004,0.0001,0.0144,0.0001,200,0.8035
0.0044,0.0006,0.0003,0.0000,0.0037,0.0001,200,1.0036
0.0073,0.0007,0.0003,0.0001,0.0064,0.0001,200,1.0035
0.0099,0.0006,0.0002,0.0001,0.0091,0.0000,200,1.0036
0.0128,0.0007,0.0003,0.0001,0.0119,0.0001,200,1.0036
0.0157,0.0008,0.0005,0.0001,0.0147,0.0001,200,1.0034
0.0045,0.0008,0.0005,0.0001,0.0035,0.0001,200,1.2033
0.0069,0.0006,0.0001,0.0001,0.0061,0.0001,200,1.2037
0.0096,0.0006,0.0002,0.0001,0.0088,0.0001,200,1.2037
0.0124,0.0006,0.0002,0.0001,0.0116,0.0001,200,1.2036
0.0150,0.0005,0.0002,0.0001,0.0143,0.0000,200,1.2037
0.0047,0.0008,0.0005,0.0001,0.0037,0.0001,200,1.4034
0.0074,0.0007,0.0004,0.0001,0.0064,0.0001,200,1.4035
0.0100,0.0007,0.0004,0.0001,0.0092,0.0000,200,1.4036
0.0129,0.0010,0.0004,0.0000,0.0117,0.0001,200,1.4035
0.0155,0.0009,0.0003,0.0000,0.0145,0.0001,200,1.4036
0.0045,0.0006,0.0003,0.0000,0.0037,0.0001,200,1.6036
0.0072,0.0008,0.0003,0.0000,0.0063,0.0000,200,1.6035
0.0099,0.0007,0.0004,0.0001,0.0090,0.0001,200,1.6036
0.0128,0.0008,0.0003,0.0001,0.0118,0.0001,200,1.6035
0.0155,0.0008,0.0004,0.0001,0.0145,0.0001,200,1.6035
0.0042,0.0005,0.0003,0.0001,0.0035,0.0001,200,1.8038
0.0073,0.0007,0.0004,0.0001,0.0063,0.0001,200,1.8035
0.0098,0.0013,0.0003,0.0001,0.0084,0.0001,200,1.8036
0.0125,0.0006,0.0003,0.0007,0.0112,0.0001,200,1.8037
0.0152,0.0005,0.0002,0.0006,0.0139,0.0000,200,1.8038
0.0045,0.0006,0.0003,0.0001,0.0037,0.0001,200,2.0036
0.0073,0.0007,0.0003,0.0001,0.0063,0.0001,200,2.0036
0.0100,0.0007,0.0003,0.0001,0.0091,0.0001,200,2.0035
0.0127,0.0007,0.0004,0.0001,0.0119,0.0001,200,2.0035
0.0156,0.0008,0.0004,0.0001,0.0145,0.0001,200,2.0034
0.0044,0.0006,0.0003,0.0000,0.0036,0.0001,200,2.2035
0.0071,0.0006,0.0004,0.0001,0.0062,0.0001,200,2.2035
0.0097,0.0006,0.0003,0.0000,0.0090,0.0001,200,2.2036
0.0124,0.0006,0.0004,0.0000,0.0117,0.0000,200,2.2036
0.0153,0.0008,0.0004,0.0001,0.0143,0.0001,200,2.2034
0.0047,0.0008,0.0005,0.0001,0.0037,0.0001,200,2.4034
0.0072,0.0006,0.0002,0.0001,0.0064,0.0001,200,2.4037
0.0099,0.0005,0.0002,0.0000,0.0093,0.0001,200,2.4037
0.0127,0.0006,0.0002,0.0001,0.0120,0.0001,200,2.4037
0.0154,0.0005,0.0003,0.0001,0.0147,0.0001,200,2.4037
0.0043,0.0005,0.0002,0.0000,0.0037,0.0001,200,2.6037
0.0070,0.0005,0.0003,0.0001,0.0063,0.0001,200,2.6036
0.0100,0.0008,0.0004,0.0001,0.0090,0.0001,200,2.6034
0.0125,0.0006,0.0004,0.0001,0.0118,0.0001,200,2.6036
0.0154,0.0007,0.0003,0.0000,0.0145,0.0001,200,2.6036
0.0056,0.0005,0.0003,0.0000,0.0050,0.0001,200,2.8036
0.0084,0.0008,0.0004,0.0001,0.0074,0.0001,200,2.8035
0.0172,0.0007,0.0004,0.0001,0.0163,0.0001,200,2.8036
0.0174,0.0008,0.0005,0.0001,0.0165,0.0001,200,2.8034
0.0174,0.0007,0.0004,0.0001,0.0165,0.0001,200,2.8036
0.0044,0.0006,0.0004,0.0001,0.0036,0.0001,200,3.0036
0.0072,0.0007,0.0005,0.0001,0.0063,0.0001,200,3.0035
0.0099,0.0007,0.0004,0.0001,0.0090,0.0001,200,3.0035
0.0125,0.0006,0.0003,0.0001,0.0117,0.0001,200,3.0037
0.0153,0.0006,0.0004,0.0001,0.0145,0.0001,200,3.0036
0.0047,0.0008,0.0005,0.0001,0.0036,0.0001,200,3.2035
0.0073,0.0006,0.0003,0.0001,0.0065,0.0001,200,3.2037
0.0101,0.0007,0.0004,0.0001,0.0091,0.0001,200,3.2036
0.0129,0.0010,0.0004,0.0000,0.0118,0.0000,200,3.2035
0.0155,0.0007,0.0004,0.0001,0.0146,0.0001,200,3.2036
0.0043,0.0005,0.0001,0.0001,0.0036,0.0001,200,3.4036
0.0070,0.0004,0.0002,0.0001,0.0064,0.0001,200,3.4037
0.0097,0.0004,0.0001,0.0001,0.0091,0.0001,200,3.4037
0.0127,0.0007,0.0004,0.0001,0.0118,0.0001,200,3.4034
0.0152,0.0004,0.0002,0.0001,0.0147,0.0001,200,3.4036
0.0047,0.0008,0.0003,0.0001,0.0036,0.0001,200,3.6035
