response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0644,0.0012,0.0009,0.0001,0.0629,0.0001,200,0.2035
0.0696,0.0011,0.0008,0.0001,0.0681,0.0001,200,0.2033
0.0717,0.0012,0.0007,0.0001,0.0703,0.0001,200,0.2036
0.0729,0.0016,0.0010,0.0001,0.0711,0.0001,200,0.2031
0.0750,0.0012,0.0009,0.0001,0.0737,0.0001,200,0.2036
0.0407,0.0005,0.0002,0.0000,0.0400,0.0001,200,0.4033
0.0518,0.0005,0.0003,0.0001,0.0512,0.0001,200,0.4034
0.0594,0.0006,0.0001,0.0001,0.0586,0.0001,200,0.4034
0.0668,0.0006,0.0003,0.0000,0.0660,0.0001,200,0.4034
0.0709,0.0008,0.0005,0.0001,0.0698,0.0001,200,0.4031
0.0593,0.0008,0.0003,0.0001,0.0584,0.0001,200,0.6033
0.0630,0.0008,0.0003,0.0001,0.0619,0.0001,200,0.6032
0.0649,0.0009,0.0005,0.0001,0.0639,0.0001,200,0.6031
0.0794,0.0007,0.0004,0.0001,0.0785,0.0001,200,0.6032
0.0808,0.0008,0.0004,0.0001,0.0799,0.0000,200,0.6033
0.0453,0.0008,0.0004,0.0001,0.0443,0.0001,200,0.8032
0.0577,0.0006,0.0004,0.0000,0.0570,0.0001,200,0.8032
0.0681,0.0008,0.0005,0.0001,0.0671,0.0001,200,0.8031
0.0710,0.0007,0.0004,0.0001,0.0701,0.0001,200,0.8032
0.0724,0.0008,0.0003,0.0001,0.0715,0.0001,200,0.8032
0.0422,0.0005,0.0001,0.0001,0.0415,0.0001,200,1.0034
0.0652,0.0006,0.0003,0.0001,0.0645,0.0001,200,1.0033
0.0683,0.0005,0.0003,0.0001,0.0677,0.0001,200,1.0034
0.0700,0.0008,0.0004,0.0001,0.0690,0.0001,200,1.0031
0.0717,0.0005,0.0003,0.0001,0.0710,0.0001,200,1.0034
0.0584,0.0007,0.0003,0.0001,0.0575,0.0001,200,1.2032
0.0601,0.0005,0.0001,0.0001,0.0594,0.0001,200,1.2034
0.0670,0.0005,0.0002,0.0001,0.0664,0.0001,200,1.2034
0.0687,0.0008,0.0005,0.0001,0.0678,0.0001,200,1.2031
0.0700,0.0006,0.0003,0.0001,0.0692,0.0001,200,1.2032
0.0518,0.0004,0.0002,0.0000,0.0512,0.0001,200,1.4033
0.0535,0.0008,0.0004,0.0001,0.0525,0.0001,200,1.4031
0.0663,0.0005,0.0002,0.0001,0.0657,0.0001,200,1.4034
0.0688,0.0006,0.0002,0.0001,0.0681,0.0001,200,1.4034
0.0701,0.0006,0.0001,0.0001,0.0694,0.0000,200,1.4034
0.0479,0.0005,0.0003,0.0001,0.0472,0.0001,200,1.6034
0.0492,0.0005,0.0002,0.0000,0.0485,0.0001,200,1.6034
0.0575,0.0007,0.0003,0.0001,0.0567,0.0001,200,1.6032
0.0589,0.0006,0.0003,0.0001,0.0581,0.0000,200,1.6033
0.0605,0.0008,0.0004,0.0001,0.0595,0.0001,200,1.6031
0.0494,0.0006,0.0003,0.0001,0.0487,0.0001,200,1.8033
0.0540,0.0007,0.0003,0.0001,0.0531,0.0001,200,1.8032
0.0555,0.0008,0.0005,0.0001,0.0545,0.0001,200,1.8031
0.0571,0.0006,0.0003,0.0001,0.0563,0.0001,200,1.8033
0.0650,0.0005,0.0002,0.0000,0.0644,0.0001,200,1.8033
0.0460,0.0006,0.0003,0.0001,0.0451,0.0001,200,2.0032
0.0537,0.0007,0.0003,0.0001,0.0529,0.0001,200,2.0032
