response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0013,0.0007,0.0003,0.0001,0.0004,0.0001,404,0.2050
0.0020,0.0015,0.0005,0.0001,0.0003,0.0001,404,0.2043
0.0023,0.0018,0.0011,0.0001,0.0003,0.0001,404,0.2040
0.0025,0.0018,0.0011,0.0000,0.0005,0.0000,404,0.2042
0.0026,0.0017,0.0013,0.0001,0.0008,0.0001,404,0.2042
0.0011,0.0007,0.0004,0.0001,0.0003,0.0001,404,0.4042
0.0011,0.0007,0.0003,0.0001,0.0003,0.0000,404,0.4042
0.0013,0.0008,0.0004,0.0002,0.0003,0.0000,404,0.4041
0.0012,0.0007,0.0004,0.0001,0.0004,0.0000,404,0.4042
0.0014,0.0008,0.0003,0.0002,0.0004,0.0000,404,0.4042
0.0013,0.0008,0.0005,0.0001,0.0004,0.0001,404,0.6041
0.0013,0.0009,0.0004,0.0001,0.0003,0.0001,404,0.6042
0.0013,0.0008,0.0003,0.0001,0.0004,0.0000,404,0.6042
0.0014,0.0007,0.0004,0.0001,0.0003,0.0002,404,0.6042
0.0014,0.0008,0.0004,0.0001,0.0005,0.0000,404,0.6042
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,0.8041
0.0013,0.0008,0.0004,0.0001,0.0003,0.0001,404,0.8040
0.0013,0.0007,0.0003,0.0001,0.0004,0.0001,404,0.8042
0.0014,0.0007,0.0004,0.0001,0.0006,0.0000,404,0.8041
0.0014,0.0008,0.0003,0.0001,0.0005,0.0000,404,0.8041
0.0010,0.0006,0.0002,0.0001,0.0003,0.0001,404,1.0045
0.0012,0.0008,0.0004,0.0001,0.0002,0.0000,404,1.0044
0.0013,0.0009,0.0005,0.0001,0.0003,0.0001,404,1.0043
0.0016,0.0010,0.0007,0.0001,0.0005,0.0000,404,1.0042
0.0016,0.0011,0.0007,0.0000,0.0004,0.0000,404,1.0041
0.0010,0.0005,0.0003,0.0001,0.0003,0.0001,404,1.2042
0.0011,0.0007,0.0003,0.0001,0.0003,0.0000,404,1.2041
0.0013,0.0007,0.0004,0.0001,0.0004,0.0000,404,1.2040
0.0011,0.0006,0.0003,0.0001,0.0003,0.0001,404,1.2042
0.0011,0.0005,0.0001,0.0001,0.0005,0.0000,404,1.2042
0.0012,0.0007,0.0004,0.0000,0.0003,0.0001,404,1.4040
0.0010,0.0007,0.0003,0.0001,0.0002,0.0000,404,1.4042
0.0012,0.0007,0.0004,0.0001,0.0003,0.0000,404,1.4041
0.0011,0.0006,0.0003,0.0001,0.0004,0.0000,404,1.4042
0.0012,0.0008,0.0002,0.0000,0.0003,0.0000,404,1.4042
0.0010,0.0007,0.0004,0.0000,0.0003,0.0001,404,1.6042
0.0011,0.0007,0.0003,0.0000,0.0003,0.0000,404,1.6042
0.0012,0.0006,0.0004,0.0001,0.0004,0.0001,404,1.6041
0.0012,0.0008,0.0003,0.0000,0.0003,0.0001,404,1.6042
0.0014,0.0007,0.0004,0.0001,0.0005,0.0000,404,1.6041
0.0010,0.0004,0.0002,0.0001,0.0003,0.0001,404,1.8047
0.0015,0.0009,0.0006,0.0001,0.0003,0.0001,404,1.8042
