response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0009,0.0007,0.0001,0.0003,0.0000,404,0.2041
0.0017,0.0012,0.0009,0.0001,0.0003,0.0001,404,0.2039
0.0015,0.0010,0.0007,0.0001,0.0003,0.0001,404,0.2041
0.0017,0.0011,0.0008,0.0001,0.0003,0.0001,404,0.2040
0.0016,0.0011,0.0007,0.0000,0.0004,0.0000,404,0.2041
0.0010,0.0006,0.0003,0.0001,0.0003,0.0001,404,0.4040
0.0012,0.0007,0.0003,0.0001,0.0003,0.0001,404,0.4039
0.0012,0.0006,0.0003,0.0001,0.0004,0.0001,404,0.4040
0.0014,0.0007,0.0004,0.0001,0.0005,0.0001,404,0.4039
0.0013,0.0006,0.0003,0.0001,0.0006,0.0001,404,0.4040
0.0010,0.0006,0.0004,0.0000,0.0003,0.0000,404,0.6039
0.0009,0.0006,0.0002,0.0001,0.0003,0.0000,404,0.6040
0.0011,0.0008,0.0003,0.0000,0.0002,0.0000,404,0.6039
0.0011,0.0006,0.0003,0.0001,0.0004,0.0000,404,0.6040
0.0012,0.0007,0.0004,0.0001,0.0004,0.0001,404,0.6040
0.0012,0.0008,0.0006,0.0000,0.0003,0.0001,404,0.8040
0.0012,0.0006,0.0005,0.0001,0.0003,0.0001,404,0.8042
0.0014,0.0008,0.0004,0.0001,0.0004,0.0000,404,0.8040
0.0012,0.0007,0.0003,0.0001,0.0004,0.0000,404,0.8042
0.0014,0.0007,0.0004,0.0000,0.0005,0.0001,404,0.8041
0.0009,0.0005,0.0003,0.0000,0.0002,0.0001,404,1.0040
0.0010,0.0006,0.0002,0.0001,0.0002,0.0001,404,1.0040
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,1.0039
0.0011,0.0006,0.0003,0.0001,0.0004,0.0001,404,1.0040
0.0012,0.0006,0.0004,0.0001,0.0005,0.0000,404,1.0039
0.0011,0.0006,0.0004,0.0001,0.0002,0.0001,404,1.2039
0.0010,0.0005,0.0003,0.0001,0.0003,0.0000,404,1.2040
0.0010,0.0005,0.0003,0.0001,0.0003,0.0001,404,1.2040
0.0011,0.0005,0.0002,0.0001,0.0005,0.0000,404,1.2040
0.0013,0.0006,0.0003,0.0001,0.0005,0.0001,404,1.2039
0.0011,0.0006,0.0004,0.0001,0.0003,0.0001,404,1.4042
0.0011,0.0008,0.0003,0.0000,0.0002,0.0000,404,1.4042
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,1.4042
0.0014,0.0008,0.0004,0.0001,0.0003,0.0000,404,1.4040
0.0015,0.0008,0.0005,0.0001,0.0004,0.0001,404,1.4039
0.0010,0.0006,0.0003,0.0000,0.0003,0.0001,404,1.6039
0.0009,0.0005,0.0003,0.0001,0.0003,0.0000,404,1.6040
0.0010,0.0006,0.0002,0.0000,0.0003,0.0000,404,1.6040
0.0012,0.0007,0.0004,0.0001,0.0003,0.0001,404,1.6039
0.0012,0.0006,0.0003,0.0001,0.0004,0.0000,404,1.6039
