response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0504,0.0012,0.0008,0.0001,0.0490,0.0001,200,0.2068
0.0604,0.0012,0.0008,0.0001,0.0590,0.0001,200,0.2068
0.0780,0.0011,0.0007,0.0001,0.0767,0.0001,200,0.2069
0.0813,0.0010,0.0008,0.0001,0.0801,0.0000,200,0.2069
0.1049,0.0011,0.0008,0.0001,0.1036,0.0001,200,0.2069
0.0522,0.0006,0.0004,0.0001,0.0515,0.0001,200,0.4069
0.0617,0.0006,0.0004,0.0001,0.0609,0.0001,200,0.4069
0.0811,0.0007,0.0004,0.0001,0.0802,0.0001,200,0.4068
0.0827,0.0008,0.0004,0.0000,0.0818,0.0001,200,0.4068
0.1087,0.0006,0.0003,0.0000,0.1080,0.0001,200,0.4069
0.0528,0.0005,0.0002,0.0000,0.0520,0.0001,200,0.6067
0.0531,0.0006,0.0004,0.0000,0.0524,0.0000,200,0.6068
0.0825,0.0007,0.0003,0.0000,0.0817,0.0001,200,0.6068
0.0832,0.0006,0.0003,0.0001,0.0825,0.0000,200,0.6068
0.1098,0.0006,0.0003,0.0001,0.1091,0.0001,200,0.6069
0.0519,0.0008,0.0004,0.0001,0.0509,0.0001,200,0.8069
0.0518,0.0006,0.0004,0.0001,0.0511,0.0000,200,0.8070
0.0802,0.0007,0.0004,0.0001,0.0793,0.0001,200,0.8069
0.0809,0.0007,0.0002,0.0001,0.0800,0.0001,200,0.8071
0.1080,0.0006,0.0004,0.0001,0.1070,0.0001,200,0.8069
0.0515,0.0006,0.0003,0.0001,0.0508,0.0001,200,1.0069
0.0561,0.0006,0.0004,0.0000,0.0553,0.0001,200,1.0068
0.0809,0.0006,0.0003,0.0001,0.0801,0.0001,200,1.0069
0.0817,0.0006,0.0002,0.0001,0.0810,0.0000,200,1.0069
0.1082,0.0007,0.0003,0.0001,0.1073,0.0001,200,1.0068
0.0524,0.0005,0.0002,0.0000,0.0518,0.0001,200,1.2069
0.0526,0.0006,0.0004,0.0001,0.0518,0.0001,200,1.2068
0.0820,0.0006,0.0004,0.0001,0.0812,0.0001,200,1.2068
0.0820,0.0006,0.0003,0.0001,0.0813,0.0001,200,1.2068
0.1093,0.0006,0.0003,0.0001,0.1086,0.0001,200,1.2069
0.0465,0.0008,0.0003,0.0001,0.0455,0.0001,200,1.4068
0.0497,0.0007,0.0004,0.0001,0.0489,0.0001,200,1.4069
0.0747,0.0006,0.0003,0.0000,0.0739,0.0001,200,1.4069
0.0793,0.0008,0.0004,0.0001,0.0784,0.0001,200,1.4068
0.1035,0.0007,0.0004,0.0001,0.1027,0.0000,200,1.4069
0.0521,0.0005,0.0002,0.0000,0.0514,0.0001,200,1.6069
0.0605,0.0006,0.0004,0.0001,0.0598,0.0000,200,1.6069
0.0807,0.0007,0.0004,0.0001,0.0798,0.0001,200,1.6069
0.0835,0.0007,0.0004,0.0001,0.0826,0.0001,200,1.6068
0.1075,0.0008,0.0003,0.0001,0.1066,0.0001,200,1.6068
0.0512,0.0006,0.0002,0.0000,0.0504,0.0001,200,1.8069
0.0564,0.0006,0.0003,0.0000,0.0557,0.0001,200,1.8068
0.0797,0.0006,0.0003,0.0001,0.0789,0.0001,200,1.8069
0.0847,0.0007,0.0003,0.0001,0.0839,0.0001,200,1.8068
0.1075,0.0006,0.0003,0.0000,0.1068,0.0001,200,1.8069
0.0537,0.0007,0.0003,0.0001,0.0527,0.0001,200,2.0068
0.0538,0.0007,0.0004,0.0001,0.0529,0.0001,200,2.0068
0.0802,0.0009,0.0003,0.0000,0.0792,0.0001,200,2.0068
0.0802,0.0007,0.0003,0.0001,0.0793,0.0001,200,2.0069
0.1053,0.0006,0.0003,0.0001,0.1045,0.0001,200,2.0069
0.0495,0.0006,0.0003,0.0000,0.0487,0.0001,200,2.2068
0.0527,0.0006,0.0002,0.0001,0.0519,0.0001,200,2.2069
0.0784,0.0006,0.0003,0.0001,0.0777,0.0001,200,2.2069
0.0802,0.0007,0.0003,0.0001,0.0794,0.0000,200,2.2068
0.1069,0.0006,0.0003,0.0001,0.1060,0.0001,200,2.2069
0.0524,0.0007,0.0005,0.0001,0.0516,0.0001,200,2.4069
0.0563,0.0007,0.0003,0.0001,0.0554,0.0001,200,2.4070
0.0818,0.0008,0.0004,0.0001,0.0808,0.0001,200,2.4068
0.0818,0.0007,0.0004,0.0001,0.0809,0.0001,200,2.4069
0.1060,0.0006,0.0005,0.0001,0.1052,0.0001,200,2.4069
0.0532,0.0011,0.0003,0.0001,0.0519,0.0001,200,2.6069
0.0556,0.0012,0.0003,0.0001,0.0543,0.0000,200,2.6068
0.0821,0.0012,0.0004,0.0000,0.0808,0.0001,200,2.6068
0.0878,0.0011,0.0004,0.0001,0.0866,0.0001,200,2.6069
0.1097,0.0011,0.0004,0.0001,0.1085,0.0001,200,2.6069
0.0515,0.0007,0.0003,0.0001,0.0505,0.0001,200,2.8068
0.0596,0.0006,0.0003,0.0000,0.0589,0.0001,200,2.8068
0.0796,0.0006,0.0003,0.0001,0.0788,0.0001,200,2.8069
0.0803,0.0007,0.0003,0.0001,0.0794,0.0000,200,2.8069
0.1066,0.0006,0.0003,0.0001,0.1058,0.0001,200,2.8069
0.0520,0.0006,0.0003,0.0000,0.0512,0.0001,200,3.0068
0.0620,0.0005,0.0004,0.0001,0.0613,0.0001,200,3.0069
0.0822,0.0006,0.0004,0.0001,0.0813,0.0001,200,3.0069
0.0823,0.0006,0.0003,0.0001,0.0815,0.0000,200,3.0069
0.1076,0.0007,0.0003,0.0000,0.1068,0.0001,200,3.0070
0.0515,0.0006,0.0003,0.0001,0.0507,0.0001,200,3.2068
0.0599,0.0006,0.0004,0.0001,0.0591,0.0001,200,3.2068
0.0796,0.0006,0.0003,0.0001,0.0789,0.0001,200,3.2069
0.0813,0.0006,0.0002,0.0001,0.0805,0.0000,200,3.2069
0.1077,0.0008,0.0003,0.0000,0.1068,0.0001,200,3.2068
0.0527,0.0006,0.0003,0.0001,0.0519,0.0001,200,3.4068
0.0537,0.0006,0.0003,0.0000,0.0529,0.0001,200,3.4067
0.0816,0.0007,0.0003,0.0001,0.0807,0.0001,200,3.4068
0.0830,0.0008,0.0003,0.0001,0.0820,0.0001,200,3.4068
0.1093,0.0007,0.0004,0.0001,0.1084,0.0001,200,3.4068
0.0541,0.0006,0.0003,0.0000,0.0533,0.0001,200,3.6071
0.0543,0.0007,0.0005,0.0001,0.0534,0.0001,200,3.6069
0.0846,0.0007,0.0004,0.0001,0.0837,0.0001,200,3.6070
0.0847,0.0007,0.0004,0.0001,0.0839,0.0001,200,3.6070
0.1109,0.0009,0.0005,0.0000,0.1099,0.0001,200,3.6069
0.0503,0.0006,0.0003,0.0000,0.0495,0.0002,200,3.8068
0.0517,0.0005,0.0003,0.0001,0.0510,0.0001,200,3.8069
0.0786,0.0006,0.0003,0.0001,0.0778,0.0001,200,3.8069
0.0812,0.0006,0.0002,0.0001,0.0805,0.0001,200,3.8069
0.1056,0.0006,0.0003,0.0001,0.1048,0.0000,200,3.8068
0.0579,0.0007,0.0004,0.0001,0.0570,0.0001,200,4.0068
0.0579,0.0008,0.0004,0.0001,0.0569,0.0001,200,4.0068
0.0817,0.0007,0.0004,0.0001,0.0808,0.0001,200,4.0069
0.0827,0.0008,0.0003,0.0001,0.0817,0.0001,200,4.0069
0.1080,0.0008,0.0004,0.0001,0.1071,0.0001,200,4.0069
0.0535,0.0006,0.0003,0.0001,0.0527,0.0001,200,4.2068
0.0535,0.0006,0.0002,0.0001,0.0528,0.0001,200,4.2069
0.0848,0.0006,0.0003,0.0001,0.0840,0.0001,200,4.2069
0.0848,0.0005,0.0003,0.0001,0.0841,0.0001,200,4.2069
0.1100,0.0006,0.0003,0.0001,0.1091,0.0001,200,4.2068
0.0518,0.0007,0.0003,0.0001,0.0509,0.0001,200,4.4068
0.0546,0.0005,0.0003,0.0000,0.0539,0.0001,200,4.4069
0.0836,0.0006,0.0004,0.0001,0.0828,0.0001,200,4.4069
0.0842,0.0006,0.0004,0.0001,0.0835,0.0000,200,4.4069
0.1110,0.0007,0.0004,0.0001,0.1102,0.0001,200,4.4068
0.0512,0.0007,0.0004,0.0001,0.0503,0.0001,200,4.6068
0.0530,0.0006,0.0003,0.0001,0.0522,0.0001,200,4.6069
0.0804,0.0006,0.0003,0.0001,0.0796,0.0001,200,4.6069
0.0816,0.0005,0.0002,0.0000,0.0810,0.0001,200,4.6069
0.1084,0.0007,0.0003,0.0001,0.1075,0.0001,200,4.6068
0.0500,0.0007,0.0003,0.0001,0.0491,0.0001,200,4.8068
0.0528,0.0006,0.0003,0.0001,0.0521,0.0001,200,4.8069
0.0773,0.0006,0.0004,0.0001,0.0764,0.0001,200,4.8068
0.0798,0.0006,0.0004,0.0001,0.0791,0.0001,200,4.8069
0.1041,0.0006,0.0003,0.0000,0.1034,0.0001,200,4.8069
0.0494,0.0006,0.0003,0.0001,0.0487,0.0001,200,5.0069
0.0510,0.0006,0.0003,0.0000,0.0503,0.0000,200,5.0068
0.0784,0.0007,0.0003,0.0001,0.0775,0.0001,200,5.0069
0.0858,0.0007,0.0003,0.0001,0.0850,0.0001,200,5.0069
0.1064,0.0006,0.0002,0.0001,0.1055,0.0001,200,5.0069
0.0502,0.0006,0.0003,0.0000,0.0494,0.0001,200,5.2068
0.0541,0.0006,0.0003,0.0001,0.0533,0.0001,200,5.2069
0.0784,0.0007,0.0002,0.0001,0.0776,0.0001,200,5.2069
0.0807,0.0007,0.0004,0.0001,0.0798,0.0000,200,5.2068
0.1053,0.0006,0.0003,0.0001,0.1045,0.0001,200,5.2068
0.0468,0.0007,0.0004,0.0001,0.0459,0.0001,200,5.4068
0.0567,0.0007,0.0003,0.0001,0.0559,0.0001,200,5.4070
0.0748,0.0006,0.0004,0.0001,0.0740,0.0001,200,5.4070
0.0786,0.0006,0.0003,0.0000,0.0779,0.0001,200,5.4070
0.1025,0.0007,0.0003,0.0001,0.1017,0.0001,200,5.4069
0.0512,0.0006,0.0004,0.0001,0.0504,0.0001,200,5.6068
0.0517,0.0006,0.0002,0.0001,0.0510,0.0001,200,5.6069
0.0802,0.0006,0.0004,0.0001,0.0795,0.0001,200,5.6069
0.0814,0.0005,0.0004,0.0001,0.0807,0.0000,200,5.6069
0.1076,0.0006,0.0003,0.0001,0.1068,0.0001,200,5.6068
0.0505,0.0007,0.0003,0.0001,0.0497,0.0001,200,5.8068
0.0518,0.0005,0.0003,0.0001,0.0511,0.0001,200,5.8068
0.0798,0.0006,0.0003,0.0001,0.0791,0.0001,200,5.8069
0.0799,0.0006,0.0003,0.0001,0.0792,0.0001,200,5.8068
0.1061,0.0006,0.0002,0.0000,0.1054,0.0001,200,5.8069
0.0507,0.0007,0.0004,0.0001,0.0498,0.0001,200,6.0068
0.0524,0.0006,0.0003,0.0001,0.0517,0.0000,200,6.0068
