response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3095,0.0006,0.0002,0.0001,0.0158,0.2930,200,0.2048
0.6357,0.0012,0.0007,0.0001,0.3236,0.3108,200,0.2042
0.9477,0.0007,0.0001,0.0001,0.6489,0.2979,200,0.2048
1.2614,0.0008,0.0003,0.0001,0.9630,0.2971,200,0.2042
1.5760,0.0007,0.0003,0.0001,1.2749,0.3002,200,0.2047
1.5909,0.0006,0.0004,0.0000,1.2786,0.3095,200,0.5144
1.5760,0.0006,0.0003,0.0001,1.2797,0.2957,200,0.8399
1.5757,0.0006,0.0003,0.0000,1.2779,0.2972,200,1.1524
1.5741,0.0006,0.0004,0.0000,1.2775,0.2961,200,1.4656
1.5772,0.0005,0.0003,0.0000,1.2741,0.3026,200,1.7807
1.5666,0.0005,0.0003,0.0000,1.2669,0.2991,200,2.1052
1.5751,0.0006,0.0003,0.0001,1.2714,0.3031,200,2.4159
1.5718,0.0005,0.0004,0.0000,1.2773,0.2939,200,2.7281
1.5699,0.0005,0.0003,0.0001,1.2749,0.2944,200,3.0398
1.5609,0.0005,0.0003,0.0000,1.2658,0.2945,200,3.3579
1.5570,0.0005,0.0003,0.0001,1.2608,0.2956,200,3.6719
1.5457,0.0005,0.0003,0.0000,1.2518,0.2933,200,3.9911
1.5467,0.0005,0.0003,0.0001,1.2511,0.2950,200,4.2999
1.5495,0.0005,0.0003,0.0001,1.2514,0.2975,200,4.6097
1.5836,0.0005,0.0003,0.0000,1.2547,0.3283,200,4.9188
1.5948,0.0005,0.0003,0.0000,1.2905,0.3037,200,5.2288
1.5944,0.0005,0.0003,0.0000,1.3011,0.2928,200,5.5367
1.5913,0.0005,0.0003,0.0000,1.2987,0.2920,200,5.8466
1.5855,0.0006,0.0003,0.0000,1.2931,0.2918,200,6.1592
1.5538,0.0006,0.0004,0.0001,1.2563,0.2969,200,6.5024
1.5527,0.0006,0.0004,0.0000,1.2505,0.3015,200,6.8236
1.5571,0.0005,0.0003,0.0001,1.2595,0.2970,200,7.1312
1.5602,0.0005,0.0003,0.0000,1.2661,0.2936,200,7.4379
1.5624,0.0005,0.0003,0.0000,1.2677,0.2942,200,7.7446
1.5590,0.0005,0.0003,0.0001,1.2657,0.2927,200,8.0562
1.5502,0.0005,0.0003,0.0000,1.2529,0.2967,200,8.3763
1.5486,0.0005,0.0003,0.0000,1.2525,0.2955,200,8.6883
1.5498,0.0006,0.0003,0.0001,1.2530,0.2961,200,8.9981
1.5474,0.0006,0.0004,0.0000,1.2555,0.2912,200,9.3071
1.5582,0.0005,0.0003,0.0001,1.2536,0.3041,200,9.6152
1.5532,0.0005,0.0003,0.0000,1.2610,0.2916,200,9.9266
1.5549,0.0005,0.0003,0.0001,1.2569,0.2973,200,10.2369
1.5584,0.0005,0.0003,0.0000,1.2584,0.2995,200,10.5479
1.5672,0.0005,0.0003,0.0000,1.2660,0.3007,200,10.8544
1.5608,0.0005,0.0003,0.0001,1.2623,0.2978,200,11.1734
1.6069,0.0006,0.0003,0.0001,1.2693,0.3370,200,11.4797
1.6065,0.0010,0.0008,0.0000,1.3103,0.2951,200,11.7918
1.6027,0.0006,0.0004,0.0001,1.3064,0.2957,200,12.1064
1.5952,0.0006,0.0003,0.0000,1.3015,0.2930,200,12.4217
1.5911,0.0005,0.0003,0.0001,1.2951,0.2954,200,12.7342
1.5489,0.0005,0.0003,0.0000,1.2532,0.2952,200,13.0867
1.5528,0.0006,0.0003,0.0000,1.2520,0.3002,200,13.3984
1.5630,0.0005,0.0003,0.0001,1.2563,0.3061,200,13.7091
1.5701,0.0005,0.0003,0.0001,1.2696,0.2998,200,14.0169
1.5718,0.0005,0.0003,0.0001,1.2757,0.2955,200,14.3254
1.5743,0.0005,0.0003,0.0000,1.2762,0.2976,200,14.6356
1.5723,0.0005,0.0003,0.0000,1.2734,0.2983,200,14.9512
1.5819,0.0006,0.0003,0.0001,1.2661,0.3152,200,15.2721
1.6118,0.0007,0.0004,0.0001,1.2834,0.3276,200,15.5870
1.6503,0.0005,0.0003,0.0000,1.3181,0.3317,200,15.8972
1.6608,0.0006,0.0003,0.0001,1.3546,0.3055,200,16.2099
