response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0300,0.0005,0.0003,0.0002,0.0287,0.0001,200,0.2045
0.0565,0.0004,0.0002,0.0001,0.0558,0.0001,200,0.2051
0.0833,0.0004,0.0002,0.0001,0.0826,0.0001,200,0.2052
0.1106,0.0003,0.0001,0.0001,0.1101,0.0000,200,0.2052
0.1382,0.0011,0.0007,0.0001,0.1368,0.0001,200,0.2044
0.0281,0.0005,0.0003,0.0001,0.0275,0.0000,200,0.4045
0.0551,0.0006,0.0003,0.0001,0.0543,0.0000,200,0.4045
0.0821,0.0007,0.0004,0.0001,0.0812,0.0001,200,0.4044
0.1088,0.0007,0.0003,0.0000,0.1080,0.0001,200,0.4045
0.1355,0.0005,0.0002,0.0000,0.1349,0.0000,200,0.4045
0.0283,0.0007,0.0003,0.0001,0.0274,0.0001,200,0.6046
0.0551,0.0006,0.0002,0.0001,0.0544,0.0001,200,0.6046
0.0821,0.0009,0.0004,0.0002,0.0809,0.0001,200,0.6045
0.1088,0.0010,0.0004,0.0002,0.1076,0.0001,200,0.6044
0.1353,0.0008,0.0003,0.0001,0.1343,0.0000,200,0.6045
0.0280,0.0005,0.0003,0.0000,0.0274,0.0001,200,0.8045
0.0551,0.0007,0.0004,0.0000,0.0542,0.0001,200,0.8044
0.0820,0.0007,0.0005,0.0001,0.0811,0.0001,200,0.8044
0.1106,0.0006,0.0004,0.0001,0.1098,0.0001,200,0.8045
0.1375,0.0007,0.0004,0.0001,0.1366,0.0001,200,0.8044
0.0285,0.0008,0.0004,0.0001,0.0275,0.0001,200,1.0045
0.0553,0.0006,0.0003,0.0000,0.0546,0.0001,200,1.0045
0.0824,0.0008,0.0005,0.0001,0.0814,0.0001,200,1.0045
0.1100,0.0009,0.0005,0.0001,0.1089,0.0001,200,1.0044
0.1368,0.0008,0.0004,0.0001,0.1357,0.0001,200,1.0045
0.0284,0.0005,0.0002,0.0001,0.0277,0.0001,200,1.2045
0.0553,0.0005,0.0004,0.0001,0.0546,0.0001,200,1.2045
