response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0479,0.0010,0.0006,0.0001,0.0467,0.0001,200,0.2033
0.0992,0.0010,0.0007,0.0001,0.0979,0.0001,200,0.2032
0.1332,0.0011,0.0007,0.0001,0.1319,0.0001,200,0.2031
0.1605,0.0010,0.0007,0.0001,0.1594,0.0001,200,0.2033
0.1881,0.0012,0.0009,0.0001,0.1867,0.0000,200,0.2029
0.0564,0.0004,0.0001,0.0001,0.0558,0.0001,200,0.4032
0.0948,0.0006,0.0004,0.0001,0.0940,0.0001,200,0.4029
0.1218,0.0004,0.0001,0.0001,0.1213,0.0001,200,0.4032
0.1492,0.0003,0.0001,0.0001,0.1487,0.0001,200,0.4032
0.1805,0.0003,0.0000,0.0000,0.1801,0.0001,200,0.4032
0.0316,0.0003,0.0000,0.0001,0.0312,0.0001,200,0.6032
0.0590,0.0007,0.0003,0.0001,0.0582,0.0001,200,0.6029
0.0861,0.0003,0.0002,0.0001,0.0856,0.0001,200,0.6032
0.1134,0.0004,0.0001,0.0001,0.1127,0.0001,200,0.6032
0.1665,0.0004,0.0001,0.0001,0.1660,0.0000,200,0.6032
0.0560,0.0005,0.0003,0.0001,0.0553,0.0001,200,0.8032
0.1039,0.0004,0.0002,0.0000,0.1034,0.0001,200,0.8032
0.1554,0.0008,0.0005,0.0001,0.1544,0.0001,200,0.8029
0.1821,0.0005,0.0003,0.0000,0.1815,0.0001,200,0.8032
0.2094,0.0005,0.0003,0.0001,0.2087,0.0001,200,0.8032
0.0364,0.0004,0.0002,0.0000,0.0359,0.0001,200,1.0032
0.0868,0.0007,0.0004,0.0001,0.0859,0.0001,200,1.0029
0.1364,0.0005,0.0001,0.0001,0.1357,0.0001,200,1.0032
0.1949,0.0005,0.0002,0.0001,0.1943,0.0001,200,1.0032
0.2445,0.0005,0.0003,0.0000,0.2439,0.0001,200,1.0126
0.0919,0.0003,0.0001,0.0000,0.0915,0.0001,200,1.2031
0.1190,0.0003,0.0001,0.0001,0.1186,0.0001,200,1.2032
0.1469,0.0003,0.0001,0.0001,0.1463,0.0001,200,1.2032
0.1800,0.0006,0.0003,0.0001,0.1793,0.0001,200,1.2029
0.1541,0.0005,0.0003,0.0000,0.1535,0.0001,200,1.2571
0.0356,0.0006,0.0003,0.0001,0.0349,0.0001,200,1.4029
0.0700,0.0005,0.0003,0.0000,0.0694,0.0000,200,1.4033
0.1233,0.0004,0.0003,0.0001,0.1227,0.0001,200,1.4037
0.1883,0.0004,0.0002,0.0000,0.1870,0.0001,200,1.4032
0.2258,0.0004,0.0002,0.0000,0.2253,0.0001,200,1.4112
0.0607,0.0003,0.0001,0.0000,0.0603,0.0000,200,1.6032
0.0877,0.0003,0.0001,0.0001,0.0872,0.0001,200,1.6032
0.1146,0.0004,0.0001,0.0001,0.1141,0.0001,200,1.6032
0.1416,0.0006,0.0004,0.0001,0.1409,0.0001,200,1.6029
0.1506,0.0005,0.0003,0.0000,0.1500,0.0001,200,1.6370
0.0402,0.0003,0.0001,0.0000,0.0398,0.0001,200,1.8032
0.0672,0.0003,0.0002,0.0000,0.0667,0.0001,200,1.8032
0.0977,0.0004,0.0002,0.0001,0.0971,0.0001,200,1.8032
0.1246,0.0004,0.0001,0.0000,0.1241,0.0001,200,1.8032
0.1769,0.0006,0.0004,0.0001,0.1761,0.0001,200,1.8029
0.0497,0.0004,0.0001,0.0001,0.0492,0.0001,200,2.0032
0.1068,0.0004,0.0001,0.0001,0.1062,0.0001,200,2.0032
0.1340,0.0007,0.0004,0.0000,0.1332,0.0001,200,2.0034
0.1614,0.0011,0.0003,0.0000,0.1602,0.0001,200,2.0031
0.1888,0.0007,0.0004,0.0001,0.1879,0.0001,200,2.0029
0.0501,0.0003,0.0001,0.0001,0.0497,0.0001,200,2.2032
0.1088,0.0007,0.0004,0.0001,0.1080,0.0001,200,2.2029
