response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0057,0.0014,0.0011,0.0001,0.0040,0.0001,200,0.2037
0.0089,0.0013,0.0010,0.0001,0.0075,0.0001,200,0.2039
0.0120,0.0014,0.0009,0.0001,0.0104,0.0001,200,0.2038
0.0150,0.0012,0.0010,0.0001,0.0136,0.0001,200,0.2039
0.0181,0.0013,0.0009,0.0001,0.0167,0.0001,200,0.2039
0.0048,0.0006,0.0004,0.0001,0.0039,0.0001,200,0.4039
0.0081,0.0008,0.0005,0.0001,0.0071,0.0001,200,0.4037
0.0110,0.0010,0.0002,0.0001,0.0098,0.0001,200,0.4038
0.0140,0.0007,0.0004,0.0002,0.0131,0.0000,200,0.4038
0.0172,0.0008,0.0004,0.0002,0.0161,0.0001,200,0.4038
0.0048,0.0006,0.0004,0.0001,0.0040,0.0001,200,0.6038
0.0082,0.0006,0.0003,0.0001,0.0074,0.0001,200,0.6038
0.0112,0.0007,0.0003,0.0001,0.0103,0.0001,200,0.6038
0.0143,0.0007,0.0004,0.0001,0.0134,0.0001,200,0.6038
0.0175,0.0008,0.0004,0.0001,0.0164,0.0001,200,0.6037
0.0046,0.0006,0.0003,0.0001,0.0038,0.0001,200,0.8039
0.0077,0.0007,0.0004,0.0000,0.0069,0.0001,200,0.8039
0.0110,0.0008,0.0004,0.0001,0.0100,0.0001,200,0.8038
0.0148,0.0008,0.0005,0.0001,0.0138,0.0001,200,0.8038
0.0181,0.0009,0.0006,0.0001,0.0170,0.0001,200,0.8037
0.0057,0.0007,0.0003,0.0001,0.0048,0.0002,200,1.0038
0.0080,0.0007,0.0004,0.0001,0.0070,0.0001,200,1.0037
0.0111,0.0007,0.0004,0.0001,0.0103,0.0001,200,1.0037
0.0144,0.0006,0.0004,0.0001,0.0137,0.0001,200,1.0038
0.0174,0.0006,0.0004,0.0001,0.0166,0.0001,200,1.0038
0.0048,0.0007,0.0004,0.0001,0.0039,0.0001,200,1.2038
0.0079,0.0007,0.0004,0.0001,0.0070,0.0001,200,1.2037
0.0112,0.0006,0.0004,0.0001,0.0104,0.0001,200,1.2038
0.0144,0.0007,0.0003,0.0001,0.0135,0.0001,200,1.2038
0.0176,0.0007,0.0003,0.0001,0.0168,0.0000,200,1.2038
0.0049,0.0006,0.0003,0.0001,0.0042,0.0001,200,1.4038
0.0081,0.0006,0.0002,0.0001,0.0073,0.0001,200,1.4038
0.0111,0.0007,0.0002,0.0000,0.0102,0.0000,200,1.4038
0.0145,0.0009,0.0004,0.0000,0.0134,0.0001,200,1.4036
0.0176,0.0007,0.0003,0.0000,0.0168,0.0002,200,1.4039
0.0049,0.0006,0.0002,0.0000,0.0042,0.0001,200,1.6038
0.0083,0.0008,0.0004,0.0000,0.0074,0.0001,200,1.6037
0.0112,0.0007,0.0003,0.0001,0.0104,0.0001,200,1.6038
0.0144,0.0007,0.0003,0.0001,0.0136,0.0001,200,1.6038
0.0174,0.0007,0.0004,0.0001,0.0166,0.0001,200,1.6038
0.0051,0.0008,0.0005,0.0001,0.0041,0.0001,200,1.8037
0.0080,0.0008,0.0004,0.0001,0.0071,0.0001,200,1.8038
0.0112,0.0006,0.0003,0.0001,0.0104,0.0001,200,1.8038
0.0151,0.0007,0.0004,0.0001,0.0142,0.0001,200,1.8038
0.0182,0.0007,0.0004,0.0001,0.0173,0.0001,200,1.8038
0.0049,0.0006,0.0004,0.0002,0.0041,0.0001,200,2.0038
0.0081,0.0010,0.0003,0.0000,0.0069,0.0001,200,2.0038
0.0112,0.0007,0.0004,0.0002,0.0103,0.0001,200,2.0037
0.0144,0.0007,0.0003,0.0002,0.0134,0.0001,200,2.0038
0.0177,0.0008,0.0004,0.0002,0.0167,0.0001,200,2.0037
0.0050,0.0008,0.0005,0.0001,0.0040,0.0001,200,2.2036
0.0078,0.0005,0.0002,0.0001,0.0072,0.0001,200,2.2038
0.0110,0.0007,0.0003,0.0000,0.0103,0.0000,200,2.2037
0.0141,0.0005,0.0003,0.0001,0.0134,0.0001,200,2.2038
0.0172,0.0007,0.0003,0.0000,0.0163,0.0001,200,2.2038
0.0049,0.0007,0.0005,0.0001,0.0040,0.0001,200,2.4037
0.0080,0.0006,0.0003,0.0001,0.0072,0.0001,200,2.4038
0.0110,0.0007,0.0003,0.0001,0.0101,0.0001,200,2.4038
0.0142,0.0006,0.0003,0.0001,0.0134,0.0001,200,2.4039
0.0171,0.0006,0.0002,0.0001,0.0163,0.0001,200,2.4039
0.0051,0.0007,0.0003,0.0001,0.0042,0.0001,200,2.6038
0.0082,0.0011,0.0009,0.0001,0.0069,0.0001,200,2.6038
0.0113,0.0012,0.0010,0.0000,0.0100,0.0001,200,2.6038
0.0143,0.0011,0.0008,0.0001,0.0130,0.0001,200,2.6038
0.0175,0.0012,0.0004,0.0000,0.0161,0.0001,200,2.6037
0.0049,0.0006,0.0004,0.0001,0.0041,0.0001,200,2.8038
0.0080,0.0006,0.0004,0.0001,0.0072,0.0001,200,2.8037
0.0112,0.0007,0.0003,0.0001,0.0103,0.0001,200,2.8038
0.0144,0.0007,0.0004,0.0001,0.0135,0.0000,200,2.8037
0.0181,0.0007,0.0003,0.0001,0.0173,0.0001,200,2.8038
0.0046,0.0006,0.0004,0.0001,0.0038,0.0001,200,3.0038
0.0077,0.0006,0.0003,0.0000,0.0071,0.0001,200,3.0038
0.0109,0.0007,0.0003,0.0000,0.0101,0.0001,200,3.0038
0.0142,0.0007,0.0004,0.0001,0.0133,0.0001,200,3.0037
0.0171,0.0007,0.0003,0.0001,0.0163,0.0000,200,3.0037
0.0047,0.0006,0.0003,0.0000,0.0040,0.0001,200,3.2038
0.0079,0.0006,0.0003,0.0001,0.0071,0.0001,200,3.2038
0.0107,0.0005,0.0001,0.0001,0.0100,0.0001,200,3.2039
0.0140,0.0007,0.0003,0.0001,0.0132,0.0000,200,3.2037
0.0172,0.0007,0.0004,0.0001,0.0162,0.0001,200,3.2037
0.0049,0.0006,0.0004,0.0001,0.0041,0.0001,200,3.4038
0.0079,0.0008,0.0005,0.0001,0.0070,0.0001,200,3.4037
0.0113,0.0009,0.0004,0.0001,0.0102,0.0001,200,3.4037
0.0146,0.0008,0.0004,0.0001,0.0136,0.0001,200,3.4038
0.0178,0.0008,0.0005,0.0001,0.0168,0.0001,200,3.4038
0.0052,0.0007,0.0004,0.0001,0.0044,0.0001,200,3.6037
0.0085,0.0006,0.0004,0.0001,0.0076,0.0002,200,3.6038
0.0116,0.0007,0.0004,0.0001,0.0108,0.0001,200,3.6038
0.0147,0.0006,0.0003,0.0001,0.0139,0.0001,200,3.6038
0.0178,0.0006,0.0003,0.0001,0.0170,0.0001,200,3.6037
0.0047,0.0005,0.0003,0.0001,0.0041,0.0001,200,3.8040
0.0080,0.0008,0.0005,0.0001,0.0070,0.0001,200,3.8038
0.0109,0.0005,0.0003,0.0001,0.0102,0.0001,200,3.8040
0.0143,0.0007,0.0002,0.0001,0.0135,0.0000,200,3.8037
0.0182,0.0009,0.0001,0.0000,0.0172,0.0001,200,3.8037
0.0048,0.0005,0.0003,0.0001,0.0042,0.0001,200,4.0038
0.0079,0.0005,0.0002,0.0000,0.0073,0.0000,200,4.0038
0.0111,0.0006,0.0003,0.0001,0.0103,0.0001,200,4.0038
0.0141,0.0005,0.0003,0.0001,0.0134,0.0001,200,4.0038
0.0175,0.0007,0.0004,0.0001,0.0167,0.0001,200,4.0037
0.0050,0.0006,0.0004,0.0001,0.0042,0.0001,200,4.2038
0.0081,0.0007,0.0004,0.0001,0.0072,0.0001,200,4.2037
0.0111,0.0006,0.0003,0.0001,0.0103,0.0001,200,4.2038
0.0141,0.0006,0.0003,0.0001,0.0133,0.0001,200,4.2038
0.0174,0.0006,0.0004,0.0001,0.0167,0.0001,200,4.2037
0.0048,0.0006,0.0003,0.0001,0.0041,0.0001,200,4.4039
0.0082,0.0008,0.0005,0.0000,0.0073,0.0001,200,4.4037
0.0113,0.0006,0.0002,0.0001,0.0105,0.0001,200,4.4039
0.0143,0.0007,0.0003,0.0000,0.0135,0.0001,200,4.4038
0.0177,0.0006,0.0003,0.0001,0.0169,0.0001,200,4.4039
0.0047,0.0005,0.0003,0.0001,0.0040,0.0001,200,4.6038
0.0082,0.0008,0.0004,0.0001,0.0071,0.0001,200,4.6037
0.0112,0.0007,0.0004,0.0001,0.0103,0.0001,200,4.6038
0.0142,0.0007,0.0004,0.0001,0.0132,0.0000,200,4.6037
0.0173,0.0007,0.0004,0.0001,0.0164,0.0001,200,4.6038
0.0045,0.0004,0.0001,0.0001,0.0039,0.0001,200,4.8039
0.0079,0.0006,0.0003,0.0001,0.0071,0.0000,200,4.8037
0.0111,0.0006,0.0004,0.0001,0.0104,0.0001,200,4.8038
0.0143,0.0008,0.0004,0.0001,0.0134,0.0001,200,4.8037
0.0179,0.0006,0.0004,0.0001,0.0170,0.0001,200,4.8038
0.0055,0.0006,0.0003,0.0000,0.0047,0.0001,200,5.0037
0.0084,0.0006,0.0004,0.0000,0.0076,0.0001,200,5.0039
0.0115,0.0007,0.0003,0.0000,0.0107,0.0001,200,5.0038
0.0147,0.0006,0.0003,0.0001,0.0139,0.0001,200,5.0038
0.0182,0.0009,0.0005,0.0000,0.0171,0.0001,200,5.0037
0.0048,0.0006,0.0003,0.0000,0.0041,0.0001,200,5.2038
0.0080,0.0007,0.0003,0.0001,0.0071,0.0001,200,5.2038
0.0110,0.0007,0.0003,0.0001,0.0100,0.0001,200,5.2038
0.0141,0.0007,0.0003,0.0001,0.0133,0.0001,200,5.2038
0.0173,0.0008,0.0005,0.0001,0.0163,0.0001,200,5.2037
0.0124,0.0005,0.0004,0.0001,0.0117,0.0001,200,5.4038
0.0154,0.0005,0.0002,0.0001,0.0147,0.0001,200,5.4038
0.0187,0.0007,0.0004,0.0001,0.0178,0.0000,200,5.4037
0.0219,0.0006,0.0003,0.0001,0.0211,0.0001,200,5.4038
0.0252,0.0006,0.0004,0.0001,0.0243,0.0001,200,5.4037
0.0047,0.0005,0.0002,0.0000,0.0041,0.0001,200,5.6039
0.0079,0.0008,0.0004,0.0001,0.0069,0.0001,200,5.6037
0.0109,0.0006,0.0003,0.0001,0.0101,0.0001,200,5.6038
0.0139,0.0007,0.0003,0.0001,0.0131,0.0000,200,5.6038
0.0170,0.0006,0.0003,0.0001,0.0163,0.0001,200,5.6038
0.0046,0.0006,0.0002,0.0000,0.0039,0.0001,200,5.8038
0.0079,0.0006,0.0003,0.0001,0.0071,0.0001,200,5.8038
0.0112,0.0006,0.0003,0.0001,0.0104,0.0000,200,5.8038
0.0145,0.0008,0.0003,0.0001,0.0136,0.0001,200,5.8037
0.0180,0.0006,0.0002,0.0001,0.0174,0.0000,200,5.8039
0.0048,0.0006,0.0003,0.0000,0.0040,0.0001,200,6.0038
0.0080,0.0008,0.0004,0.0001,0.0070,0.0001,200,6.0037
0.0108,0.0007,0.0003,0.0001,0.0100,0.0001,200,6.0038
0.0142,0.0007,0.0002,0.0001,0.0133,0.0001,200,6.0038
0.0173,0.0006,0.0003,0.0001,0.0165,0.0001,200,6.0039
0.0049,0.0008,0.0005,0.0000,0.0039,0.0001,200,6.2037
0.0078,0.0006,0.0003,0.0001,0.0071,0.0001,200,6.2039
0.0109,0.0006,0.0002,0.0001,0.0101,0.0001,200,6.2039
0.0141,0.0006,0.0003,0.0001,0.0133,0.0001,200,6.2039
0.0171,0.0007,0.0003,0.0001,0.0162,0.0001,200,6.2038
0.0047,0.0005,0.0003,0.0001,0.0041,0.0001,200,6.4038
0.0080,0.0005,0.0002,0.0000,0.0074,0.0001,200,6.4038
0.0111,0.0007,0.0003,0.0000,0.0103,0.0001,200,6.4037
0.0144,0.0006,0.0003,0.0001,0.0136,0.0001,200,6.4038
0.0174,0.0006,0.0003,0.0001,0.0167,0.0000,200,6.4038
0.0049,0.0007,0.0004,0.0000,0.0041,0.0001,200,6.6037
0.0079,0.0006,0.0003,0.0001,0.0071,0.0001,200,6.6037
0.0110,0.0007,0.0003,0.0001,0.0102,0.0000,200,6.6038
0.0142,0.0006,0.0003,0.0001,0.0134,0.0001,200,6.6038
0.0176,0.0006,0.0004,0.0001,0.0168,0.0001,200,6.6038
0.0049,0.0006,0.0004,0.0000,0.0041,0.0001,200,6.8038
0.0080,0.0007,0.0003,0.0001,0.0070,0.0001,200,6.8038
0.0110,0.0006,0.0004,0.0001,0.0103,0.0001,200,6.8039
0.0143,0.0007,0.0003,0.0000,0.0135,0.0000,200,6.8039
0.0184,0.0008,0.0005,0.0001,0.0175,0.0001,200,6.8037
0.0047,0.0007,0.0003,0.0001,0.0038,0.0001,200,7.0038
0.0079,0.0007,0.0004,0.0000,0.0071,0.0001,200,7.0037
0.0108,0.0006,0.0004,0.0001,0.0100,0.0001,200,7.0038
