response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0414,0.0007,0.0005,0.0000,0.0404,0.0002,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0020,0.0014,0.0011,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0008,0.0005,0.0000,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0013,0.0008,0.0005,0.0001,0.0003,0.0001,404,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0013,0.0008,0.0005,0.0001,0.0003,0.0001,404,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0400,0.0009,0.0007,0.0000,0.0388,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0006,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0001,0.0004,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0393,0.0009,0.0006,0.0001,0.0382,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0445,0.0009,0.0006,0.0001,0.0433,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0393,0.0008,0.0005,0.0000,0.0383,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0006,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0006,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0389,0.0008,0.0005,0.0001,0.0380,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0000,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0390,0.0008,0.0005,0.0001,0.0380,0.0002,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0000,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0391,0.0008,0.0005,0.0001,0.0381,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0008,0.0004,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0412,0.0007,0.0005,0.0000,0.0402,0.0002,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0006,0.0001,0.0004,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0391,0.0008,0.0004,0.0001,0.0381,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0018,0.0011,0.0007,0.0001,0.0004,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0391,0.0007,0.0005,0.0001,0.0378,0.0005,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0387,0.0008,0.0005,0.0000,0.0377,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0007,0.0005,0.0001,0.0004,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0004,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0390,0.0008,0.0005,0.0001,0.0380,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0001,0.0004,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0000,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0389,0.0007,0.0004,0.0001,0.0379,0.0002,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0006,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0389,0.0008,0.0005,0.0001,0.0379,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0433,0.0009,0.0005,0.0001,0.0421,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0006,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0387,0.0008,0.0005,0.0001,0.0377,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0006,0.0000,0.0005,0.0000,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0396,0.0014,0.0010,0.0001,0.0380,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0000,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0395,0.0008,0.0005,0.0001,0.0384,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0004,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0009,0.0005,0.0000,0.0004,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0394,0.0009,0.0006,0.0001,0.0383,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0021,0.0014,0.0011,0.0001,0.0005,0.0001,502,0.0002
