response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0000,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2992,0.0009,0.0006,0.0000,0.0157,0.2826,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0014,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2926,0.0009,0.0005,0.0001,0.0150,0.2766,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3161,0.0008,0.0005,0.0001,0.0158,0.2993,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3274,0.0010,0.0006,0.0000,0.0196,0.3068,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0005,0.0000,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3320,0.0008,0.0005,0.0001,0.0157,0.3154,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0019,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3118,0.0009,0.0006,0.0001,0.0155,0.2952,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0019,0.0010,0.0007,0.0000,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3210,0.0009,0.0006,0.0000,0.0195,0.3006,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3140,0.0009,0.0005,0.0001,0.0153,0.2976,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3275,0.0009,0.0005,0.0001,0.0224,0.3040,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0022,0.0013,0.0009,0.0001,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2992,0.0011,0.0007,0.0001,0.0151,0.2830,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3121,0.0008,0.0005,0.0001,0.0157,0.2956,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0019,0.0009,0.0006,0.0001,0.0008,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2964,0.0008,0.0006,0.0000,0.0143,0.2812,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3170,0.0008,0.0005,0.0000,0.0160,0.3001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3491,0.0010,0.0007,0.0001,0.0228,0.3252,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0015,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3098,0.0009,0.0005,0.0000,0.0171,0.2917,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0018,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3145,0.0008,0.0005,0.0001,0.0159,0.2977,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
