response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0018,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2200,0.0008,0.0005,0.0000,2.2190,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2250,0.0009,0.0005,0.0001,2.2239,0.0002,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0018,0.0010,0.0007,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0020,0.0010,0.0007,0.0001,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2156,0.0009,0.0006,0.0001,2.2144,0.0002,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2280,0.0008,0.0005,0.0001,2.2270,0.0001,200,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2236,0.0008,0.0005,0.0001,2.2226,0.0001,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.3062,0.0008,0.0004,0.0001,2.3050,0.0002,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0016,0.0009,0.0006,0.0001,0.0006,0.0000,502,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.2299,0.0009,0.0005,0.0001,2.2288,0.0002,200,0.0002
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0017,0.0009,0.0005,0.0000,0.0006,0.0001,502,0.0001
response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
