response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0162,0.0009,0.0006,0.0001,0.0147,0.0005,200,0.0002
0.0015,0.0008,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0125,0.0008,0.0005,0.0001,0.0109,0.0007,200,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0118,0.0008,0.0005,0.0000,0.0104,0.0006,200,0.0002
0.0018,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0119,0.0008,0.0005,0.0001,0.0104,0.0005,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0022,0.0014,0.0010,0.0000,0.0007,0.0001,502,0.0002
0.0119,0.0008,0.0005,0.0001,0.0105,0.0005,200,0.0002
0.0017,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0120,0.0008,0.0005,0.0001,0.0105,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0017,0.0010,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0122,0.0009,0.0006,0.0000,0.0107,0.0006,200,0.0001
0.0018,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0001
0.0122,0.0008,0.0004,0.0001,0.0106,0.0007,200,0.0001
0.0017,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0007
0.0128,0.0011,0.0006,0.0001,0.0109,0.0007,200,0.0002
0.0015,0.0007,0.0004,0.0000,0.0006,0.0001,502,0.0002
0.0122,0.0008,0.0005,0.0001,0.0107,0.0006,200,0.0002
0.0017,0.0007,0.0004,0.0001,0.0007,0.0001,502,0.0001
0.0016,0.0007,0.0004,0.0001,0.0007,0.0001,502,0.0001
0.0129,0.0008,0.0005,0.0001,0.0115,0.0005,200,0.0001
0.0017,0.0009,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0121,0.0009,0.0006,0.0000,0.0104,0.0007,200,0.0002
0.0018,0.0009,0.0006,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0008,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0157,0.0012,0.0010,0.0001,0.0139,0.0005,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0010,0.0006,0.0001,0.0005,0.0001,502,0.0002
0.0120,0.0008,0.0005,0.0001,0.0105,0.0005,200,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0122,0.0011,0.0008,0.0000,0.0106,0.0005,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0009,0.0006,0.0001,0.0007,0.0001,502,0.0001
0.0127,0.0013,0.0010,0.0001,0.0107,0.0005,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0127,0.0008,0.0005,0.0001,0.0113,0.0005,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0120,0.0008,0.0005,0.0001,0.0106,0.0005,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0121,0.0008,0.0005,0.0001,0.0106,0.0005,200,0.0002
0.0017,0.0009,0.0006,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0118,0.0008,0.0006,0.0001,0.0102,0.0006,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0119,0.0008,0.0005,0.0001,0.0104,0.0006,200,0.0002
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0017,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0002
0.0121,0.0009,0.0005,0.0001,0.0105,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0128,0.0009,0.0006,0.0001,0.0112,0.0005,200,0.0001
0.0019,0.0010,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0122,0.0013,0.0010,0.0001,0.0103,0.0005,200,0.0002
0.0017,0.0009,0.0006,0.0000,0.0006,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0129,0.0011,0.0008,0.0001,0.0112,0.0005,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0007,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0120,0.0008,0.0005,0.0001,0.0105,0.0005,200,0.0001
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0123,0.0010,0.0007,0.0001,0.0105,0.0006,200,0.0002
0.0016,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0001
0.0017,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0122,0.0008,0.0005,0.0001,0.0107,0.0006,200,0.0001
0.0018,0.0007,0.0005,0.0001,0.0008,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0131,0.0011,0.0008,0.0001,0.0113,0.0005,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0119,0.0009,0.0005,0.0000,0.0104,0.0005,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0120,0.0009,0.0006,0.0001,0.0105,0.0005,200,0.0001
0.0015,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0132,0.0008,0.0006,0.0001,0.0116,0.0006,200,0.0001
0.0019,0.0009,0.0006,0.0000,0.0007,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0126,0.0008,0.0005,0.0001,0.0110,0.0006,200,0.0001
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
