response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0072,0.0008,0.0005,0.0001,0.0061,0.0002,200,0.0001
0.0016,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0001
0.0019,0.0008,0.0005,0.0001,0.0009,0.0001,502,0.0001
0.0072,0.0008,0.0005,0.0001,0.0061,0.0002,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0001
0.0076,0.0009,0.0005,0.0001,0.0064,0.0002,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0073,0.0009,0.0006,0.0000,0.0060,0.0002,200,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0073,0.0009,0.0005,0.0000,0.0061,0.0003,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0073,0.0010,0.0006,0.0001,0.0059,0.0003,200,0.0001
0.0016,0.0009,0.0006,0.0001,0.0005,0.0001,502,0.0002
0.0071,0.0010,0.0006,0.0001,0.0058,0.0002,200,0.0002
0.0019,0.0010,0.0007,0.0000,0.0007,0.0001,502,0.0001
0.0016,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0001
0.0070,0.0008,0.0005,0.0000,0.0059,0.0002,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0071,0.0009,0.0005,0.0001,0.0059,0.0002,200,0.0002
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0072,0.0008,0.0005,0.0000,0.0060,0.0003,200,0.0002
0.0016,0.0008,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0017,0.0008,0.0005,0.0000,0.0006,0.0000,502,0.0002
0.0070,0.0008,0.0005,0.0001,0.0059,0.0002,200,0.0001
0.0018,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0015,0.0007,0.0004,0.0001,0.0006,0.0001,502,0.0002
0.0075,0.0009,0.0005,0.0001,0.0063,0.0002,200,0.0001
0.0017,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0081,0.0010,0.0007,0.0001,0.0067,0.0002,200,0.0002
0.0017,0.0008,0.0005,0.0001,0.0007,0.0001,502,0.0002
0.0016,0.0009,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0071,0.0008,0.0005,0.0001,0.0059,0.0002,200,0.0002
0.0015,0.0008,0.0004,0.0001,0.0006,0.0001,502,0.0001
0.0070,0.0008,0.0005,0.0000,0.0058,0.0002,200,0.0001
0.0016,0.0007,0.0004,0.0000,0.0006,0.0001,502,0.0001
0.0016,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0072,0.0008,0.0005,0.0000,0.0060,0.0002,200,0.0001
0.0016,0.0008,0.0005,0.0000,0.0007,0.0001,502,0.0002
0.0072,0.0008,0.0005,0.0001,0.0060,0.0003,200,0.0002
0.0015,0.0007,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0019,0.0010,0.0007,0.0001,0.0007,0.0001,502,0.0002
0.0071,0.0008,0.0005,0.0001,0.0059,0.0002,200,0.0002
0.0015,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0018,0.0008,0.0005,0.0001,0.0008,0.0001,502,0.0002
