response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0312,0.0008,0.0005,0.0001,0.0302,0.0001,200,0.0001
0.0017,0.0009,0.0006,0.0000,0.0005,0.0001,502,0.0002
0.0016,0.0009,0.0006,0.0001,0.0004,0.0001,502,0.0001
0.0015,0.0008,0.0005,0.0000,0.0006,0.0001,502,0.0002
0.0016,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0002
0.0214,0.0008,0.0005,0.0001,0.0204,0.0001,200,0.0002
0.0014,0.0008,0.0005,0.0001,0.0004,0.0001,502,0.0001
0.0016,0.0009,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0015,0.0008,0.0005,0.0000,0.0005,0.0001,502,0.0001
0.0015,0.0007,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0218,0.0007,0.0005,0.0001,0.0208,0.0001,200,0.0001
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0001
0.0015,0.0008,0.0004,0.0001,0.0005,0.0001,502,0.0001
0.0228,0.0008,0.0005,0.0001,0.0217,0.0001,200,0.0001
0.0015,0.0009,0.0005,0.0000,0.0005,0.0001,502,0.0002
0.0325,0.0008,0.0005,0.0001,0.0315,0.0001,200,0.0002
0.0015,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0001
0.0021,0.0010,0.0006,0.0001,0.0009,0.0001,502,0.0002
0.0215,0.0008,0.0005,0.0000,0.0205,0.0001,200,0.0002
0.0018,0.0009,0.0006,0.0001,0.0006,0.0001,502,0.0002
0.0217,0.0008,0.0005,0.0001,0.0207,0.0001,200,0.0002
0.0015,0.0009,0.0005,0.0000,0.0004,0.0001,502,0.0002
0.0015,0.0009,0.0006,0.0001,0.0004,0.0001,502,0.0002
0.0227,0.0011,0.0005,0.0001,0.0213,0.0001,200,0.0002
0.0014,0.0008,0.0005,0.0001,0.0004,0.0001,502,0.0001
0.0014,0.0007,0.0005,0.0000,0.0004,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0005,0.0001,502,0.0002
0.0016,0.0008,0.0005,0.0001,0.0006,0.0001,502,0.0002
0.0216,0.0008,0.0005,0.0001,0.0206,0.0001,200,0.0001
0.0014,0.0008,0.0005,0.0001,0.0004,0.0001,502,0.0002
